logit_lambda
-1.279751
2.079442
-0.550533
-3.135494
0.403536
-3.025291
0.129812
-1.967244
-0.703582
-2.492454
1.967244
-0.139113
1.01397
0.046305
1.037803
0.336472
-3.135494
-3.195065
2.202379
-2.525729
