이평기간,매수버퍼존,매도버퍼존,유지일,조정기간(월),수익률,CAGR,MDD,Calmar,거래수,승률,최종자본
150,0.03,0.05,3,0,22589.28,22.3,-86.96,0.2565,15,66.67,2268927951
150,0.01,0.05,5,4,21164.84,22.01,-89.47,0.246,16,62.5,2126483549
150,0.03,0.05,2,0,19709.06,21.69,-88.62,0.2447,16,62.5,1980906120
150,0.01,0.05,5,8,20605.02,21.89,-89.81,0.2437,16,62.5,2070501690
150,0.01,0.05,3,8,20094.28,21.78,-89.57,0.2431,17,58.82,2019428377
150,0.03,0.05,5,0,17083.33,21.05,-87.5,0.2405,15,66.67,1718333323
150,0.01,0.05,3,12,18767.03,21.47,-89.57,0.2397,17,58.82,1886702816
150,0.01,0.05,5,0,19557.2,21.65,-91.65,0.2363,17,58.82,1965719796
150,0.01,0.05,5,12,17834.26,21.24,-90.62,0.2344,16,62.5,1793425642
200,0.01,0.05,3,8,16257.79,20.83,-89.32,0.2332,14,64.29,1635779218
150,0.03,0.05,3,4,16544.72,20.9,-90.52,0.2309,15,66.67,1664471912
200,0.01,0.05,3,12,14805.02,20.41,-89.1,0.2291,14,64.29,1490501635
100,0.01,0.05,0,4,14772.95,20.4,-89.34,0.2283,25,44.0,1487294983
150,0.03,0.05,2,4,15372.5,20.58,-90.22,0.2281,16,62.5,1547249709
150,0.01,0.05,3,4,15126.28,20.51,-90.88,0.2256,18,55.56,1522627519
200,0.01,0.05,5,8,13779.8,20.09,-89.17,0.2253,14,64.29,1387979577
200,0.01,0.05,5,4,13437.94,19.98,-89.17,0.2241,14,64.29,1353793521
200,0.01,0.05,5,12,13403.51,19.97,-89.46,0.2232,14,64.29,1350351220
150,0.05,0.05,2,0,13518.54,20.01,-89.79,0.2228,15,66.67,1361854344
100,0.01,0.05,0,8,13158.33,19.89,-89.34,0.2226,25,44.0,1325833056
150,0.01,0.05,2,8,14890.05,20.44,-91.85,0.2225,18,55.56,1499005493
150,0.01,0.05,2,12,13727.58,20.08,-91.6,0.2192,18,55.56,1382757951
200,0.01,0.05,2,8,11681.5,19.36,-88.73,0.2182,15,60.0,1178150178
150,0.03,0.05,2,8,12561.65,19.68,-90.73,0.217,16,62.5,1266164712
200,0.03,0.05,3,0,11699.5,19.37,-89.3,0.2169,14,64.29,1179949861
150,0.03,0.05,5,4,12718.95,19.74,-91.52,0.2157,15,66.67,1281895044
