window_idx,is_start,is_end,oos_start,oos_end,best_ma_window,best_buy_buffer_zone_pct,best_sell_buffer_zone_pct,best_hold_days,is_cagr,is_mdd,is_calmar,is_trades,is_win_rate,oos_cagr,oos_mdd,oos_calmar,oos_trades,oos_win_rate,wfe_calmar,wfe_cagr
0,1999-03-10,2005-02-28,2005-03-01,2007-02-28,100,0.03,0.01,5,15.11,-79.22,0.1907,6,33.33,-0.22,-25.87,-0.0083,2,0.0,-0.0436,-0.0142
1,1999-03-10,2007-02-28,2007-03-01,2009-02-28,100,0.03,0.01,5,10.86,-79.22,0.137,8,25.0,-23.7,-51.98,-0.4559,3,0.0,-3.3265,-2.183
2,1999-03-10,2009-02-28,2009-03-01,2011-02-28,100,0.03,0.01,3,1.76,-83.32,0.0212,13,23.08,106.09,-27.93,3.7985,2,100.0,179.4337,60.1488
3,1999-03-10,2011-02-28,2011-03-01,2013-02-28,100,0.03,0.01,3,14.9,-83.32,0.1788,15,33.33,-16.45,-42.76,-0.3847,5,20.0,-2.1513,-1.104
4,1999-03-10,2013-02-28,2013-03-01,2015-02-28,100,0.03,0.01,3,8.36,-83.32,0.1003,21,33.33,56.93,-22.33,2.5491,2,100.0,25.4139,6.8121
5,1999-03-10,2015-02-28,2015-03-01,2017-02-28,150,0.05,0.03,3,16.14,-90.14,0.179,9,66.67,-11.96,-54.53,-0.2194,2,0.0,-1.2253,-0.7412
6,1999-03-10,2017-02-28,2017-03-01,2019-02-28,150,0.05,0.03,3,12.59,-90.14,0.1396,11,63.64,20.59,-32.52,0.633,1,100.0,4.5337,1.6358
7,1999-03-10,2019-02-28,2019-03-01,2021-02-28,150,0.05,0.03,3,14.74,-90.14,0.1635,12,66.67,64.66,-48.14,1.3432,1,100.0,8.2139,4.3864
8,1999-03-10,2021-02-28,2021-03-01,2023-02-28,150,0.05,0.03,3,18.67,-90.14,0.2071,13,69.23,6.44,-43.14,0.1492,1,100.0,0.7207,0.3449
9,1999-03-10,2023-02-28,2023-03-01,2025-02-28,150,0.05,0.03,3,17.63,-90.14,0.1956,14,71.43,72.66,-37.37,1.9442,0,0.0,9.9405,4.1213
10,1999-03-10,2025-02-28,2025-03-01,2026-03-12,200,0.03,0.05,3,19.07,-74.67,0.2555,12,58.33,31.16,-22.97,1.3564,0,0.0,5.3097,1.6338
