asset,hold=0,hold=1,hold=2,hold=3,hold=4,hold=5,hold=7,hold=10
QQQ,9.8,10.39,9.99,11.02,10.76,10.3,10.61,10.05
SPY,9.38,9.3,9.7,9.59,9.37,9.28,9.13,8.98
IWM,2.59,3.27,3.51,4.0,3.9,3.56,3.15,3.98
EFA,5.59,5.36,5.29,5.47,5.51,5.28,4.81,4.61
EEM,4.57,3.89,3.3,3.97,4.17,3.71,4.08,3.22
GLD,9.04,9.54,9.52,9.75,10.4,10.33,9.82,9.56
TLT,1.06,1.03,0.8,0.91,0.55,0.86,1.76,1.09
