asset,hold=0,hold=1,hold=2,hold=3,hold=4,hold=5,hold=7,hold=10
QQQ,55.56,62.5,62.5,71.43,64.29,64.29,64.29,69.23
SPY,76.92,76.92,90.91,90.91,90.91,90.91,90.91,100.0
IWM,30.77,34.78,36.36,42.11,44.44,44.44,44.44,50.0
EFA,57.14,61.54,61.54,61.54,66.67,58.33,58.33,54.55
EEM,38.1,33.33,33.33,35.0,44.44,38.89,41.18,41.18
GLD,30.0,33.33,33.33,37.5,42.86,42.86,42.86,42.86
TLT,50.0,53.85,38.46,46.15,38.46,46.15,70.0,60.0
