Date,equity,cash,rebalanced,qqq_value,qqq_weight,qqq_signal,tqqq_value,tqqq_weight,tqqq_signal,drawdown_pct
2005-07-05,9478875,13,False,4875343,0.5143,buy,4603518,0.4857,buy,-8.15
2005-07-06,9386602,13,False,4851697,0.5169,buy,4534892,0.4831,buy,-9.05
2005-07-07,9449975,13,False,4868779,0.5152,buy,4581183,0.4848,buy,-8.43
2005-07-08,9804911,13,False,4962052,0.5061,buy,4842846,0.4939,buy,-4.99
2005-07-11,9983784,13,False,5008031,0.5016,buy,4975740,0.4984,buy,-3.26
2005-07-12,10076154,13,False,5031680,0.4994,buy,5044461,0.5006,buy,-2.36
2005-07-13,10121755,13,False,5043504,0.4983,buy,5078237,0.5017,buy,-1.92
2005-07-14,10320678,13,False,5093429,0.4935,buy,5227235,0.5065,buy,0.0
2005-07-15,10383111,13,False,5109192,0.4921,buy,5273905,0.5079,buy,0.0
2005-07-18,10295128,13,False,5088173,0.4942,buy,5206942,0.5058,buy,-0.85
2005-07-19,10533884,13,False,5147291,0.4886,buy,5386580,0.5114,buy,0.0
2005-07-20,10684241,13,False,5184078,0.4852,buy,5500150,0.5148,buy,0.0
2005-07-21,10687787,13,False,5185392,0.4852,buy,5502381,0.5148,buy,0.0
2005-07-22,10658343,13,False,5178821,0.4859,buy,5479509,0.5141,buy,-0.28
2005-07-25,10574139,13,False,5159117,0.4879,buy,5415009,0.5121,buy,-1.06
2005-07-26,10653965,13,False,5178821,0.4861,buy,5475131,0.5139,buy,-0.32
2005-07-27,10816443,13,False,5218235,0.4824,buy,5598194,0.5176,buy,0.0
2005-07-28,10919745,13,False,5243197,0.4802,buy,5676535,0.5198,buy,0.0
2005-07-29,10733546,13,False,5199839,0.4844,buy,5533694,0.5156,buy,-1.71
2005-08-01,10770005,13,False,5209037,0.4837,buy,5560955,0.5163,buy,-1.37
2005-08-02,11005328,13,False,5265532,0.4785,buy,5739783,0.5215,buy,0.0
2005-08-03,10991909,13,False,5262902,0.4788,buy,5728994,0.5212,buy,-0.12
2005-08-04,10771172,13,False,5211666,0.4839,buy,5559492,0.5161,buy,-2.13
2005-08-05,10664229,13,False,5186706,0.4864,buy,5477509,0.5136,buy,-3.1
2005-08-08,10503328,13,False,5148606,0.4902,buy,5354709,0.5098,buy,-4.56
2005-08-09,10642036,13,False,5182764,0.487,buy,5459258,0.513,buy,-3.3
2005-08-10,10454138,13,False,5138097,0.4915,buy,5316028,0.5085,buy,-5.01
2005-08-11,10624641,13,False,5180136,0.4876,buy,5444491,0.5124,buy,-3.46
2005-08-12,10502534,13,False,5151233,0.4905,buy,5351288,0.5095,buy,-4.57
2005-08-15,10630300,13,False,5182764,0.4875,buy,5447522,0.5125,buy,-3.41
2005-08-16,10279020,13,False,5098683,0.496,buy,5180323,0.504,buy,-6.6
2005-08-17,10399366,13,False,5128900,0.4932,buy,5270453,0.5068,buy,-5.51
2005-08-18,10290087,13,False,5102624,0.4959,buy,5187449,0.5041,buy,-6.5
2005-08-19,10277470,13,False,5099996,0.4962,buy,5177460,0.5038,buy,-6.61
2005-08-22,10286129,13,False,5102624,0.4961,buy,5183491,0.5039,buy,-6.54
2005-08-23,10225671,13,False,5088173,0.4976,buy,5137485,0.5024,buy,-7.08
2005-08-24,10101966,13,False,5057955,0.5007,buy,5043998,0.4993,buy,-8.21
2005-08-25,10147265,13,False,5069783,0.4996,buy,5077468,0.5004,buy,-7.8
2005-08-26,10076924,13,False,5052701,0.5014,buy,5024210,0.4986,buy,-8.44
2005-08-29,10231989,13,False,5092112,0.4977,buy,5139863,0.5023,buy,-7.03
2005-08-30,10155962,13,False,5073722,0.4996,buy,5082226,0.5004,buy,-7.72
2005-08-31,10343445,13,False,5121017,0.4951,buy,5222415,0.5049,buy,-6.01
2005-09-01,10309395,13,False,5113133,0.496,buy,5196248,0.504,buy,-6.32
2005-09-02,10227569,13,False,5093429,0.498,buy,5134127,0.502,buy,-7.07
2005-09-06,10526874,13,False,5168310,0.491,buy,5358551,0.509,buy,-4.35
2005-09-07,10562575,13,False,5177508,0.4902,buy,5385054,0.5098,buy,-4.02
2005-09-08,10555063,13,False,5176195,0.4904,buy,5378854,0.5096,buy,-4.09
2005-09-09,10671947,13,False,5205096,0.4877,buy,5466837,0.5123,buy,-3.03
2005-09-12,10729783,13,False,5219547,0.4865,buy,5510223,0.5135,buy,-2.5
2005-09-13,10672870,13,False,5206410,0.4878,buy,5466447,0.5122,buy,-3.02
2005-09-14,10425399,13,False,5147291,0.4937,buy,5278094,0.5063,buy,-5.27
2005-09-15,10412603,13,False,5144663,0.4941,buy,5267927,0.5059,buy,-5.39
2005-09-16,10538938,13,False,5176195,0.4911,buy,5362729,0.5088,buy,-4.24
2005-09-19,10369528,13,False,5135470,0.4952,buy,5234045,0.5048,buy,-5.78
2005-09-20,10282175,13,False,5114448,0.4974,buy,5167714,0.5026,buy,-6.57
2005-09-21,10052412,13,False,5057955,0.5032,buy,4994444,0.4968,buy,-8.66
2005-09-22,10123341,13,False,5076351,0.5015,buy,5046976,0.4985,buy,-8.01
2005-09-23,10178902,13,False,5090800,0.5001,buy,5088089,0.4999,buy,-7.51
2005-09-26,10182151,13,False,5092112,0.5001,buy,5090025,0.4999,buy,-7.48
2005-09-27,10132879,13,False,5080290,0.5014,buy,5052576,0.4986,buy,-7.93
2005-09-28,10136131,13,False,5081605,0.5013,buy,5054512,0.4987,buy,-7.9
2005-09-29,10406313,13,False,5149920,0.4949,buy,5256380,0.5051,buy,-5.44
2005-09-30,10543000,13,False,5184078,0.4917,buy,5358909,0.5083,buy,-4.2
2005-10-03,10594668,13,False,5197213,0.4905,buy,5397442,0.5094,buy,-3.73
2005-10-04,10451889,13,False,5163056,0.494,buy,5288820,0.506,buy,-5.03
2005-10-05,10160763,13,False,5092112,0.5012,buy,5068638,0.4988,buy,-7.67
2005-10-06,9891623,13,False,5025114,0.508,buy,4866496,0.492,buy,-10.12
2005-10-07,9935803,13,False,5036938,0.5069,buy,4898852,0.4931,buy,-9.72
2005-10-10,9825704,13,False,5009348,0.5098,buy,4816342,0.4902,buy,-10.72
2005-10-11,9726781,13,False,4984387,0.5124,buy,4742380,0.4876,buy,-11.62
2005-10-12,9496971,13,False,4925269,0.5186,buy,4571689,0.4814,buy,-13.71
2005-10-13,9639291,13,False,4963366,0.5149,buy,4675912,0.4851,buy,-12.41
2005-10-14,9778120,13,False,5000150,0.5114,buy,4777956,0.4886,buy,-11.15
2005-10-17,9837124,13,False,5015916,0.5099,buy,4821195,0.4901,buy,-10.61
2005-10-18,9697400,13,False,4980447,0.5136,buy,4716940,0.4864,buy,-11.88
2005-10-19,10079000,13,False,5080290,0.504,buy,4998696,0.496,buy,-8.42
2005-10-20,9890042,13,False,5032994,0.5089,buy,4857034,0.4911,buy,-10.13
2005-10-21,10010882,13,False,5064526,0.5059,buy,4946342,0.4941,buy,-9.04
2005-10-24,10323789,13,False,5144663,0.4983,buy,5179113,0.5017,buy,-6.19
2005-10-25,10242458,13,False,5124959,0.5004,buy,5117486,0.4996,buy,-6.93
2005-10-26,10135379,13,False,5098683,0.5031,buy,5036682,0.4969,buy,-7.9
2005-10-27,9727149,13,False,4996207,0.5136,buy,4730928,0.4864,buy,-11.61
2005-10-28,9871548,13,False,5034310,0.51,buy,4837225,0.49,buy,-10.3
2005-10-31,10150102,13,False,5106564,0.5031,buy,5043524,0.4969,buy,-7.77
2005-11-01,10132299,13,False,5102624,0.5036,buy,5029662,0.4964,buy,-7.93
2005-11-02,10395251,13,False,5169624,0.4973,buy,5225614,0.5027,buy,-5.54
2005-11-03,10705568,13,False,5247138,0.4901,buy,5458416,0.5099,buy,-2.72
2005-11-04,10778999,13,False,5265532,0.4885,buy,5513454,0.5115,buy,-2.06
2005-11-07,10803808,13,False,5272100,0.488,buy,5531694,0.512,buy,-1.83
2005-11-08,10806857,13,False,5273413,0.488,buy,5533431,0.512,buy,-1.8
2005-11-09,10815356,13,False,5276038,0.4878,buy,5539304,0.5122,buy,-1.73
2005-11-10,11052830,13,False,5333843,0.4826,buy,5718974,0.5174,buy,0.0
2005-11-11,11111290,13,False,5348296,0.4813,buy,5762981,0.5187,buy,0.0
2005-11-14,11108795,13,False,5348296,0.4814,buy,5760486,0.5186,buy,-0.02
