Date,equity,cash,is_month_start,rebalanced,rebalance_reason,sso_close,sso_shares,sso_weight,sso_signal_today,sso_pending_intent,sso_pending_reason,sso_pending_delta,sso_executed_intent,sso_exec_side,sso_exec_shares,sso_exec_price,qld_close,qld_shares,qld_weight,qld_signal_today,qld_pending_intent,qld_pending_reason,qld_pending_delta,qld_executed_intent,qld_exec_side,qld_exec_shares,qld_exec_price
2006-06-21,10000000,10000000,False,False,,3.643158,0,0.0,hold,,,0.0,,,0,0.0,0.982717,0,0.0,hold,,,0.0,,,0,0.0
2006-06-22,10000000,10000000,False,False,,3.604432,0,0.0,hold,,,0.0,,,0,0.0,0.959595,0,0.0,hold,,,0.0,,,0,0.0
2006-06-23,10000000,10000000,False,False,,3.603924,0,0.0,hold,,,0.0,,,0,0.0,0.956739,0,0.0,hold,,,0.0,,,0,0.0
2006-06-26,10000000,10000000,False,False,,3.624815,0,0.0,hold,,,0.0,,,0,0.0,0.960274,0,0.0,hold,,,0.0,,,0,0.0
2006-06-27,10000000,10000000,False,False,,3.560613,0,0.0,hold,,,0.0,,,0,0.0,0.924366,0,0.0,hold,,,0.0,,,0,0.0
2006-06-28,10000000,10000000,False,False,,3.592204,0,0.0,hold,,,0.0,,,0,0.0,0.935656,0,0.0,hold,,,0.0,,,0,0.0
2006-06-29,10000000,10000000,False,False,,3.744553,0,0.0,hold,,,0.0,,,0,0.0,0.992238,0,0.0,hold,,,0.0,,,0,0.0
2006-06-30,10000000,10000000,False,False,,3.742516,0,0.0,hold,,,0.0,,,0,0.0,0.982717,0,0.0,hold,,,0.0,,,0,0.0
2006-07-03,10000000,10000000,True,False,,3.793468,0,0.0,hold,,,0.0,,,0,0.0,0.994142,0,0.0,hold,,,0.0,,,0,0.0
2006-07-05,10000000,10000000,False,False,,3.743025,0,0.0,hold,,,0.0,,,0,0.0,0.95497,0,0.0,hold,,,0.0,,,0,0.0
2006-07-06,10000000,10000000,False,False,,3.754746,0,0.0,hold,,,0.0,,,0,0.0,0.949393,0,0.0,hold,,,0.0,,,0,0.0
2006-07-07,10000000,10000000,False,False,,3.711435,0,0.0,hold,,,0.0,,,0,0.0,0.928583,0,0.0,hold,,,0.0,,,0,0.0
2006-07-10,10000000,10000000,False,False,,3.71806,0,0.0,hold,,,0.0,,,0,0.0,0.913213,0,0.0,hold,,,0.0,,,0,0.0
2006-07-11,10000000,10000000,False,False,,3.74965,0,0.0,hold,,,0.0,,,0,0.0,0.928175,0,0.0,hold,,,0.0,,,0,0.0
2006-07-12,10000000,10000000,False,False,,3.675766,0,0.0,hold,,,0.0,,,0,0.0,0.891451,0,0.0,hold,,,0.0,,,0,0.0
2006-07-13,10000000,10000000,False,False,,3.564691,0,0.0,hold,,,0.0,,,0,0.0,0.863023,0,0.0,hold,,,0.0,,,0,0.0
2006-07-14,10000000,10000000,False,False,,3.532588,0,0.0,hold,,,0.0,,,0,0.0,0.845341,0,0.0,hold,,,0.0,,,0,0.0
2006-07-17,10000000,10000000,False,False,,3.529022,0,0.0,hold,,,0.0,,,0,0.0,0.849421,0,0.0,hold,,,0.0,,,0,0.0
2006-07-18,10000000,10000000,False,False,,3.534627,0,0.0,hold,,,0.0,,,0,0.0,0.854182,0,0.0,hold,,,0.0,,,0,0.0
2006-07-19,10000000,10000000,False,False,,3.655897,0,0.0,hold,,,0.0,,,0,0.0,0.87268,0,0.0,hold,,,0.0,,,0,0.0
2006-07-20,10000000,10000000,False,False,,3.613095,0,0.0,hold,,,0.0,,,0,0.0,0.848877,0,0.0,hold,,,0.0,,,0,0.0
2006-07-21,10000000,10000000,False,False,,3.556028,0,0.0,hold,,,0.0,,,0,0.0,0.829699,0,0.0,hold,,,0.0,,,0,0.0
2006-07-24,10000000,10000000,False,False,,3.668632,0,0.0,hold,,,0.0,,,0,0.0,0.860302,0,0.0,hold,,,0.0,,,0,0.0
2006-07-25,10000000,10000000,False,False,,3.715001,0,0.0,hold,,,0.0,,,0,0.0,0.868736,0,0.0,hold,,,0.0,,,0,0.0
2006-07-26,10000000,10000000,False,False,,3.722137,0,0.0,hold,,,0.0,,,0,0.0,0.870504,0,0.0,hold,,,0.0,,,0,0.0
2006-07-27,10000000,10000000,False,False,,3.686468,0,0.0,hold,,,0.0,,,0,0.0,0.861663,0,0.0,hold,,,0.0,,,0,0.0
2006-07-28,10000000,10000000,False,False,,3.770543,0,0.0,hold,,,0.0,,,0,0.0,0.896075,0,0.0,hold,,,0.0,,,0,0.0
2006-07-31,10000000,10000000,False,False,,3.760351,0,0.0,hold,,,0.0,,,0,0.0,0.894307,0,0.0,hold,,,0.0,,,0,0.0
2006-08-01,10000000,10000000,True,False,,3.726721,0,0.0,hold,,,0.0,,,0,0.0,0.863703,0,0.0,hold,,,0.0,,,0,0.0
2006-08-02,10000000,10000000,False,False,,3.755256,0,0.0,hold,,,0.0,,,0,0.0,0.879617,0,0.0,hold,,,0.0,,,0,0.0
