Date,equity,cash,rebalanced,rebalance_reason,spy_value,spy_weight,spy_signal,spy_shares,spy_avg_price,spy_realized_pnl,spy_unrealized_pnl,qqq_value,qqq_weight,qqq_signal,qqq_shares,qqq_avg_price,qqq_realized_pnl,qqq_unrealized_pnl,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,gld_realized_pnl,gld_unrealized_pnl,tlt_value,tlt_weight,tlt_signal,tlt_shares,tlt_avg_price,tlt_realized_pnl,tlt_unrealized_pnl,drawdown_pct,spy_current_price,spy_return_pct,spy_contribution,qqq_current_price,qqq_return_pct,qqq_contribution,gld_current_price,gld_return_pct,gld_contribution,tlt_current_price,tlt_return_pct,tlt_contribution,total_pnl,total_return_pct
2005-01-03,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,0,0.0,buy,0,0.0,0,0,0,0.0,buy,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2005-01-04,9973592,7000083,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1493378,0.1497,buy,34941,42.928399,0,-6583,1480130,0.1484,buy,33692,44.519642,0,-19825,-0.26,0.0,0.0,0,0.0,0.0,0,42.740002,-0.43886331985770743,-6583,43.93121,-1.3217366911113082,-19825,-26408.245543885976,-0.2640824554388598
2005-01-05,9979068,7000083,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1490932,0.1494,buy,34941,42.928399,0,-9029,1488053,0.1491,buy,33692,44.519642,0,-11903,-0.21,0.0,0.0,0,0.0,0.0,0,42.669998,-0.6019348567321448,-9029,44.166351,-0.7935630871355626,-11903,-20931.884735886008,-0.20931884735886008
2005-01-06,9961910,7000083,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1472763,0.1478,buy,34941,42.928399,0,-27198,1489064,0.1495,buy,33692,44.519642,0,-10892,-0.38,0.0,0.0,0,0.0,0.0,0,42.150002,-1.8132448802816836,-27198,44.196373,-0.7261276848086085,-10892,-38089.56374788657,-0.3808956374788657
2005-01-07,9954449,7000083,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1461931,0.1469,buy,34941,42.928399,0,-38030,1492435,0.1499,buy,33692,44.519642,0,-7521,-0.46,0.0,0.0,0,0.0,0.0,0,41.84,-2.535382223492777,-38030,44.296421,-0.5013999141069148,-7521,-45550.52641388588,-0.4555052641388588
2005-01-10,9960653,7000083,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1465775,0.1472,buy,34941,42.928399,0,-34186,1494795,0.1501,buy,33692,44.519642,0,-5161,-0.39,0.0,0.0,0,0.0,0.0,0,41.950001,-2.2791392641229646,-34186,44.366463,-0.3440716065396754,-5161,-39347.126408886164,-0.3934712640888616
2005-01-11,9978503,7000083,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1474860,0.1478,buy,34941,42.928399,0,-25102,1503561,0.1507,buy,33692,44.519642,0,3605,-0.21,0.0,0.0,0,0.0,0.0,0,42.209999,-1.6734842523481896,-25102,44.626644,0.2403468336983572,3605,-21496.518038885668,-0.21496518038885667
2005-01-12,9994152,7000083,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1488487,0.1489,buy,34941,42.928399,0,-11475,1505583,0.1506,buy,33692,44.519642,0,5627,-0.06,0.0,0.0,0,0.0,0.0,0,42.599998,-0.7649970757654945,-11475,44.686649,0.3751300365705479,5627,-5847.874519884586,-0.05847874519884586
2005-01-13,10008650,7000083,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1488487,0.1487,buy,34941,42.928399,0,-11475,1520080,0.1519,buy,33692,44.519642,0,20125,0.0,0.0,0.0,0,0.0,0.0,0,42.599998,-0.7649970757654945,-11475,45.116951,1.3416741872629867,20125,8649.860464114696,0.08649860464114696
2005-01-14,9998697,7000083,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1478703,0.1479,buy,34941,42.928399,0,-21258,1519911,0.152,buy,33692,44.519642,0,19955,-0.1,0.0,0.0,0,0.0,0.0,0,42.32,-1.4172412929783662,-21258,45.111927,1.3303892808180118,19955,-1302.8182618860155,-0.013028182618860155
