date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2008-11-04,tlt,36671,33426,16.46,15.11,2025642,1881048,-3245,-144594,monthly
2008-11-04,cash,0,0,70.57,69.21,8686951,8616687,0,-70264,monthly
2008-12-02,spy,0,0,0.0,0.0,0,0,0,0,monthly
2008-12-02,qqq,0,0,0.0,0.0,0,0,0,0,monthly
2008-12-02,gld,25861,25307,15.33,15.22,1956384,1947373,-554,-9011,monthly
2008-12-02,tlt,33426,29219,17.13,14.99,2186130,1918319,-4207,-267811,monthly
2008-12-02,cash,0,0,67.53,69.79,8616687,8931377,0,314690,monthly
2009-01-05,spy,0,0,0.0,0.0,0,0,0,0,monthly
2009-01-05,qqq,0,0,0.0,0.0,0,0,0,0,monthly
2009-01-05,gld,25307,22797,16.59,14.75,2182222,1925890,-2510,-256332,monthly
2009-01-05,tlt,29219,28261,15.5,14.72,2039193,1921478,-958,-117715,monthly
2009-01-05,cash,0,0,67.9,70.53,8931377,9206862,0,275485,monthly
2009-05-04,spy,0,0,0.0,0.0,0,0,0,0,monthly
2009-05-04,qqq,0,0,0.0,0.0,0,0,0,0,monthly
2009-05-04,gld,22797,22178,15.42,15.24,1982199,1965857,-619,-16342,monthly
2009-05-04,tlt,28261,32700,12.95,14.99,1665084,1932970,4439,267886,monthly
2009-05-04,cash,0,0,71.63,69.77,9206862,8997895,0,-208967,monthly
2009-06-04,spy,0,0,0.0,0.0,0,0,0,0,daily
2009-06-04,qqq,0,143343,0.0,35.14,0,4553428,143343,4553428,daily
2009-06-04,gld,22178,20556,16.19,15.27,2093825,1978103,-1622,-115722,daily
2009-06-04,tlt,32700,34488,14.23,14.67,1839929,1900440,1788,60511,daily
2009-06-04,cash,0,0,69.58,34.93,8997895,4526040,0,-4471855,daily
2009-07-27,spy,0,63620,0.0,34.99,0,4634520,63620,4634520,daily
2009-07-27,qqq,143343,136879,36.66,35.2,4845670,4662705,-6464,-182965,daily
2009-07-27,gld,20556,21219,14.53,15.01,1920136,1988432,663,68296,daily
2009-07-27,tlt,34488,35514,14.57,14.8,1925923,1960447,1026,34524,daily
2009-07-27,cash,0,0,34.24,0.0,4526040,108,0,-4525932,daily
2009-12-02,spy,63620,63717,34.95,34.89,5269743,5275406,97,5663,monthly
2009-12-02,qqq,136879,138387,34.62,34.95,5219930,5284632,1508,64702,monthly
2009-12-02,gld,21219,19288,16.52,15.2,2490686,2298743,-1931,-191943,monthly
2009-12-02,tlt,35514,38259,13.92,14.97,2099073,2263217,2745,164144,monthly
2009-12-02,cash,0,0,0.0,0.0,108,88,0,-20,monthly
