Date,Open,High,Low,Close,Volume,ma_200,open_pct,high_pct,low_pct,close_pct,upper_band,lower_band
2005-01-03,82.024803,82.159759,80.90469,81.174599,55748000,75.882215,,,,,78.158681,72.088104
2005-01-04,81.282564,81.336546,79.919534,80.182693,69167600,75.925006,0.13,0.2,-1.55,-1.22,78.202756,72.128755
2005-01-05,80.12198,80.466113,79.622653,79.629402,65667300,75.961865,-0.08,0.35,-0.7,-0.69,78.240721,72.163772
2005-01-06,79.919554,80.398639,79.798096,80.034264,47814700,76.002387,0.36,0.97,0.21,0.51,78.282458,72.202267
2005-01-07,80.277167,80.452608,79.710359,79.91954,55847700,76.041363,0.3,0.52,-0.4,-0.14,78.322604,72.239295
2005-01-10,79.852067,80.607809,79.852067,80.297417,56563300,76.083712,-0.08,0.86,-0.08,0.47,78.366224,72.279527
2005-01-11,80.054511,80.121986,79.61591,79.744118,63099700,76.120134,-0.3,-0.22,-0.85,-0.69,78.403738,72.314127
2005-01-12,79.892539,80.189433,79.298739,80.007248,72720500,76.158812,0.19,0.56,-0.56,0.33,78.443576,72.350871
2005-01-13,80.05451,80.115242,79.285275,79.366249,55537500,76.190727,0.06,0.13,-0.9,-0.8,78.476449,72.38119
2005-01-14,79.602407,79.980275,79.460706,79.784592,42032500,76.226487,0.3,0.77,0.12,0.53,78.513281,72.415162
2005-01-18,79.656371,80.715756,79.58889,80.61454,57391700,76.270149,-0.16,1.17,-0.25,1.04,78.558253,72.456641
2005-01-19,80.587564,80.648291,79.764346,79.771095,54378900,76.304984,-0.03,0.04,-1.05,-1.05,78.594134,72.489735
2005-01-20,79.548392,79.757568,79.143532,79.285233,72049300,76.334638,-0.28,-0.02,-0.79,-0.61,78.624677,72.517906
2005-01-21,79.480925,79.622626,78.71169,78.799408,63160400,76.359163,0.25,0.43,-0.72,-0.61,78.649938,72.541205
2005-01-24,79.008573,79.177265,78.522745,78.644203,58441900,76.3819,0.27,0.48,-0.35,-0.2,78.673357,72.562805
2005-01-25,78.887145,79.265013,78.758937,78.866898,68245000,76.406626,0.31,0.79,0.15,0.28,78.698825,72.586295
2005-01-26,79.163769,79.352703,78.974835,79.103043,57195100,76.433456,0.38,0.62,0.14,0.3,78.72646,72.611784
2005-01-27,79.076079,79.453947,78.934378,79.238022,55878800,76.461363,-0.03,0.44,-0.21,0.17,78.755203,72.638294
2005-01-28,79.278506,79.318996,78.684712,79.238022,60738900,76.488991,0.05,0.1,-0.7,0.0,78.783661,72.664541
2005-01-31,79.588885,79.791317,79.426942,79.730591,52532700,76.521246,0.44,0.7,0.24,0.62,78.816883,72.695183
