Date,equity,cash,rebalanced,qqq_value,qqq_weight,qqq_signal,spy_value,spy_weight,spy_signal,gld_value,gld_weight,gld_signal,drawdown_pct
2005-09-13,10285193,3988073,False,3136298,0.3049,buy,3160822,0.3073,buy,0,0.0,sell,-0.59
2005-09-14,10238078,3988073,False,3100685,0.3029,buy,3149319,0.3076,buy,0,0.0,sell,-1.05
2005-09-15,10234960,3988073,False,3099102,0.3028,buy,3147785,0.3076,buy,0,0.0,sell,-1.08
2005-09-16,10276339,3988073,False,3118097,0.3034,buy,3170169,0.3085,buy,0,0.0,sell,-0.68
2005-09-19,10241282,3988073,False,3093564,0.3021,buy,3159645,0.3085,buy,0,0.0,buy,-1.02
2005-09-20,10164210,-108403,False,3080901,0.3031,buy,3132949,0.3082,buy,4058763,0.3993,buy,-1.76
2005-09-21,10173786,-108403,False,3046870,0.2995,buy,3103687,0.3051,buy,4131633,0.4061,buy,-1.67
2005-09-22,10134448,-108403,False,3057952,0.3017,buy,3114723,0.3073,buy,4070176,0.4016,buy,-2.05
2005-09-23,10138696,-108403,False,3066656,0.3025,buy,3117291,0.3075,buy,4063153,0.4008,buy,-2.01
2005-09-26,10168541,-108403,False,3067446,0.3017,buy,3120885,0.3069,buy,4088613,0.4021,buy,-1.72
2005-09-27,10132554,-108403,False,3060325,0.302,buy,3120113,0.3079,buy,4060519,0.4007,buy,-2.07
2005-09-28,10184714,-108403,False,3061117,0.3006,buy,3123195,0.3067,buy,4108806,0.4034,buy,-1.56
2005-09-29,10277617,-108403,False,3102269,0.3018,buy,3148606,0.3064,buy,4135144,0.4023,buy,-0.66
2005-09-30,10272830,-108403,False,3122846,0.304,buy,3158361,0.3074,buy,4100027,0.3991,buy,-0.71
2005-10-03,10244864,-108403,False,3130758,0.3056,buy,3147066,0.3072,buy,4075444,0.3978,buy,-0.98
2005-10-04,10191500,-108403,False,3110182,0.3052,buy,3111643,0.3053,buy,4078078,0.4001,buy,-1.5
2005-10-05,10100049,-108403,False,3067446,0.3037,buy,3070830,0.304,buy,4070176,0.403,buy,-2.38
2005-10-06,10123276,-108403,False,3027087,0.299,buy,3059790,0.3023,buy,4144802,0.4094,buy,-2.16
2005-10-07,10154093,-108403,False,3034210,0.2988,buy,3070315,0.3024,buy,4157971,0.4095,buy,-1.86
2005-10-10,10112425,-108403,False,3017590,0.2984,buy,3044390,0.3011,buy,4158849,0.4113,buy,-2.26
2005-10-11,10094781,-108403,False,3002554,0.2974,buy,3040025,0.3011,buy,4160605,0.4122,buy,-2.43
2005-10-12,9987886,-108403,False,2966941,0.2971,buy,3016152,0.302,buy,4113196,0.4118,buy,-3.46
2005-10-13,10023964,-108403,False,2989890,0.2983,buy,3014356,0.3007,buy,4128121,0.4118,buy,-3.12
2005-10-14,10058638,-108403,False,3012049,0.2994,buy,3046186,0.3028,buy,4108806,0.4085,buy,-2.78
2005-10-17,10119815,-108403,False,3021546,0.2986,buy,3057481,0.3021,buy,4149192,0.41,buy,-2.19
2005-10-18,10042509,-108403,False,3000180,0.2987,buy,3024368,0.3012,buy,4126365,0.4109,buy,-2.94
2005-10-19,10095019,-108403,False,3060325,0.3032,buy,3074677,0.3046,buy,4068420,0.403,buy,-2.43
2005-10-20,9980762,-108403,False,3031834,0.3038,buy,3020516,0.3026,buy,4036814,0.4045,buy,-3.53
2005-10-21,10058974,-108403,False,3050829,0.3033,buy,3032325,0.3015,buy,4084223,0.406,buy,-2.78
2005-10-24,10142809,-108403,False,3099102,0.3055,buy,3079300,0.3036,buy,4072810,0.4015,buy,-1.97
2005-10-25,10183601,-108403,False,3087233,0.3032,buy,3073139,0.3018,buy,4131633,0.4057,buy,-1.57
2005-10-26,10147375,-108403,False,3071405,0.3027,buy,3064154,0.302,buy,4120219,0.406,buy,-1.92
2005-10-27,10074994,-108403,False,3009674,0.2987,buy,3031555,0.3009,buy,4142168,0.4111,buy,-2.62
2005-10-28,10145096,-108403,False,3032627,0.2989,buy,3075192,0.3031,buy,4145680,0.4086,buy,-1.94
2005-10-31,10125101,-108403,False,3076152,0.3038,buy,3083664,0.3046,buy,4073688,0.4023,buy,-2.14
2005-11-01,10073145,-108403,False,3073778,0.3051,buy,3092904,0.307,buy,4014865,0.3986,buy,-2.64
2005-11-02,10180967,-108403,False,3114138,0.3059,buy,3125248,0.307,buy,4049983,0.3978,buy,-1.6
2005-11-03,10226083,-108403,False,3160833,0.3091,buy,3138596,0.3069,buy,4035058,0.3946,buy,-1.16
2005-11-04,10193548,-108403,False,3171913,0.3112,buy,3134488,0.3075,buy,3995550,0.392,buy,-1.48
2005-11-07,10223413,-108403,False,3175869,0.3106,buy,3137570,0.3069,buy,4018377,0.3931,buy,-1.19
2005-11-08,10236496,-108403,False,3176660,0.3103,buy,3137570,0.3065,buy,4030668,0.3938,buy,-1.06
2005-11-09,10299249,-108403,False,3178242,0.3086,buy,3141675,0.305,buy,4087735,0.3969,buy,-0.45
2005-11-10,10351433,-108403,False,3213063,0.3104,buy,3166062,0.3059,buy,4080712,0.3942,buy,0.0
2005-11-11,10399015,-108403,False,3221769,0.3098,buy,3176844,0.3055,buy,4108806,0.3951,buy,0.0
2005-11-14,10381415,-108403,False,3221769,0.3103,buy,3175047,0.3058,buy,4093003,0.3943,buy,-0.17
