entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,recent_sell_count,holding_days
1999-03-30,2000-05-11,45.375931,69.68303,220381,5356823,0.5357,0.03,0,0,408
2000-05-16,2000-05-24,76.244268,63.1568,201416,-2636025,-0.1717,0.03,0,0,8
2000-06-02,2000-10-04,78.468071,70.314579,162114,-1321795,-0.1039,0.03,0,0,124
2003-04-23,2004-08-09,23.296853,27.639804,489293,2124976,0.1864,0.03,0,0,474
2004-10-04,2005-04-18,30.814719,29.520451,438880,-568028,-0.042,0.03,0,0,196
2005-05-23,2006-06-12,32.222149,32.619997,402082,159967,0.0123,0.03,0,0,385
2006-09-21,2008-01-17,34.861422,39.700908,376230,1820760,0.1388,0.03,0,0,483
2008-05-02,2008-07-03,42.495177,38.676228,351491,-1342326,-0.0899,0.03,0,0,62
2008-08-15,2008-09-05,41.806841,37.214488,325170,-1493296,-0.1098,0.03,0,0,21
2009-05-05,2011-08-09,30.381897,45.069572,398298,5850072,0.4834,0.03,0,0,826
2011-09-19,2011-10-04,49.441027,44.511256,363081,-1789906,-0.0997,0.03,0,0,15
2011-10-12,2015-08-25,50.299117,94.132898,321302,14083881,0.8715,0.03,0,0,1413
2015-10-20,2016-01-14,100.956509,94.863406,299585,-1825402,-0.0604,0.03,0,0,86
2016-03-31,2018-11-21,102.248263,153.517158,277947,14250035,0.5014,0.03,0,0,965
2019-02-19,2020-03-13,164.539597,179.96875,259328,4001211,0.0938,0.03,0,0,388
2020-04-15,2022-01-26,202.202987,343.091288,230812,32518711,0.6968,0.03,0,0,651
2022-03-30,2022-04-18,361.612901,328.369692,218990,-7279930,-0.0919,0.03,0,0,19
2023-02-03,2025-04-04,300.437943,435.269523,239349,32271804,0.4488,0.03,0,0,791
