이평기간,버퍼존,유지일,조정기간(월),수익률,CAGR,MDD,거래수,승률,최종자본
150,0.05,5,8,7974.72,17.7,-90.45,14,71.43,807472433.74
150,0.05,5,6,7974.72,17.7,-90.45,14,71.43,807472433.74
200,0.05,1,10,7961.27,17.69,-90.18,13,61.54,806127259.28
200,0.05,1,12,7961.27,17.69,-90.18,13,61.54,806127259.28
150,0.05,0,6,7945.36,17.69,-94.88,16,62.5,804535568.68
150,0.05,0,8,7945.36,17.69,-94.88,16,62.5,804535568.68
150,0.05,1,12,7943.62,17.68,-93.61,15,66.67,804362370.33
200,0.04,2,12,7843.02,17.63,-93.94,16,62.5,794301628.21
150,0.04,4,2,7804.28,17.61,-90.15,16,68.75,790427923.32
150,0.05,1,2,7791.37,17.6,-94.05,16,62.5,789137458.77
150,0.04,0,4,7696.74,17.55,-94.53,19,57.89,779673702.53
150,0.05,0,10,7694.93,17.55,-94.88,16,62.5,779493275.54
150,0.05,5,0,7667.13,17.53,-90.81,15,66.67,776712553.56
150,0.05,5,10,7665.74,17.53,-90.45,14,71.43,776574185.9
150,0.05,5,12,7665.74,17.53,-90.45,14,71.43,776574185.9
200,0.04,5,10,7604.94,17.5,-92.66,16,62.5,770494267.74
250,0.03,4,4,7578.97,17.48,-92.65,14,64.29,767897105.65
150,0.05,4,6,7564.58,17.47,-92.04,14,71.43,766457639.67
150,0.05,4,8,7564.58,17.47,-92.04,14,71.43,766457639.67
200,0.04,2,2,7503.53,17.44,-93.08,17,58.82,760352706.08
150,0.04,5,2,7485.56,17.43,-88.71,16,68.75,758555643.82
200,0.04,4,2,7467.86,17.42,-93.77,16,62.5,756785999.26
200,0.04,4,4,7467.86,17.42,-93.77,16,62.5,756785999.26
200,0.04,4,6,7467.86,17.42,-93.77,16,62.5,756785999.26
150,0.05,4,10,7455.03,17.41,-92.04,14,71.43,755502910.15
150,0.03,3,12,7413.27,17.39,-90.98,19,57.89,751326833.64
150,0.03,4,0,7409.19,17.39,-88.2,22,50.0,750918851.89
200,0.03,3,2,7406.89,17.38,-86.58,20,55.0,750689035.73
200,0.04,4,8,7402.05,17.38,-93.83,16,62.5,750204828.95
150,0.03,5,10,7347.98,17.35,-89.33,19,57.89,744797565.18
250,0.03,4,12,7337.83,17.34,-92.6,14,64.29,743782627.97
150,0.03,2,6,7328.08,17.34,-90.38,22,50.0,742808417.76
200,0.05,2,0,7319.61,17.33,-91.84,14,57.14,741961401.6
150,0.05,4,0,7303.6,17.32,-92.31,15,66.67,740359657.36
250,0.03,4,6,7286.02,17.31,-92.65,14,64.29,738601733.07
150,0.03,5,4,7272.56,17.31,-88.08,20,55.0,737255673.55
250,0.03,4,10,7266.19,17.3,-92.67,14,64.29,736618714.01
250,0.03,4,8,7266.19,17.3,-92.67,14,64.29,736618714.01
150,0.03,4,12,7253.14,17.29,-90.03,19,57.89,735313979.47
200,0.03,4,12,7245.1,17.29,-90.74,18,55.56,734509598.63
250,0.02,3,10,7239.08,17.29,-90.34,19,57.89,733907593.6
200,0.05,1,0,7237.66,17.28,-91.59,14,57.14,733766196.91
150,0.05,0,12,7232.97,17.28,-95.18,16,62.5,733297249.07
150,0.03,2,4,7219.52,17.27,-90.38,22,50.0,731952154.63
200,0.04,3,10,7186.97,17.25,-93.71,16,62.5,728697456.65
150,0.04,4,4,7156.7,17.24,-90.24,16,68.75,725670256.88
150,0.04,4,8,7156.7,17.24,-90.24,16,68.75,725670256.88
150,0.04,4,6,7156.7,17.24,-90.24,16,68.75,725670256.88
250,0.02,5,10,7097.99,17.2,-89.36,19,57.89,719798716.81
200,0.05,2,2,7025.09,17.16,-92.17,14,57.14,712509324.33
200,0.04,0,2,7018.27,17.15,-94.92,18,55.56,711827155.4
150,0.05,4,12,7007.84,17.15,-91.62,14,71.43,710783950.12
150,0.05,3,2,7006.38,17.15,-92.67,15,66.67,710638150.26
250,0.02,4,10,6908.82,17.09,-90.67,19,57.89,700881769.5
200,0.01,5,12,6882.67,17.07,-85.69,25,44.0,698267406.1
150,0.04,5,8,6864.09,17.06,-88.81,16,68.75,696409251.98
150,0.04,5,4,6864.09,17.06,-88.81,16,68.75,696409251.98
150,0.04,5,6,6864.09,17.06,-88.81,16,68.75,696409251.98
200,0.03,3,12,6820.87,17.03,-91.47,18,55.56,692087045.1
250,0.04,0,10,6808.08,17.02,-89.77,15,60.0,690808243.05
250,0.04,0,8,6808.08,17.02,-89.77,15,60.0,690808243.05
250,0.02,3,12,6796.91,17.02,-90.53,19,57.89,689690685.85
150,0.04,3,0,6790.11,17.01,-88.46,19,57.89,689011101.68
200,0.05,1,2,6725.3,16.97,-92.18,14,57.14,682530006.04
200,0.03,3,8,6722.75,16.97,-89.64,19,57.89,682275434.98
200,0.04,4,10,6711.57,16.96,-94.0,16,62.5,681157141.9
200,0.05,3,6,6676.2,16.94,-91.29,13,61.54,677619683.17
200,0.05,3,8,6676.2,16.94,-91.29,13,61.54,677619683.17
200,0.02,3,4,6671.1,16.94,-85.46,22,50.0,677110129.0
200,0.02,2,10,6647.72,16.92,-86.46,23,47.83,674771801.84
250,0.03,5,4,6637.4,16.91,-93.78,14,64.29,673740495.01
200,0.03,2,10,6635.16,16.91,-88.84,19,57.89,673515814.13
150,0.04,4,10,6626.65,16.91,-90.66,16,68.75,672665211.04
250,0.03,5,6,6626.19,16.91,-93.78,14,64.29,672619265.95
250,0.03,5,12,6599.28,16.89,-93.8,14,64.29,669928494.7
150,0.03,5,2,6590.07,16.88,-87.17,21,52.38,669006627.51
150,0.05,5,2,6553.32,16.86,-92.13,15,66.67,665332201.12
250,0.03,5,10,6534.76,16.85,-93.86,14,64.29,663475935.43
250,0.03,5,8,6534.76,16.85,-93.86,14,64.29,663475935.43
250,0.04,0,0,6522.31,16.84,-91.02,16,56.25,662231191.24
200,0.05,3,10,6465.78,16.8,-91.29,13,61.54,656577994.53
200,0.05,3,12,6465.78,16.8,-91.29,13,61.54,656577994.53
200,0.04,3,2,6457.57,16.8,-93.28,17,58.82,655756882.49
250,0.04,0,12,6355.76,16.73,-89.77,15,60.0,645575529.71
150,0.04,1,4,6329.54,16.71,-94.16,19,57.89,642954183.02
150,0.04,0,6,6324.82,16.71,-95.35,19,57.89,642482182.78
200,0.02,2,4,6314.77,16.7,-87.56,23,47.83,641477338.03
150,0.03,2,2,6309.67,16.7,-90.8,23,47.83,640966710.29
200,0.05,5,0,6308.28,16.7,-90.99,13,61.54,640828392.99
200,0.05,5,2,6308.28,16.7,-90.99,13,61.54,640828392.99
150,0.04,0,2,6295.26,16.69,-94.73,20,55.0,639525537.56
250,0.03,1,4,6264.18,16.67,-92.15,16,56.25,636417534.56
200,0.05,5,4,6257.86,16.66,-90.99,13,61.54,635785576.12
200,0.02,4,4,6255.42,16.66,-90.29,21,52.38,635542308.12
150,0.05,4,2,6241.92,16.65,-93.42,15,66.67,634192331.32
200,0.05,2,4,6205.63,16.63,-93.01,14,57.14,630562953.39
250,0.04,0,2,6197.16,16.62,-91.02,16,56.25,629715560.07
200,0.02,5,4,6155.42,16.59,-88.3,21,52.38,625542073.89
200,0.05,0,6,6152.02,16.59,-94.37,14,57.14,625201943.69
200,0.05,0,8,6152.02,16.59,-94.37,14,57.14,625201943.69
200,0.05,1,4,6135.98,16.58,-92.8,14,57.14,623598241.81
200,0.03,3,4,6132.15,16.58,-88.6,20,55.0,623215201.61
250,0.03,1,6,6107.14,16.56,-92.15,16,56.25,620714198.06
150,0.04,0,8,6093.87,16.55,-95.35,19,57.89,619386931.97
200,0.02,4,12,6092.53,16.55,-88.54,21,52.38,619253437.92
150,0.05,1,4,6073.12,16.53,-95.34,16,62.5,617312044.94
200,0.03,1,12,6057.15,16.52,-91.65,19,57.89,615715032.56
250,0.02,4,12,6053.7,16.52,-91.36,19,57.89,615369924.99
250,0.02,5,4,6049.89,16.52,-89.36,20,55.0,614989038.73
250,0.02,5,12,6026.01,16.5,-90.07,19,57.89,612600532.17
250,0.03,0,4,6001.7,16.48,-89.84,17,52.94,610169841.24
250,0.02,3,6,5999.55,16.48,-89.7,20,55.0,609954526.42
150,0.04,5,10,5992.84,16.48,-89.6,16,68.75,609283922.93
200,0.03,3,6,5987.87,16.47,-88.6,20,55.0,608787164.95
250,0.03,1,12,5958.85,16.45,-92.34,16,56.25,605884964.16
250,0.03,1,10,5958.85,16.45,-92.34,16,56.25,605884964.16
250,0.03,1,8,5958.85,16.45,-92.34,16,56.25,605884964.16
150,0.05,3,4,5936.5,16.44,-93.78,15,66.67,603650381.22
250,0.02,5,6,5888.44,16.4,-89.36,20,55.0,598843507.8
250,0.03,4,2,5887.2,16.4,-92.65,15,60.0,598719839.23
250,0.03,0,6,5867.71,16.39,-89.84,17,52.94,596770761.6
250,0.01,4,12,5832.27,16.36,-89.6,22,50.0,593226642.06
150,0.04,0,10,5819.23,16.35,-95.35,19,57.89,591923214.68
250,0.02,4,6,5815.82,16.35,-90.17,20,55.0,591582078.33
250,0.02,4,4,5809.45,16.35,-90.17,20,55.0,590944809.21
150,0.05,0,4,5804.4,16.34,-96.24,17,58.82,590440435.44
250,0.02,3,4,5795.17,16.34,-89.7,20,55.0,589516750.22
200,0.05,0,10,5743.51,16.3,-94.37,14,57.14,584351192.36
200,0.05,0,12,5743.51,16.3,-94.37,14,57.14,584351192.36
250,0.03,0,8,5726.5,16.28,-90.08,17,52.94,582649656.19
250,0.03,0,10,5726.5,16.28,-90.08,17,52.94,582649656.19
250,0.03,0,12,5726.5,16.28,-90.08,17,52.94,582649656.19
250,0.04,0,4,5711.35,16.27,-91.65,16,56.25,581135422.97
150,0.04,1,12,5710.84,16.27,-94.41,18,61.11,581084279.22
150,0.03,5,12,5688.04,16.26,-89.78,19,57.89,578803725.38
250,0.02,3,8,5622.19,16.21,-90.34,20,55.0,572218633.81
250,0.04,4,8,5598.27,16.19,-93.71,13,61.54,569826841.6
200,0.01,2,10,5588.74,16.18,-84.38,27,44.44,568873712.31
150,0.03,2,12,5557.31,16.16,-90.95,21,52.38,565731146.96
150,0.05,5,4,5551.66,16.15,-93.32,15,66.67,565165705.0
200,0.04,5,12,5545.48,16.15,-93.0,16,56.25,564547932.17
250,0.02,2,10,5529.28,16.14,-89.75,21,52.38,562927934.84
200,0.05,0,0,5524.38,16.13,-94.97,15,53.33,562437555.56
250,0.02,5,8,5523.51,16.13,-89.36,20,55.0,562351112.82
200,0.01,4,12,5511.11,16.12,-87.67,26,46.15,561110682.33
150,0.04,0,12,5507.64,16.12,-95.35,19,57.89,560763885.42
150,0.03,5,0,5485.12,16.1,-87.17,22,50.0,558512409.51
200,0.02,3,6,5480.06,16.1,-87.22,22,50.0,558005742.67
200,0.05,3,0,5472.0,16.09,-92.89,14,57.14,557199901.01
200,0.02,5,2,5432.34,16.06,-88.2,22,50.0,553234330.5
250,0.02,2,12,5418.52,16.05,-89.75,21,52.38,551851713.85
100,0.05,1,4,5417.84,16.05,-91.33,19,57.89,551784265.06
250,0.02,4,8,5416.21,16.05,-90.67,20,55.0,551620633.27
150,0.04,1,2,5399.38,16.04,-94.84,20,55.0,549938262.29
250,0.04,4,10,5393.17,16.03,-93.71,13,61.54,549316521.2
250,0.04,4,12,5393.17,16.03,-93.71,13,61.54,549316521.2
200,0.02,3,8,5354.71,16.0,-87.22,22,50.0,545471203.06
100,0.05,3,2,5342.64,15.99,-92.88,18,61.11,544264324.62
250,0.02,5,2,5320.23,15.97,-89.36,21,52.38,542022552.84
250,0.04,0,6,5311.89,15.97,-91.98,16,56.25,541188696.26
200,0.04,3,12,5291.16,15.95,-93.94,16,56.25,539115706.76
150,0.05,4,4,5287.14,15.95,-94.41,15,66.67,538714287.32
100,0.05,1,6,5285.24,15.95,-91.66,19,57.89,538523568.01
100,0.05,1,8,5285.24,15.95,-91.66,19,57.89,538523568.01
200,0.02,2,6,5281.25,15.94,-89.43,23,47.83,538125291.13
200,0.03,3,0,5280.71,15.94,-84.37,21,52.38,538071027.2
200,0.03,2,12,5254.57,15.92,-91.13,19,57.89,535457298.47
200,0.05,3,2,5250.82,15.92,-93.18,14,57.14,535081942.96
250,0.03,5,2,5202.59,15.88,-93.78,15,60.0,530259408.74
200,0.02,2,8,5192.44,15.87,-89.43,23,47.83,529243645.61
250,0.04,5,6,5149.32,15.84,-94.34,13,61.54,524932420.84
250,0.04,5,8,5149.32,15.84,-94.34,13,61.54,524932420.84
200,0.05,0,2,5131.65,15.82,-95.32,15,53.33,523164599.82
250,0.01,0,10,5113.66,15.81,-87.83,31,38.71,521365833.11
200,0.02,4,6,5109.35,15.8,-91.76,21,52.38,520934745.91
200,0.02,5,8,5053.46,15.76,-89.97,21,52.38,515345957.22
200,0.03,2,2,5045.32,15.75,-88.85,21,52.38,514531697.29
200,0.02,4,8,5028.44,15.74,-91.76,21,52.38,512843950.34
200,0.02,5,6,5005.44,15.72,-90.06,21,52.38,510543556.19
250,0.04,5,10,4962.16,15.68,-94.34,13,61.54,506216086.88
250,0.04,5,12,4962.16,15.68,-94.34,13,61.54,506216086.88
250,0.02,5,0,4956.56,15.67,-89.36,22,50.0,505655753.8
150,0.04,1,6,4953.98,15.67,-95.34,19,57.89,505398065.77
250,0.02,2,4,4916.12,15.64,-89.75,22,50.0,501611521.34
200,0.02,5,10,4904.7,15.63,-89.97,21,52.38,500469681.35
200,0.04,4,12,4890.9,15.62,-94.28,16,56.25,499089837.99
200,0.03,4,2,4889.88,15.62,-91.22,20,55.0,498988197.34
250,0.04,4,0,4888.9,15.62,-94.66,14,57.14,498890200.82
200,0.03,5,2,4849.05,15.58,-89.92,20,55.0,494904854.62
100,0.04,1,10,4843.8,15.58,-93.04,23,47.83,494379622.74
150,0.03,3,0,4831.62,15.57,-89.58,23,47.83,493161911.46
150,0.04,2,0,4825.86,15.56,-92.14,20,55.0,492586178.73
200,0.04,0,0,4814.54,15.55,-95.1,20,50.0,491453798.56
200,0.02,4,10,4811.03,15.55,-91.76,21,52.38,491102950.56
150,0.04,1,8,4790.26,15.53,-95.49,19,57.89,489026348.27
250,0.03,3,4,4778.16,15.52,-92.91,15,60.0,487815860.45
250,0.03,3,6,4770.32,15.51,-92.91,15,60.0,487032257.06
200,0.01,5,10,4694.46,15.45,-87.63,26,42.31,479445547.86
100,0.05,3,10,4692.04,15.44,-95.42,17,58.82,479204330.34
250,0.03,3,12,4689.93,15.44,-93.03,15,60.0,478993389.37
200,0.05,0,4,4679.93,15.43,-95.69,15,53.33,477992925.29
250,0.01,5,12,4654.48,15.41,-90.33,22,50.0,475448308.62
200,0.01,1,10,4653.74,15.41,-91.64,29,37.93,475374232.51
250,0.01,0,8,4647.1,15.4,-87.83,32,37.5,474710298.48
200,0.04,4,0,4644.32,15.4,-93.91,18,55.56,474431514.4
250,0.03,3,8,4643.8,15.4,-93.09,15,60.0,474379845.68
250,0.03,3,10,4643.8,15.4,-93.09,15,60.0,474379845.68
200,0.05,3,4,4635.42,15.39,-93.91,14,57.14,473541676.94
200,0.01,5,6,4629.31,15.39,-87.63,26,46.15,472930772.24
200,0.01,5,4,4617.99,15.38,-86.99,27,44.44,471798898.76
200,0.02,5,12,4617.78,15.38,-90.11,21,52.38,471778181.27
100,0.05,0,2,4616.19,15.38,-93.94,20,55.0,471618867.21
150,0.03,0,12,4615.24,15.38,-94.62,23,47.83,471523850.12
250,0.02,2,6,4603.7,15.36,-89.75,22,50.0,470370415.1
250,0.01,5,10,4593.18,15.36,-90.5,23,47.83,469317913.88
200,0.04,5,0,4583.01,15.35,-93.27,18,55.56,468300972.03
250,0.04,5,0,4575.22,15.34,-95.13,14,57.14,467522107.38
250,0.01,0,6,4553.54,15.32,-87.83,33,39.39,465354285.97
100,0.05,1,2,4549.56,15.32,-93.24,20,55.0,464955594.97
200,0.01,3,6,4545.48,15.31,-85.58,28,46.43,464548345.97
250,0.04,4,2,4540.55,15.31,-95.03,14,57.14,464054507.17
200,0.03,2,4,4536.61,15.3,-90.53,20,55.0,463660728.53
150,0.03,1,8,4527.39,15.29,-95.11,23,47.83,462738929.72
150,0.03,0,10,4515.79,15.28,-96.33,24,45.83,461579083.62
200,0.03,0,10,4509.51,15.28,-94.83,21,52.38,460950768.42
200,0.03,3,10,4504.03,15.27,-92.97,19,57.89,460402993.47
250,0.02,1,0,4500.08,15.27,-86.99,28,42.86,460008419.12
200,0.02,3,2,4495.79,15.27,-87.38,24,45.83,459578731.12
100,0.04,1,6,4445.3,15.22,-93.04,24,50.0,454529882.33
250,0.01,0,12,4430.85,15.2,-87.83,31,38.71,453085034.85
200,0.01,3,4,4416.19,15.19,-85.66,29,44.83,451618698.56
100,0.05,1,10,4402.68,15.18,-92.41,19,57.89,450268263.99
200,0.03,2,6,4398.23,15.17,-90.53,20,55.0,449823313.43
200,0.03,0,12,4390.35,15.17,-94.96,21,52.38,449034898.67
150,0.04,4,0,4372.34,15.15,-92.71,18,61.11,447234101.02
150,0.04,1,10,4361.94,15.14,-95.71,19,57.89,446193783.96
200,0.03,4,8,4355.38,15.13,-93.14,19,57.89,445538043.85
200,0.03,5,8,4353.37,15.13,-92.17,19,57.89,445337483.82
100,0.04,0,10,4343.28,15.12,-93.49,24,45.83,444327615.33
250,0.01,5,4,4322.59,15.1,-90.5,24,50.0,442258706.0
250,0.04,4,4,4319.45,15.1,-95.23,14,57.14,441944560.34
250,0.02,2,8,4319.43,15.1,-89.75,22,50.0,441942724.81
250,0.02,4,2,4283.3,15.06,-92.1,22,50.0,438330187.07
150,0.03,1,10,4276.71,15.06,-95.11,23,47.83,437671322.5
250,0.02,3,2,4275.37,15.06,-91.88,22,50.0,437537467.07
200,0.03,4,10,4254.95,15.04,-93.21,19,57.89,435494786.99
250,0.04,5,2,4248.77,15.03,-95.47,14,57.14,434876722.33
150,0.04,5,0,4235.56,15.02,-91.89,18,61.11,433556092.41
250,0.04,4,6,4222.23,15.0,-95.23,14,57.14,432223332.1
200,0.01,5,8,4195.17,14.98,-87.63,26,42.31,429516596.56
200,0.01,3,8,4185.6,14.97,-85.69,28,42.86,428559792.36
100,0.05,4,2,4180.35,14.96,-93.29,18,61.11,428034617.88
200,0.01,4,6,4179.43,14.96,-89.92,27,48.15,427943381.99
250,0.05,0,0,4164.73,14.95,-92.26,14,57.14,426473208.74
250,0.01,4,10,4158.85,14.94,-91.54,24,45.83,425885360.7
100,0.05,3,4,4151.08,14.93,-93.99,18,61.11,425108058.32
200,0.03,1,0,4120.65,14.9,-91.6,23,47.83,422064752.23
250,0.04,1,8,4113.61,14.89,-92.27,15,60.0,421360781.6
200,0.01,2,6,4100.67,14.88,-87.81,28,50.0,420066863.09
100,0.05,4,10,4086.54,14.87,-95.26,17,58.82,418653890.88
250,0.03,2,4,4085.56,14.87,-92.64,16,56.25,418556370.84
250,0.01,0,4,4085.23,14.87,-87.83,34,38.24,418522581.17
250,0.04,1,12,4074.18,14.85,-92.27,15,60.0,417417798.99
250,0.04,1,10,4074.18,14.85,-92.27,15,60.0,417417798.99
200,0.02,2,2,4067.89,14.85,-88.08,25,44.0,416788658.35
100,0.05,2,10,4051.62,14.83,-94.41,18,55.56,415161621.74
200,0.03,5,12,4041.73,14.82,-94.01,18,55.56,414173268.46
250,0.04,5,4,4041.57,14.82,-95.65,14,57.14,414156785.98
200,0.03,2,8,4037.36,14.82,-91.29,20,55.0,413736073.4
200,0.02,4,2,4014.85,14.79,-91.47,23,47.83,411484819.22
250,0.01,5,6,4000.44,14.78,-90.5,24,50.0,410044456.92
250,0.02,0,0,3978.38,14.76,-86.65,31,38.71,407837952.97
200,0.03,5,10,3962.65,14.74,-92.54,19,57.89,406264741.77
200,0.03,0,4,3962.38,14.74,-94.38,22,50.0,406237568.75
150,0.03,1,4,3961.45,14.74,-95.07,24,45.83,406145061.53
250,0.04,1,0,3957.26,14.73,-93.26,16,56.25,405725547.4
250,0.01,3,12,3951.82,14.73,-89.47,24,45.83,405181841.33
150,0.03,1,6,3927.11,14.7,-95.11,24,45.83,402711253.98
200,0.01,3,2,3906.01,14.68,-86.55,30,43.33,400601073.21
250,0.01,4,4,3886.7,14.66,-91.54,25,48.0,398669959.77
100,0.04,1,8,3880.51,14.65,-93.04,24,50.0,398051192.41
250,0.02,2,2,3877.21,14.65,-90.64,24,45.83,397720577.66
100,0.04,2,10,3875.63,14.65,-93.74,23,47.83,397563099.32
250,0.04,2,8,3863.93,14.63,-92.88,14,64.29,396392995.84
200,0.03,0,0,3862.27,14.63,-92.83,25,44.0,396226501.21
200,0.03,0,6,3851.64,14.62,-94.38,22,50.0,395163588.61
200,0.01,4,4,3850.19,14.62,-89.83,28,46.43,395019198.21
200,0.04,3,0,3828.16,14.6,-93.32,19,52.63,392816345.17
150,0.03,0,6,3827.31,14.59,-96.33,25,44.0,392730710.85
