asset,strategy_cagr,strategy_mdd,strategy_calmar,bh_cagr,bh_mdd,bh_calmar,calmar_advantage_pct
QQQ,11.02,-36.49,0.3,10.29,-82.96,0.12,150.0
SPY,9.7,-21.3,0.46,10.59,-55.19,0.19,142.1
IWM,3.51,-36.28,0.1,8.33,-58.64,0.14,-28.6
EFA,5.29,-26.85,0.2,6.27,-61.04,0.1,100.0
EEM,3.3,-60.88,0.05,9.51,-66.43,0.14,-64.3
GLD,9.52,-38.72,0.25,11.66,-45.55,0.26,-3.8
TLT,0.8,-38.05,0.02,3.81,-48.35,0.08,-75.0
