entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,buffer_zone_pct,hold_days_used,recent_buy_count,holding_days
1999-04-08,2000-04-17,44.97,65.37,222373,4536605.0,0.4537,signal,0.04,3,0,375
2000-06-19,2000-09-22,88.59,59.77,164088,-4728332.0,-0.3253,signal,0.04,3,0,95
2003-03-24,2004-07-27,0.22,0.37,44603391,6907486.0,0.7043,signal,0.04,3,0,491
2004-11-02,2005-04-18,0.46,0.37,36111457,-3498617.0,-0.2093,signal,0.04,3,0,167
2005-07-20,2006-05-19,0.5,0.45,26231354,-1437226.0,-0.1087,signal,0.04,3,0,303
2006-10-10,2008-01-09,0.49,0.54,23884365,1078305.0,0.0915,signal,0.04,3,0,456
2008-05-07,2008-07-03,0.56,0.41,23135479,-3273230.0,-0.2546,signal,0.05,3,0,57
2009-05-05,2010-06-30,0.12,0.19,82666431,6092396.0,0.6356,signal,0.04,3,0,421
2010-09-17,2011-08-09,0.26,0.29,60773409,1832226.0,0.1169,signal,0.04,3,0,326
2011-11-09,2012-11-15,0.38,0.44,45917632,2901163.0,0.1657,signal,0.04,3,0,372
2013-03-13,2015-08-24,0.6,1.49,34004851,30198191.0,1.4795,signal,0.04,3,0,894
2015-10-29,2016-01-11,2.4,1.85,21108316,-11558638.0,-0.2284,signal,0.04,3,0,74
2016-07-20,2018-10-25,2.21,6.08,17699745,68544183.0,1.7553,signal,0.04,3,0,827
2019-03-18,2020-03-10,6.64,8.11,16211987,23807538.0,0.2213,signal,0.04,3,0,358
2020-04-20,2022-01-24,7.82,25.68,16804696,300177680.0,2.2844,signal,0.04,3,0,644
2023-02-07,2025-03-11,11.97,29.37,36040074,626819509.0,1.4524,signal,0.04,3,0,763
