Date,Open,High,Low,Close,change_pct
1993-01-29,24.258643,24.258643,24.137953,24.241402,
1993-02-01,24.258651,24.413824,24.258651,24.413824,0.71
1993-02-02,24.39658,24.482787,24.344856,24.465546,0.21
1993-02-03,24.500021,24.741401,24.48278,24.724159,1.06
1993-02-04,24.810376,24.879342,24.534514,24.827618,0.42
1993-02-05,24.810381,24.862105,24.67245,24.810381,-0.07
1993-02-08,24.810381,24.896588,24.775898,24.810381,0.0
1993-02-09,24.72416,24.72416,24.586229,24.637953,-0.69
1993-02-10,24.637957,24.689681,24.568991,24.67244,0.14
1993-02-11,24.70692,24.896575,24.70692,24.793127,0.49
1993-02-12,24.75866,24.75866,24.603487,24.603487,-0.76
1993-02-16,24.534513,24.534513,23.948305,23.982788,-2.52
1993-02-17,23.982785,24.017268,23.879337,23.965544,-0.07
1993-02-18,24.241395,24.241395,23.620705,23.948292,-0.07
1993-02-19,23.948305,24.034512,23.913822,24.034512,0.36
1993-02-22,24.103461,24.155186,24.034496,24.120703,0.36
1993-02-23,24.189684,24.206926,23.982788,24.103477,-0.07
1993-02-24,24.12072,24.413824,24.12072,24.413824,1.29
1993-02-25,24.39658,24.482787,24.344856,24.465546,0.21
1993-02-26,24.517264,24.517264,24.379333,24.500023,0.14
1993-03-01,24.586233,24.586233,24.396578,24.431061,-0.28
1993-03-02,24.448299,24.793127,24.413816,24.793127,1.48
1993-03-03,24.827605,24.913812,24.793122,24.89657,0.42
1993-03-04,24.931068,24.931068,24.758654,24.758654,-0.55
1993-03-05,24.793125,24.896573,24.672435,24.689676,-0.28
1993-03-08,24.741407,25.241407,24.741407,25.241407,2.23
1993-03-09,25.189678,25.206919,25.103471,25.155195,-0.34
1993-03-10,25.155189,25.206913,25.05174,25.206913,0.21
1993-03-11,25.224167,25.293133,25.103478,25.13796,-0.27
1993-03-12,24.931067,24.948309,24.72417,24.879343,-1.03
1993-03-15,24.862103,25.000034,24.862103,25.000034,0.49
1993-03-16,25.000034,25.069,25.000034,25.000034,0.0
1993-03-17,24.965533,24.965533,24.81036,24.844843,-0.62
1993-03-18,24.94831,25.103483,24.94831,25.000034,0.62
1993-03-19,25.100769,25.100769,24.962187,24.962187,-0.15
1993-03-22,24.71967,24.875575,24.702347,24.823606,-0.56
1993-03-23,24.892903,24.910225,24.840934,24.87558,0.21
1993-03-24,24.840934,24.979517,24.719674,24.87558,0.0
1993-03-25,24.892906,25.083457,24.85826,25.031488,0.63
1993-03-26,25.014166,25.031489,24.875583,24.892906,-0.55
1993-03-29,24.910231,25.118105,24.910231,24.996845,0.42
1993-03-30,25.031475,25.06612,24.996829,25.06612,0.28
1993-03-31,25.135408,25.204699,25.048794,25.048794,-0.07
1993-04-01,25.083447,25.083447,24.910218,24.962187,-0.35
1993-04-02,24.754314,24.754314,24.442503,24.442503,-2.08
1993-04-05,24.633056,24.633056,24.494473,24.563765,0.5
1993-04-06,24.615734,24.615734,24.425183,24.494474,-0.28
1993-04-07,24.529128,24.581097,24.47716,24.581097,0.35
1993-04-08,24.685025,24.685025,24.442505,24.546442,-0.14
1993-04-12,24.788969,24.910229,24.754324,24.892906,1.41
1993-04-13,24.875579,25.031484,24.858256,24.94487,0.21
1993-04-14,24.962201,24.979524,24.89291,24.910233,-0.14
1993-04-15,24.89291,24.962201,24.806296,24.910233,0.0
