entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,holding_days
2005-01-31,2005-05-26,80.251897,81.334452,171,185,0.0135,0.0,3,spy,rebalance,115
2005-05-26,2005-09-20,0.475039,0.498446,80088,1875,0.0493,0.0,3,tqqq,rebalance,117
2005-05-26,2005-09-20,32.495934,33.335914,486,408,0.0258,0.0,3,qqq,rebalance,117
2005-01-31,2005-09-20,80.251897,84.344916,368,1506,0.051,0.0,3,spy,rebalance,232
2005-09-20,2005-12-02,46.65956,49.78021,699,2181,0.0669,0.0,3,gld,rebalance,73
2005-05-26,2005-12-02,0.475039,0.592284,275808,32337,0.2468,0.0,3,tqqq,rebalance,190
2005-05-26,2005-12-02,32.495934,35.702449,274,879,0.0987,0.0,3,qqq,rebalance,190
2005-09-20,2006-04-04,46.65956,58.264679,7516,87224,0.2487,0.0,3,gld,rebalance,196
2005-09-20,2006-05-18,46.65956,68.483932,8966,195677,0.4677,0.0,3,gld,rebalance,240
2005-05-26,2006-06-12,0.480321,0.40959,3126194,-221121,-0.1473,0.0,3,tqqq,signal,382
2005-05-26,2006-06-12,32.81808,32.619993,42349,-8389,-0.006,0.0,3,qqq,signal,382
2005-01-31,2006-09-29,81.183174,93.27069,1840,22241,0.1489,0.0,3,spy,rebalance,606
2005-09-20,2006-12-04,47.554743,63.837909,670,10910,0.3424,0.0,3,gld,rebalance,440
2006-09-29,2006-12-04,0.47175,0.555333,259853,21719,0.1772,0.0,3,tqqq,rebalance,66
2006-09-29,2006-12-04,35.179672,37.440156,45,102,0.0643,0.0,3,qqq,rebalance,66
2006-09-29,2007-06-04,0.47175,0.635787,247251,40558,0.3477,0.0,3,tqqq,rebalance,248
2006-09-29,2007-06-04,35.179672,40.49027,1066,5661,0.151,0.0,3,qqq,rebalance,248
2005-01-31,2007-06-04,81.413972,108.054435,672,17902,0.3272,0.0,3,spy,rebalance,854
2005-09-20,2007-10-02,47.957513,72.232647,1936,46997,0.5062,0.0,3,gld,rebalance,742
2006-09-29,2007-10-02,0.47175,0.788392,264290,83685,0.6712,0.0,3,tqqq,rebalance,368
2006-09-29,2007-10-02,35.179672,44.634177,439,4151,0.2687,0.0,3,qqq,rebalance,368
2005-09-20,2007-11-27,47.957513,80.457897,6912,224643,0.6777,0.0,3,gld,rebalance,798
2005-01-31,2008-01-16,84.894958,98.062588,16299,214619,0.1551,0.0,3,spy,signal,1080
2006-09-29,2008-01-17,0.50624,0.504621,2595081,-4203,-0.0032,0.0,3,tqqq,signal,475
2006-09-29,2008-01-17,35.5924,39.700919,38838,159567,0.1154,0.0,3,qqq,signal,475
2005-09-20,2008-03-04,47.957513,96.988159,8486,416074,1.0224,0.0,3,gld,rebalance,896
2005-09-20,2008-06-27,50.575961,90.707063,3735,149890,0.7935,0.0,3,gld,rebalance,1011
