Date,equity,cash,rebalanced,tqqq_value,tqqq_weight,tqqq_signal,gld_value,gld_weight,gld_signal,drawdown_pct
2007-02-09,11607477,41,False,7075042,0.6095,buy,4532394,0.3905,buy,-11.06
2007-02-12,11490310,41,False,6988722,0.6082,buy,4501547,0.3918,buy,-11.96
2007-02-13,11569844,41,False,7056602,0.6099,buy,4513200,0.3901,buy,-11.35
2007-02-14,11959274,41,False,7409702,0.6196,buy,4549531,0.3804,buy,-8.37
2007-02-15,12087300,41,False,7534986,0.6234,buy,4552273,0.3766,buy,-7.39
2007-02-16,12003938,41,False,7455051,0.6211,buy,4548845,0.3789,buy,-8.02
2007-02-20,12097735,41,False,7620824,0.6299,buy,4476870,0.3701,buy,-7.31
2007-02-21,12304202,41,False,7687453,0.6248,buy,4616708,0.3752,buy,-5.72
2007-02-22,12403423,41,False,7800383,0.6289,buy,4602998,0.3711,buy,-4.96
2007-02-23,12355537,41,False,7713425,0.6243,buy,4642071,0.3757,buy,-5.33
2007-02-26,12264641,41,False,7596481,0.6194,buy,4668119,0.3806,buy,-6.03
2007-02-27,11139783,41,False,6656017,0.5975,buy,4483725,0.4025,buy,-14.65
2007-02-28,11274012,41,False,6716900,0.5958,buy,4557071,0.4042,buy,-13.62
2007-03-01,11131855,41,False,6619985,0.5947,buy,4511829,0.4053,buy,-14.71
2007-03-02,10684095,41,False,6316861,0.5912,buy,4367193,0.4088,buy,-18.14
2007-03-05,10479750,41,False,6165983,0.5884,buy,4313726,0.4116,buy,-19.7
2007-03-06,10867011,41,False,6469615,0.5953,buy,4397354,0.4047,buy,-16.74
2007-03-07,10796564,41,False,6388886,0.5918,buy,4407637,0.4082,buy,-17.28
2007-03-08,10935424,41,False,6515408,0.5958,buy,4419975,0.4042,buy,-16.21
2007-03-09,10897700,41,False,6493450,0.5959,buy,4404209,0.4041,buy,-16.5
2007-03-12,11029216,41,False,6616740,0.5999,buy,4412435,0.4001,buy,-15.49
2007-03-13,10594929,41,False,6227010,0.5877,buy,4367879,0.4123,buy,-18.82
