Date,equity,cash,rebalanced,tqqq_value,tqqq_weight,tqqq_signal,gld_value,gld_weight,gld_signal,tlt_value,tlt_weight,tlt_signal,drawdown_pct
2015-09-01,56169920,45687175,False,0,0.0,sell,0,0.0,sell,10482744,0.1866,buy,-19.39
2015-09-02,56079719,45687175,False,0,0.0,sell,0,0.0,sell,10392544,0.1853,buy,-19.52
2015-09-03,56130401,45687175,False,0,0.0,sell,0,0.0,sell,10443226,0.1861,buy,-19.45
2015-09-04,56225756,45687175,False,0,0.0,sell,0,0.0,sell,10538581,0.1874,buy,-19.31
2015-09-08,56070268,45687175,False,0,0.0,sell,0,0.0,sell,10383093,0.1852,buy,-19.53
2015-09-09,56120103,45687175,False,0,0.0,sell,0,0.0,sell,10432927,0.1859,buy,-19.46
2015-09-10,56049657,45687175,False,0,0.0,sell,0,0.0,sell,10362482,0.1849,buy,-19.56
2015-09-11,56114938,45687175,False,0,0.0,sell,0,0.0,sell,10427763,0.1858,buy,-19.47
2015-09-14,56131266,45687175,False,0,0.0,sell,0,0.0,sell,10444091,0.1861,buy,-19.44
2015-09-15,55931108,45687175,False,0,0.0,sell,0,0.0,sell,10243933,0.1832,buy,-19.73
2015-09-16,55892453,45687175,False,0,0.0,sell,0,0.0,sell,10205278,0.1826,buy,-19.79
2015-09-17,56017016,45687175,False,0,0.0,sell,0,0.0,sell,10329841,0.1844,buy,-19.61
2015-09-18,56175933,45687175,False,0,0.0,sell,0,0.0,sell,10488758,0.1867,buy,-19.38
2015-09-21,56004982,45687175,False,0,0.0,sell,0,0.0,sell,10317807,0.1842,buy,-19.63
2015-09-22,56148446,45687175,False,0,0.0,sell,0,0.0,sell,10461271,0.1863,buy,-19.42
2015-09-23,56147584,45687175,False,0,0.0,sell,0,0.0,sell,10460409,0.1863,buy,-19.42
2015-09-24,56218879,45687175,False,0,0.0,sell,0,0.0,sell,10531703,0.1873,buy,-19.32
2015-09-25,56127829,45687175,False,0,0.0,sell,0,0.0,sell,10440653,0.186,buy,-19.45
2015-09-28,56306506,45687175,False,0,0.0,sell,0,0.0,sell,10619330,0.1886,buy,-19.19
2015-09-29,56336571,45687175,False,0,0.0,sell,0,0.0,sell,10649396,0.189,buy,-19.15
2015-09-30,56299637,45687175,False,0,0.0,sell,0,0.0,sell,10612462,0.1885,buy,-19.2
2015-10-01,56344915,45687175,False,0,0.0,sell,0,0.0,sell,10657739,0.1892,buy,-19.14
2015-10-02,56409472,45687175,False,0,0.0,sell,0,0.0,sell,10722297,0.1901,buy,-19.05
2015-10-05,56263995,45687175,False,0,0.0,sell,0,0.0,sell,10576820,0.188,buy,-19.25
2015-10-06,56309615,45687175,False,0,0.0,sell,0,0.0,sell,10622439,0.1886,buy,-19.19
2015-10-07,56274324,45687175,False,0,0.0,sell,0,0.0,sell,10587149,0.1881,buy,-19.24
2015-10-08,56185659,45687175,False,0,0.0,sell,0,0.0,sell,10498484,0.1869,buy,-19.37
2015-10-09,56213205,45687175,False,0,0.0,sell,0,0.0,sell,10526029,0.1873,buy,-19.33
2015-10-12,56293263,45687175,False,0,0.0,sell,0,0.0,sell,10606088,0.1884,buy,-19.21
2015-10-13,56311345,45687175,False,0,0.0,sell,0,0.0,sell,10624169,0.1887,buy,-19.19
2015-10-14,56404309,45687175,False,0,0.0,sell,0,0.0,sell,10717134,0.19,buy,-19.05
2015-10-15,56351798,45687175,False,0,0.0,sell,0,0.0,sell,10664623,0.1893,buy,-19.13
2015-10-16,56355242,45687175,False,0,0.0,sell,0,0.0,sell,10668067,0.1893,buy,-19.12
2015-10-19,56325973,45687175,False,0,0.0,sell,0,0.0,sell,10638798,0.1889,buy,-19.17
2015-10-20,56260553,45687175,False,0,0.0,sell,0,0.0,sell,10573378,0.1879,buy,-19.26
2015-10-21,56365571,45687175,False,0,0.0,sell,0,0.0,sell,10678396,0.1894,buy,-19.11
2015-10-22,56383648,45687175,False,0,0.0,sell,0,0.0,sell,10696473,0.1897,buy,-19.08
2015-10-23,56292398,45687175,False,0,0.0,sell,0,0.0,sell,10605223,0.1884,buy,-19.21
2015-10-26,56362992,45687175,False,0,0.0,sell,0,0.0,sell,10675817,0.1894,buy,-19.11
2015-10-27,56389674,45687175,False,0,0.0,buy,0,0.0,sell,10702499,0.1898,buy,-19.07
2015-10-28,56868147,11277985,True,34359068,0.6042,buy,0,0.0,sell,11231094,0.1975,buy,-18.39
2015-10-29,56562482,11277985,False,34232078,0.6052,buy,0,0.0,sell,11052418,0.1954,buy,-18.83
2015-10-30,56177477,11277985,False,33763632,0.601,buy,0,0.0,sell,11135860,0.1982,buy,-19.38
2015-11-02,57277636,11277985,False,34914963,0.6096,buy,0,0.0,sell,11084687,0.1935,buy,-17.8
2015-11-03,57519728,11277985,False,35247950,0.6128,buy,0,0.0,sell,10993792,0.1911,buy,-17.45
2015-11-04,57546554,11277985,False,35262052,0.6128,buy,0,0.0,sell,11006516,0.1913,buy,-17.41
2015-11-05,57207066,11277985,False,34951651,0.611,buy,0,0.0,sell,10977430,0.1919,buy,-17.9
2015-11-06,57161877,11277985,False,35067348,0.6135,buy,0,0.0,sell,10816544,0.1892,buy,-17.97
2015-11-09,55972237,11277985,False,33938602,0.6063,buy,0,0.0,sell,10755649,0.1922,buy,-19.67
2015-11-10,55764187,11277985,False,33698740,0.6043,buy,0,0.0,sell,10787462,0.1934,buy,-19.97
2015-11-11,55591898,11277985,False,33549179,0.6035,buy,0,0.0,sell,10764734,0.1936,buy,-20.22
2015-11-12,54670170,11277985,False,32575641,0.5959,buy,0,0.0,sell,10816544,0.1979,buy,-21.54
2015-11-13,52815919,11277985,False,30659579,0.5805,buy,0,0.0,sell,10878355,0.206,buy,-24.2
2015-11-16,54084235,11277985,False,31937899,0.5905,buy,0,0.0,sell,10868351,0.201,buy,-22.38
