Date,equity,position,buffer_zone_pct,upper_band,lower_band,drawdown_pct
1999-03-10,10000000,0,0.05,45.285099,40.972233,0.0
1999-03-11,10000000,0,0.05,45.288036,40.974889,0.0
1999-03-12,10000000,0,0.05,45.27625,40.964226,0.0
1999-03-15,10000000,0,0.05,45.281506,40.968982,0.0
1999-03-16,10000000,0,0.05,45.291832,40.978324,0.0
1999-03-17,10000000,0,0.05,45.297616,40.983557,0.0
1999-03-18,10000000,0,0.05,45.315069,40.999348,0.0
1999-03-19,10000000,0,0.05,45.316508,41.00065,0.0
1999-03-22,10000000,0,0.05,45.310585,40.995291,0.0
1999-03-23,10000000,0,0.05,45.283818,40.971073,0.0
1999-03-24,10000000,0,0.05,45.27686,40.964778,0.0
1999-03-25,10000000,0,0.05,45.291652,40.978162,0.0
1999-03-26,10000000,0,0.05,45.299641,40.985389,0.0
1999-03-29,10000000,0,0.05,45.329548,41.012448,0.0
1999-03-30,10000000,0,0.05,45.354655,41.035164,0.0
1999-03-31,10000000,0,0.05,45.370252,41.049275,0.0
1999-04-01,10000000,0,0.05,45.39849,41.074824,0.0
1999-04-05,10000000,0,0.05,45.449112,41.120625,0.0
1999-04-06,10000000,0,0.05,45.500349,41.166983,0.0
1999-04-07,10000000,0,0.05,45.544117,41.206582,0.0
1999-04-08,10066501,214865,0.05,45.592444,41.250306,0.0
1999-04-09,10128883,214865,0.06,46.078874,40.862398,0.0
1999-04-12,10060833,214865,0.06,46.125953,40.904147,-0.67
1999-04-13,9924719,214865,0.06,46.163515,40.937456,-2.02
1999-04-14,9584446,214865,0.06,46.178344,40.950607,-5.38
1999-04-15,9714883,214865,0.06,46.201501,40.971142,-4.09
1999-04-16,9431321,214865,0.06,46.205822,40.974974,-6.89
1999-04-19,8988962,214865,0.06,46.181181,40.953123,-11.25
1999-04-20,9193131,214865,0.06,46.170207,40.943391,-9.24
1999-04-21,9646831,214865,0.06,46.189025,40.960078,-4.76
1999-04-22,9907703,214865,0.06,46.224639,40.991661,-2.18
1999-04-23,10038145,214865,0.06,46.268304,41.030383,-0.9
1999-04-26,10269246,214865,0.06,46.326492,41.081984,0.0
1999-04-27,10111872,214865,0.06,46.373627,41.123782,-1.53
1999-04-28,9765926,214865,0.06,46.397532,41.144981,-4.9
1999-04-29,9686527,214865,0.06,46.415932,41.161298,-5.67
1999-04-30,9748911,214865,0.06,46.438165,41.181014,-5.07
1999-05-03,9697874,214865,0.06,46.456768,41.197512,-5.56
1999-05-04,9544750,214865,0.06,46.46512,41.204918,-7.06
1999-05-05,9833979,214865,0.06,46.49226,41.228985,-4.24
1999-05-06,9476690,214865,0.06,46.495695,41.232031,-7.72
1999-05-07,9612802,214865,0.06,46.507977,41.242923,-6.39
1999-05-10,9709216,214865,0.06,46.526397,41.259258,-5.45
1999-05-11,9862339,214865,0.06,46.554579,41.284249,-3.96
1999-05-12,10066501,214865,0.06,46.595727,41.320739,-1.97
1999-05-13,9879350,214865,0.06,46.624102,41.345902,-3.8
1999-05-14,9692198,214865,0.06,46.639872,41.359886,-5.62
1999-05-17,9866590,214865,0.06,46.666828,41.383791,-3.92
1999-05-18,9822638,214865,0.06,46.690555,41.404832,-4.35
1999-05-19,9958747,214865,0.06,46.722862,41.433481,-3.02
1999-05-20,9685108,214865,0.06,46.736861,41.445895,-5.69
1999-05-21,9595788,214865,0.06,46.744837,41.452969,-6.56
1999-05-24,9351924,214865,0.06,46.736774,41.445818,-8.93
1999-05-25,9045675,214865,0.06,46.708806,41.421017,-11.91
1999-05-26,9298046,214865,0.06,46.6977,41.411168,-9.46
1999-05-27,9289539,214865,0.06,46.686184,41.400956,-9.54
1999-05-28,9442665,214865,0.06,46.684827,41.399752,-8.05
1999-06-01,9232825,214865,0.06,46.669776,41.386405,-10.09
1999-06-02,9388787,214865,0.06,46.665116,41.382272,-8.57
1999-06-03,9255513,214865,0.06,46.651808,41.370472,-9.87
1999-06-04,9539074,214865,0.06,46.657206,41.375258,-7.11
1999-06-07,9737570,214865,0.06,46.675502,41.391483,-5.18
1999-06-08,9493706,214865,0.06,46.677621,41.393362,-7.55
1999-06-09,9652500,214865,0.06,46.690088,41.404418,-6.01
1999-06-10,9541911,214865,0.06,46.695164,41.408919,-7.08
1999-06-11,9397291,214865,0.06,46.690723,41.404981,-8.49
1999-06-14,9220065,214865,0.06,46.674761,41.390825,-10.22
1999-06-15,9357595,214865,0.06,46.667996,41.384827,-8.88
1999-06-16,9838233,214865,0.06,46.692727,41.406758,-4.2
1999-06-17,9947404,214865,0.06,46.724263,41.434724,-3.13
1999-06-18,9992778,214865,0.06,46.758347,41.464949,-2.69
1999-06-21,10291936,214865,0.06,46.811527,41.512109,0.0
1999-06-22,9981434,214865,0.06,46.843714,41.540652,-3.02
1999-06-23,10138810,214865,0.06,46.885758,41.577936,-1.49
1999-06-24,9937482,214865,0.06,46.914089,41.60306,-3.44
1999-06-25,9924719,214865,0.06,46.941212,41.627112,-3.57
1999-06-28,10160077,214865,0.06,46.983354,41.664484,-1.28
1999-06-29,10299025,214865,0.06,47.034017,41.709411,0.0
1999-06-30,10457820,214865,0.06,47.094385,41.762945,0.0
1999-07-01,10528708,214865,0.06,47.158585,41.819877,0.0
1999-07-02,10661987,214865,0.06,47.230644,41.883779,0.0
1999-07-06,10593926,214865,0.06,47.297301,41.94289,-0.64
1999-07-07,10610941,214865,0.06,47.364187,42.002204,-0.48
1999-07-08,10752723,214865,0.06,47.439451,42.068948,0.0
1999-07-09,10860476,214865,0.06,47.52076,42.141051,0.0
1999-07-12,10803764,214865,0.06,47.597286,42.208914,-0.52
1999-07-13,10752723,214865,0.06,47.669463,42.27292,-0.99
1999-07-14,10935620,214865,0.06,47.752635,42.346676,0.0
1999-07-15,11036290,214865,0.06,47.841283,42.425289,0.0
