train_start,train_end,test_month,bin_width_pct,stat_func,test_rmse_pct,n_train_days,n_test_days,n_bins,ffr_pct_test,spread_test
2016-04,2021-03,2021-04,2.0,median,0.0371,1259,21,2,0.07,0.0036
2016-05,2021-04,2021-05,2.0,median,0.0876,1259,20,2,0.06,0.0038
2016-06,2021-05,2021-06,2.0,median,0.0483,1258,22,2,0.08,0.0042
2016-07,2021-06,2021-07,2.0,median,0.0648,1258,21,2,0.1,0.0042
2016-08,2021-07,2021-08,2.0,median,0.0487,1259,22,2,0.09,0.0045
2016-09,2021-08,2021-09,2.0,median,0.0559,1258,21,2,0.08,0.0054
2016-10,2021-09,2021-10,2.0,median,0.0543,1258,21,2,0.08,0.0054
2016-11,2021-10,2021-11,2.0,median,0.1237,1258,21,2,0.08,0.0058
2016-12,2021-11,2021-12,2.0,median,0.1195,1258,22,2,0.08,0.0058
2017-01,2021-12,2022-01,2.0,median,0.1319,1259,20,2,0.08,0.0059
2017-02,2022-01,2022-02,2.0,median,0.105,1259,19,2,0.08,0.0057
2017-03,2022-02,2022-03,2.0,median,0.2037,1259,23,2,0.2,0.0055
2017-04,2022-03,2022-04,2.0,median,0.1746,1259,20,2,0.33,0.0052
2017-05,2022-04,2022-05,2.0,median,0.2622,1260,21,2,0.77,0.0053
2017-06,2022-05,2022-06,2.0,median,0.117,1259,21,2,1.21,0.0055
2017-07,2022-06,2022-07,2.0,median,0.1085,1258,20,2,1.68,0.0053
2017-08,2022-07,2022-08,2.0,median,0.0661,1258,23,2,2.33,0.0103
2017-09,2022-08,2022-09,2.0,median,0.1109,1258,21,2,2.56,0.011
2017-10,2022-09,2022-10,2.0,median,0.15,1259,21,2,3.08,0.0108
2017-11,2022-10,2022-11,2.0,median,0.1283,1258,21,2,3.78,0.0112
2017-12,2022-11,2022-12,2.0,median,0.1423,1258,21,2,4.1,0.0119
2018-01,2022-12,2023-01,2.0,median,0.1227,1259,20,3,4.33,-0.0302
2018-02,2023-01,2023-02,2.0,median,0.1802,1258,19,3,4.57,0.0031
2018-03,2023-02,2023-03,2.0,median,0.0518,1258,23,3,4.65,0.0033
2018-04,2023-03,2023-04,2.0,median,0.0552,1260,19,3,4.83,0.0191
2018-05,2023-04,2023-05,2.0,median,0.0782,1258,22,3,5.06,0.0081
2018-06,2023-05,2023-06,2.0,median,0.0917,1258,21,3,5.08,0.0052
2018-07,2023-06,2023-07,2.0,median,0.0459,1258,20,3,5.12,0.0031
2018-08,2023-07,2023-08,2.0,median,0.0712,1257,23,3,5.33,0.0031
2018-09,2023-08,2023-09,2.0,median,0.0926,1257,20,3,5.33,0.0027
2018-10,2023-09,2023-10,2.0,median,0.0563,1258,22,3,5.33,0.0027
2018-11,2023-10,2023-11,2.0,median,0.0586,1257,21,3,5.33,0.0014
2018-12,2023-11,2023-12,2.0,median,0.0865,1257,20,3,5.33,0.0023
2019-01,2023-12,2024-01,2.0,median,0.082,1258,21,3,5.33,0.002
2019-02,2024-01,2024-02,2.0,median,0.1273,1258,20,3,5.33,0.0014
2019-03,2024-02,2024-03,2.0,median,0.0672,1259,20,3,5.33,0.002
2019-04,2024-03,2024-04,2.0,median,0.0776,1258,22,3,5.33,0.0024
2019-05,2024-04,2024-05,2.0,median,0.1276,1259,22,3,5.33,0.0022
2019-06,2024-05,2024-06,2.0,median,0.0534,1259,19,3,5.33,0.0019
2019-07,2024-06,2024-07,2.0,median,0.0769,1258,22,3,5.33,0.0019
2019-08,2024-07,2024-08,2.0,median,0.1552,1258,22,3,5.33,0.0019
2019-09,2024-08,2024-09,2.0,median,0.0879,1258,20,3,5.13,0.0019
2019-10,2024-09,2024-10,2.0,median,0.0596,1258,23,3,4.83,0.0019
2019-11,2024-10,2024-11,2.0,median,0.0572,1258,20,3,4.64,0.0016
2019-12,2024-11,2024-12,2.0,median,0.0714,1258,21,3,4.48,0.0022
2020-01,2024-12,2025-01,2.0,median,0.1505,1258,20,3,4.33,0.002
2020-02,2025-01,2025-02,2.0,median,0.0925,1257,19,3,4.33,0.0023
2020-03,2025-02,2025-03,2.0,median,0.2003,1257,21,3,4.33,0.0024
2020-04,2025-03,2025-04,2.0,median,0.202,1256,21,3,4.33,0.0024
2020-05,2025-04,2025-05,2.0,median,0.2721,1256,21,3,4.33,0.0024
2020-06,2025-05,2025-06,2.0,median,0.0633,1257,20,3,4.33,0.0024
2020-07,2025-06,2025-07,2.0,median,0.1135,1255,22,3,4.33,0.0024
2020-08,2025-07,2025-08,2.0,median,0.035,1255,21,3,4.33,0.0024
2020-09,2025-08,2025-09,2.0,median,0.0206,1255,21,3,4.22,0.0025
2020-10,2025-09,2025-10,2.0,median,0.0648,1255,23,3,4.09,0.0023
2020-11,2025-10,2025-11,2.0,median,0.1342,1256,19,3,3.88,0.0244
2020-12,2025-11,2025-12,2.0,median,0.104,1255,20,3,3.72,0.0222
