metric,value
test_rmse_mean,0.1279
test_rmse_median,0.102
test_rmse_std,0.1288
test_rmse_min,0.0206
test_rmse_max,1.3614
a_mean,0.0
a_std,0.0
b_mean,0.0
b_std,0.0
n_test_months,131.0
train_window_months,60.0
stitched_rmse,2.2346
