entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,recent_sell_count,holding_days
2002-05-21,2002-06-20,21.72669,19.723618,460263,-921940,-0.0922,0.03,3,0,30
2003-05-15,2008-01-17,18.455512,42.479087,491888,11816908,1.3017,0.03,3,0,1708
2008-05-21,2008-06-23,45.304537,41.108976,461211,-1935039,-0.0926,0.03,3,0,33
2009-06-04,2010-05-07,28.759537,30.750894,659257,1312816,0.0692,0.03,3,0,337
2010-08-06,2011-08-05,33.663688,34.91193,602214,751709,0.0371,0.03,3,0,364
2012-02-23,2012-05-15,35.820764,32.643091,586934,-1865084,-0.0887,0.03,3,0,82
2012-08-22,2014-10-08,35.079404,44.296844,546171,5034298,0.2628,0.03,3,0,777
2015-03-02,2015-08-24,47.173843,42.019711,512861,-2643354,-0.1093,0.03,3,0,175
2016-08-17,2018-10-12,44.613284,51.173946,483047,3169108,0.1471,0.03,3,0,786
2019-04-09,2020-02-28,53.610019,51.059757,461097,-1175918,-0.0476,0.03,3,0,325
2020-06-11,2022-03-02,51.970768,63.62379,453014,5278982,0.2242,0.03,3,0,629
2022-12-06,2023-10-27,60.742521,61.299248,474502,264168,0.0092,0.03,3,0,325
2023-11-24,2025-04-07,66.991082,69.970317,434186,1293542,0.0445,0.03,3,0,500
