Date,Open,High,Low,Close,Volume,ma_200,change_pct
2001-08-27,22.245234,22.245234,22.164026,22.202038,44700,22.202038,
2001-08-28,22.046536,22.072453,21.906586,21.948053,319800,22.199511,-1.14
2001-08-29,22.003345,22.011984,21.821927,21.847845,128400,22.196012,-0.46
2001-08-30,21.597306,21.597306,21.476361,21.536833,36900,22.189453,-1.42
2001-08-31,21.528203,21.623232,21.493648,21.588676,1656900,22.183475,0.24
2001-09-04,21.130815,21.33815,21.09626,21.09626,570000,22.172657,-2.28
2001-09-05,21.027144,21.087618,20.906199,20.966673,31500,22.160657,-0.61
2001-09-06,20.647035,20.647035,20.491535,20.491535,284700,22.144049,-2.27
2001-09-07,20.456971,20.456971,20.30147,20.370581,99900,22.126402,-0.59
2001-09-10,19.921365,20.145978,19.80042,20.137337,1438200,22.106611,-1.15
2001-09-17,19.04883,19.333914,19.022913,19.256165,170400,22.078248,-4.38
2001-09-18,19.083387,19.221609,19.005637,19.100664,991500,22.04862,-0.81
2001-09-19,19.282087,19.282087,18.806946,19.048836,435600,22.018772,-0.27
2001-09-20,18.539139,18.539139,18.2195,18.2195,123000,21.980968,-4.35
2001-09-21,16.932288,17.882569,16.932288,17.709791,110100,21.938469,-2.8
2001-09-24,18.314517,18.565046,18.202213,18.530491,139500,21.904558,4.63
2001-09-25,18.729188,18.88469,18.582327,18.746468,151500,21.873135,1.17
2001-09-26,18.910608,18.910608,18.781024,18.841496,138600,21.842969,0.51
2001-09-27,18.841495,19.143858,18.806939,19.138674,662400,21.816061,1.58
2001-09-28,19.333915,19.551617,19.295903,19.511877,663900,21.793133,1.95
2001-10-01,19.212969,19.406481,19.174958,19.406481,432900,21.769386,-0.54
2001-10-02,19.206797,19.475,19.206797,19.475,309900,21.746556,0.35
2001-10-03,19.120285,19.758781,19.120285,19.673996,398700,21.725933,1.02
2001-10-04,19.847032,19.98546,19.656696,19.883369,578400,21.707599,1.06
2001-10-05,19.883362,20.002755,19.77781,19.914509,274200,21.689758,0.16
2001-10-08,19.67919,19.942203,19.656697,19.795122,127800,21.670906,-0.6
2001-10-09,19.890283,19.959498,19.717249,19.743204,2442600,21.651725,-0.26
2001-10-10,19.985457,20.175796,19.985457,20.141188,84600,21.636694,2.02
2001-10-11,20.357484,20.407662,20.158493,20.279617,197400,21.623191,0.69
2001-10-12,20.037367,20.25366,20.037367,20.25366,83400,21.609564,-0.13
2001-10-15,19.98545,20.071968,19.924887,19.93354,192600,21.592887,-1.58
2001-10-16,20.123886,20.210403,20.037368,20.210403,361800,21.579131,1.39
2001-10-17,20.591073,20.591073,20.227701,20.227701,224700,21.565684,0.09
2001-10-18,20.123883,20.175795,19.898938,20.063322,260700,21.550735,-0.81
2001-10-19,19.795119,19.881637,19.684378,19.864334,258000,21.533955,-0.99
2001-10-22,19.725904,20.002758,19.725904,20.002758,393000,21.518719,0.7
2001-10-23,20.227704,20.296917,20.161951,20.161951,159300,21.505219,0.8
2001-10-24,20.331523,20.418039,20.262309,20.364399,161100,21.493868,1.0
2001-10-25,20.115231,20.366131,20.028713,20.334984,63900,21.482336,-0.14
2001-10-26,20.262309,20.46649,20.262309,20.46649,169500,21.472228,0.65
2001-10-29,20.418044,20.433618,20.039099,20.039099,595500,21.457968,-2.09
2001-10-30,19.916241,19.96815,19.736284,19.81242,260100,21.441595,-1.13
2001-10-31,20.054664,20.115227,19.840103,19.867788,783000,21.425935,0.28
2001-11-01,20.141181,20.286531,20.020057,20.286531,810300,21.414598,2.11
2001-11-02,20.241547,20.293459,20.130805,20.284807,908700,21.403356,-0.01
2001-11-05,20.314223,20.532248,20.314223,20.487259,168600,21.394241,1.0
2001-11-06,20.504558,20.738154,20.435345,20.700087,651300,21.387334,1.04
2001-11-07,20.400742,20.573775,20.383438,20.513214,352200,21.378636,-0.9
2001-11-08,20.642992,20.845442,20.642992,20.660295,989400,21.371488,0.72
2001-11-09,20.469952,20.648178,20.461301,20.625683,970200,21.364067,-0.17
2001-11-12,20.331526,20.379974,20.20175,20.348829,512700,21.353965,-1.34
2001-11-13,20.469949,20.559926,20.457836,20.535702,298800,21.345824,0.92
2001-11-14,20.625686,20.655102,20.521865,20.556471,152400,21.337969,0.1
2001-11-15,20.547818,20.656829,20.537436,20.644718,4697400,21.331071,0.43
2001-11-16,20.764103,20.812553,20.684508,20.760641,659700,21.325395,0.56
2001-11-19,20.97175,21.011546,20.835051,20.864468,432900,21.320809,0.5
2001-11-20,20.850628,20.859279,20.720852,20.720852,358800,21.314839,-0.69
2001-11-21,20.729505,20.729505,20.589347,20.667212,143100,21.308395,-0.26
2001-11-23,20.660289,20.732964,20.660289,20.732964,228300,21.30267,0.32
2001-11-26,20.91984,20.971751,20.829862,20.933683,360300,21.298998,0.97
2001-11-27,20.807367,20.809098,20.594535,20.77103,443700,21.293745,-0.78
2001-11-28,20.418039,20.551276,20.400736,20.409388,534000,21.284945,-1.74
2001-11-29,20.495911,20.521866,20.395552,20.454382,1168500,21.276681,0.22
2001-11-30,20.487259,20.599731,20.487259,20.532248,1092600,21.269273,0.38
2001-12-03,20.296916,20.404198,20.255389,20.357479,541500,21.260201,-0.85
2001-12-04,20.452646,20.646444,20.452646,20.646444,1386300,21.254094,1.42
2001-12-05,20.911183,21.179386,20.897342,21.143049,524400,21.252989,2.41
2001-12-06,21.110176,21.245142,21.08076,21.208805,508200,21.252549,0.31
2001-12-07,20.95444,21.013271,20.852348,20.888687,5501100,21.248929,-1.51
2001-12-10,20.487259,20.634338,20.461304,20.487259,564000,21.24135,-1.92
2001-12-11,20.556473,20.648183,20.523597,20.528788,1061100,21.23426,0.2
