entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,holding_days
2004-12-10,2005-01-31,44.629977,45.723395,1004,1098,0.0245,0.0,3,tlt,rebalance,52
2004-11-19,2006-01-04,44.554759,52.711389,5747,46876,0.1831,0.0,0,gld,rebalance,411
2004-12-10,2006-05-02,44.863247,44.266269,34685,-20706,-0.0133,0.0,3,tlt,signal,508
2004-11-19,2006-05-02,44.554759,65.403198,6877,143375,0.4679,0.0,0,gld,rebalance,529
2005-01-31,2006-09-25,80.559686,91.5776,2524,27809,0.1368,0.0,3,spy,rebalance,602
2005-01-31,2007-06-04,80.559686,107.760187,2722,74040,0.3376,0.0,3,spy,rebalance,854
2006-09-25,2007-11-02,48.741525,51.577476,1249,3542,0.0582,0.0,3,tlt,rebalance,403
2004-11-19,2007-11-02,45.859263,78.314353,5286,171558,0.7077,0.0,0,gld,rebalance,1078
2005-01-31,2008-01-16,82.113022,97.795546,78180,1226060,0.191,0.0,3,spy,signal,1080
2006-09-25,2008-02-04,48.741525,54.445192,2640,15058,0.117,0.0,3,tlt,rebalance,497
2004-11-19,2008-02-04,45.859263,88.244472,6120,259397,0.9242,0.0,0,gld,rebalance,1172
2006-09-25,2008-11-04,48.741525,55.424945,2108,14089,0.1371,0.0,3,tlt,rebalance,771
2006-09-25,2008-12-02,48.741525,64.944153,4315,69914,0.3324,0.0,3,tlt,rebalance,799
2004-11-19,2008-12-02,50.238148,76.669302,702,18555,0.5261,0.0,0,gld,rebalance,1474
2004-11-19,2009-02-03,50.238148,89.071976,5235,203295,0.773,0.0,0,gld,rebalance,1537
2006-09-25,2009-05-08,49.73328,57.689356,33659,267794,0.16,0.0,3,tlt,signal,956
2004-11-19,2009-07-27,50.238148,93.618302,2011,87237,0.8635,0.0,0,gld,rebalance,1711
2009-07-27,2009-10-02,72.716287,75.697396,1075,3205,0.041,0.0,3,spy,rebalance,67
2004-11-19,2009-10-02,50.238148,97.546476,137,6481,0.9417,0.0,0,gld,rebalance,1778
