asset,ma=50,ma=100,ma=150,ma=200,ma=250,ma=300
QQQ,7.6,9.07,11.3,10.77,9.35,9.1
SPY,7.81,9.57,9.75,9.42,9.12,9.37
IWM,3.66,4.1,3.31,3.86,3.91,4.86
EFA,4.89,4.13,4.93,5.37,5.55,4.73
EEM,8.17,6.86,6.19,3.89,4.82,5.7
GLD,5.55,6.88,8.31,9.31,8.66,10.01
TLT,1.51,2.03,0.6,0.82,1.19,1.55
