asset,buy=0.01,buy=0.02,buy=0.03,buy=0.05,buy=0.07,buy=0.10
QQQ,10.42,10.31,10.93,9.72,8.88,7.46
SPY,9.54,9.4,9.51,8.58,7.43,4.42
IWM,3.56,3.71,3.85,3.82,4.21,4.17
EFA,5.66,5.14,5.39,4.68,5.03,3.61
EEM,5.09,4.2,3.91,3.16,3.65,5.02
GLD,9.48,9.36,9.75,9.39,9.24,8.24
TLT,1.18,1.54,0.83,1.13,-0.38,-2.13
