asset,hold=0,hold=1,hold=2,hold=3,hold=4,hold=5,hold=7,hold=10
QQQ,18,16,16,14,14,14,14,13
SPY,13,13,11,11,11,11,11,10
IWM,26,23,22,19,18,18,18,16
EFA,14,13,13,13,12,12,12,11
EEM,21,21,21,20,18,18,17,17
GLD,10,9,9,8,7,7,7,7
TLT,14,13,13,13,13,13,10,10
