asset,ma=50,ma=100,ma=150,ma=200,ma=250,ma=300
QQQ,-46.42,-54.94,-43.46,-36.49,-45.34,-36.46
SPY,-34.72,-29.33,-26.88,-22.06,-22.06,-24.7
IWM,-37.86,-32.28,-35.5,-39.2,-45.92,-40.91
EFA,-32.22,-34.59,-31.49,-25.96,-25.55,-30.8
EEM,-43.24,-47.05,-45.5,-55.94,-47.31,-50.94
GLD,-61.54,-49.1,-49.2,-41.44,-37.55,-34.42
TLT,-34.82,-27.56,-37.91,-35.62,-35.7,-36.66
