asset,sell=0.01,sell=0.03,sell=0.05,sell=0.07,sell=0.10,sell=0.15
QQQ,25,18,14,12,9,5
SPY,24,14,10,10,7,4
GLD,17,12,11,9,6,2
TLT,17,14,11,6,5,1
UGL,14,10,9,8,5,1
UBT,11,9,7,4,4,1
