asset,sell=0.01,sell=0.03,sell=0.05,sell=0.07,sell=0.10,sell=0.15
QQQ,8.32,9.26,10.93,9.51,10.98,13.13
SPY,6.61,9.07,9.51,9.24,9.44,10.77
IWM,3.29,2.97,3.85,5.48,3.83,2.85
EFA,3.71,4.93,5.39,5.17,4.01,4.81
EEM,6.03,5.63,3.91,5.07,7.39,7.51
GLD,8.2,8.65,9.75,9.02,10.33,10.7
TLT,1.97,0.79,0.83,3.33,2.86,4.04
