asset,ma=50,ma=100,ma=150,ma=200,ma=250,ma=300
QQQ,32,22,15,14,14,12
SPY,21,15,12,11,11,10
IWM,30,24,22,19,16,13
EFA,20,18,15,13,12,11
EEM,23,20,17,20,18,14
GLD,17,14,11,8,8,6
TLT,11,12,14,13,11,10
