asset,ma=50,ma=100,ma=150,ma=200,ma=250,ma=300
QQQ,43.75,54.55,73.33,71.43,71.43,83.33
SPY,61.9,80.0,83.33,90.91,90.91,80.0
IWM,36.67,37.5,45.45,42.11,43.75,46.15
EFA,60.0,50.0,60.0,61.54,58.33,54.55
EEM,56.52,45.0,41.18,35.0,44.44,42.86
GLD,35.29,42.86,45.45,37.5,37.5,50.0
TLT,36.36,58.33,57.14,46.15,45.45,50.0
