asset,sell=0.01,sell=0.03,sell=0.05,sell=0.07,sell=0.10,sell=0.15
QQQ,40.74,57.14,71.43,76.92,75.0,100.0
SPY,50.0,73.33,90.91,90.0,100.0,100.0
IWM,36.67,40.0,42.11,46.15,45.45,55.56
EFA,35.71,52.94,61.54,58.33,50.0,60.0
EEM,34.62,36.36,35.0,50.0,55.56,80.0
GLD,38.89,33.33,37.5,42.86,66.67,100.0
TLT,42.11,41.18,46.15,80.0,75.0,100.0
