asset,hold=0,hold=1,hold=2,hold=3,hold=4,hold=5,hold=7,hold=10
QQQ,9.56,10.14,9.75,10.77,10.52,10.06,10.37,9.81
SPY,9.22,9.13,9.54,9.42,9.2,9.12,8.96,8.82
IWM,2.45,3.13,3.36,3.86,3.76,3.42,3.01,3.83
EFA,5.48,5.26,5.18,5.37,5.4,5.17,4.71,4.51
EEM,4.49,3.82,3.22,3.89,4.09,3.64,4.0,3.15
GLD,8.6,9.1,9.08,9.31,9.95,9.89,9.38,9.12
TLT,0.97,0.94,0.71,0.82,0.46,0.77,1.67,1.01
