asset,buy=0.01,buy=0.02,buy=0.03,buy=0.05,buy=0.07,buy=0.10
QQQ,19,17,14,14,13,13
GLD,13,12,11,10,10,7
TLT,14,11,11,11,9,7
UGL,11,11,9,8,8,5
UBT,10,7,7,7,5,4
