asset,sell=0.01,sell=0.03,sell=0.05,sell=0.07,sell=0.10,sell=0.15
QQQ,-36.91,-32.78,-30.26,-30.26,-26.25,-29.98
GLD,-37.81,-41.12,-41.12,-51.53,-49.79,-45.0
TLT,-25.15,-30.32,-30.16,-31.42,-34.63,-35.22
UGL,-71.33,-69.61,-70.49,-80.32,-79.21,-74.22
UBT,-47.96,-58.16,-59.35,-59.64,-64.83,-66.29
