asset,buy=0.01,buy=0.02,buy=0.03,buy=0.05,buy=0.07,buy=0.10
QQQ,55.56,62.5,71.43,64.29,69.23,72.73
SPY,71.43,76.92,90.91,90.0,90.0,60.0
IWM,33.33,34.78,42.11,50.0,66.67,88.89
EFA,57.14,57.14,61.54,70.0,62.5,50.0
EEM,38.1,38.1,35.0,41.18,53.85,75.0
GLD,27.27,30.0,37.5,42.86,50.0,75.0
TLT,46.67,53.85,46.15,55.56,33.33,28.57
