asset,hold=0,hold=1,hold=2,hold=3,hold=4,hold=5,hold=7,hold=10
QQQ,-49.18,-48.29,-48.59,-36.49,-40.11,-39.96,-37.28,-40.82
SPY,-27.01,-26.11,-21.3,-22.06,-21.64,-22.3,-21.5,-21.5
IWM,-46.83,-41.21,-36.28,-39.2,-40.41,-39.82,-41.62,-35.03
EFA,-26.1,-28.03,-26.85,-25.96,-24.45,-25.2,-26.5,-26.85
EEM,-51.41,-55.54,-60.88,-55.94,-51.03,-51.37,-52.56,-55.37
GLD,-44.55,-39.1,-38.72,-41.44,-34.49,-35.09,-37.43,-38.01
TLT,-43.1,-37.34,-37.97,-35.62,-37.66,-36.82,-33.41,-31.96
