asset,buy=0.01,buy=0.02,buy=0.03,buy=0.05,buy=0.07,buy=0.10
QQQ,-39.04,-33.68,-30.26,-33.41,-33.41,-30.19
GLD,-42.3,-43.89,-41.12,-35.42,-34.93,-28.09
TLT,-39.06,-31.48,-30.16,-33.83,-25.9,-39.07
UGL,-69.24,-75.97,-70.49,-66.5,-70.43,-49.25
UBT,-69.99,-61.25,-59.35,-61.32,-44.65,-51.6
