ma_window,buffer_zone_pct,hold_days,recent_months,total_return_pct,cagr,mdd,total_trades,win_rate,final_capital
150,0.05,2,6,1551.4307286263534,11.052804058846144,-42.82515349036513,15,80.0,165143072.86263534
150,0.05,2,8,1551.4307286263534,11.052804058846144,-42.82515349036513,15,80.0,165143072.86263534
200,0.05,4,8,1542.2958612173522,11.029777662670659,-41.02191746806848,13,84.61538461538461,164229586.12173522
200,0.05,4,6,1542.2958612173522,11.029777662670659,-41.02191746806848,13,84.61538461538461,164229586.12173522
200,0.05,4,12,1534.460680442233,11.009928966760384,-41.02191746806848,13,84.61538461538461,163446068.0442233
200,0.05,4,10,1534.460680442233,11.009928966760384,-41.02191746806848,13,84.61538461538461,163446068.0442233
150,0.05,2,12,1522.2345848534078,10.978773143283838,-42.82515349036513,15,80.0,162223458.48534077
150,0.05,2,10,1521.307055757015,10.97640030025393,-42.82515349036513,15,80.0,162130705.57570148
150,0.05,2,0,1480.4025449901183,10.87043546642088,-39.70109117043005,16,68.75,158040254.4990118
150,0.04,3,2,1479.9300602309906,10.869196116344026,-41.79702837454245,17,76.47058823529412,157993006.02309906
200,0.05,2,6,1474.3599809462828,10.85455857656763,-38.28133379142245,14,78.57142857142857,157435998.09462827
200,0.05,2,8,1474.3599809462828,10.85455857656763,-38.28133379142245,14,78.57142857142857,157435998.09462827
200,0.04,1,4,1473.9054543408138,10.853361932917394,-48.110986520080395,17,70.58823529411765,157390545.43408138
150,0.05,2,2,1458.6190027921741,10.81292195052801,-39.70109117043005,16,68.75,155861900.27921742
200,0.04,1,6,1453.8825559964807,10.800314282145319,-48.110986520080395,17,70.58823529411765,155388255.5996481
150,0.04,3,4,1450.6789168699117,10.791765714072499,-41.506445901041126,17,76.47058823529412,155067891.68699118
150,0.04,3,8,1450.6789168699117,10.791765714072499,-41.506445901041126,17,76.47058823529412,155067891.68699118
150,0.04,3,6,1450.6789168699117,10.791765714072499,-41.506445901041126,17,76.47058823529412,155067891.68699118
200,0.05,1,8,1449.5448230732845,10.78873543129275,-38.94931006937674,14,78.57142857142857,154954482.30732846
200,0.05,1,6,1449.5448230732845,10.78873543129275,-38.94931006937674,14,78.57142857142857,154954482.30732846
250,0.04,0,10,1445.6893132738694,10.778417572798716,-40.505411050921445,16,68.75,154568931.32738695
250,0.04,0,8,1445.6893132738694,10.778417572798716,-40.505411050921445,16,68.75,154568931.32738695
200,0.05,2,10,1445.6407973913126,10.778287580054858,-38.28133379142245,14,78.57142857142857,154564079.73913127
200,0.05,2,12,1445.6407973913126,10.778287580054858,-38.28133379142245,14,78.57142857142857,154564079.73913127
200,0.04,1,8,1433.177546201183,10.744762931344587,-48.110986520080395,17,64.70588235294117,153317754.62011832
200,0.04,0,4,1423.4194878813857,10.718331315129115,-55.183797397833914,18,66.66666666666666,152341948.78813857
200,0.05,1,10,1421.9948696217236,10.714458830161956,-38.94931006937674,14,78.57142857142857,152199486.96217236
200,0.05,1,12,1421.9948696217236,10.714458830161956,-38.94931006937674,14,78.57142857142857,152199486.96217236
200,0.05,5,8,1408.9734287313288,10.678900564593729,-40.31204006209978,13,84.61538461538461,150897342.87313288
200,0.05,5,6,1408.9734287313288,10.678900564593729,-40.31204006209978,13,84.61538461538461,150897342.87313288
150,0.05,0,0,1408.660863343459,10.678043402235748,-53.09385650671552,18,61.111111111111114,150866086.33434588
250,0.03,4,4,1402.7987903524458,10.661935824120338,-46.47493076904769,15,73.33333333333333,150279879.03524458
200,0.04,2,4,1401.4270004378861,10.65815774045058,-48.40947146957429,17,70.58823529411765,150142700.0437886
250,0.04,0,0,1400.352277495538,10.655195494853785,-39.82985671965288,17,64.70588235294117,150035227.7495538
250,0.04,0,12,1392.8762682287577,10.63453276152011,-40.505411050921445,16,68.75,149287626.82287577
200,0.05,5,12,1389.5030032304085,10.625176857200614,-40.31204006209978,13,84.61538461538461,148950300.32304084
200,0.05,5,10,1389.5030032304085,10.625176857200614,-40.31204006209978,13,84.61538461538461,148950300.32304084
250,0.03,4,12,1387.5190622997684,10.619664776558203,-46.47493076904769,15,73.33333333333333,148751906.22997683
200,0.01,1,12,1383.709002129452,10.609059225018381,-38.531118443492765,28,46.42857142857143,148370900.2129452
200,0.04,0,6,1383.6265273668723,10.608829361356387,-55.6869653627234,18,66.66666666666666,148362652.73668724
250,0.03,4,6,1382.5507715705608,10.605830018098317,-46.47493076904769,15,73.33333333333333,148255077.1570561
250,0.03,4,8,1380.6009773662024,10.600388401529814,-46.47493076904769,15,73.33333333333333,148060097.73662025
250,0.03,4,10,1380.6009773662024,10.600388401529814,-46.47493076904769,15,73.33333333333333,148060097.73662025
200,0.04,1,10,1380.5627205648254,10.6002815628929,-48.110986520080395,17,64.70588235294117,148056272.05648255
150,0.04,3,10,1380.3715230447608,10.599747571405782,-41.506445901041126,17,70.58823529411765,148037152.30447608
250,0.04,0,2,1375.4452043960905,10.585966019277171,-39.82985671965288,17,64.70588235294117,147544520.43960905
150,0.05,0,2,1373.2053735992147,10.579685358692782,-54.35859921513914,18,61.111111111111114,147320537.35992146
200,0.04,2,6,1371.8240209757998,10.57580735386141,-48.40947146957429,17,70.58823529411765,147182402.09758
150,0.04,3,12,1368.6202458949413,10.566799583119568,-41.506445901041126,17,70.58823529411765,146862024.5894941
200,0.04,1,12,1367.878692710281,10.56471192797166,-48.110986520080395,17,64.70588235294117,146787869.2710281
150,0.04,2,2,1366.4385344978552,10.560654625332289,-49.06590186455682,18,72.22222222222221,146643853.44978553
200,0.04,0,12,1366.4025071717358,10.560553077755518,-55.6869653627234,18,66.66666666666666,146640250.71717358
200,0.04,0,8,1364.8077583454078,10.55605566873199,-55.6869653627234,18,61.111111111111114,146480775.83454078
200,0.04,0,10,1359.5855618002536,10.541295303937414,-55.6869653627234,18,61.111111111111114,145958556.18002534
150,0.03,3,8,1359.119978488894,10.539976881024904,-49.46129882591247,20,65.0,145911997.8488894
150,0.05,1,8,1358.3280473501306,10.537733386978655,-51.78098395430942,16,75.0,145832804.73501307
150,0.05,1,6,1358.3280473501306,10.537733386978655,-51.78098395430942,16,75.0,145832804.73501307
250,0.03,0,4,1352.1198286512758,10.52010512810282,-39.36391907699136,18,61.111111111111114,145211982.8651276
150,0.05,1,0,1346.963669021959,10.505408958413254,-47.168104585078886,17,64.70588235294117,144696366.9021959
200,0.04,1,2,1344.1761101113027,10.497442805508905,-48.110986520080395,18,66.66666666666666,144417611.01113027
150,0.05,0,6,1343.3816364032018,10.495169685948547,-55.539618062116126,17,70.58823529411765,144338163.64032018
150,0.05,0,8,1343.3816364032018,10.495169685948547,-55.539618062116126,17,70.58823529411765,144338163.64032018
250,0.04,0,4,1342.356132547486,10.492233769904846,-39.82985671965288,17,64.70588235294117,144235613.25474858
150,0.05,2,4,1341.8857720559365,10.49088650213812,-42.82515349036513,16,68.75,144188577.20559365
250,0.03,0,6,1340.5390262496594,10.487026636326346,-39.36391907699136,18,61.111111111111114,144053902.62496594
200,0.04,2,8,1340.1682351265729,10.485963313697265,-48.40947146957429,17,64.70588235294117,144016823.51265728
200,0.05,0,6,1339.8601521716453,10.485079619647664,-49.26161846410454,15,73.33333333333333,143986015.21716452
200,0.05,0,8,1339.8601521716453,10.485079619647664,-49.26161846410454,15,73.33333333333333,143986015.21716452
200,0.05,4,2,1338.450722339672,10.48103453946283,-41.02191746806848,14,71.42857142857143,143845072.2339672
200,0.05,4,0,1338.450722339672,10.48103453946283,-41.02191746806848,14,71.42857142857143,143845072.2339672
200,0.05,4,4,1337.186940351547,10.477404224716302,-41.02191746806848,14,71.42857142857143,143718694.0351547
250,0.03,1,4,1332.7382252541536,10.464600441285565,-44.90518239944918,17,64.70588235294117,143273822.52541536
150,0.05,1,10,1332.4053210936916,10.463640776109884,-51.78098395430942,16,75.0,143240532.10936916
200,0.05,1,0,1332.3422658153074,10.46345898202954,-38.94931006937674,15,66.66666666666666,143234226.58153075
200,0.05,2,0,1329.843542981459,10.456248729220086,-38.28133379142245,15,66.66666666666666,142984354.2981459
250,0.03,0,12,1328.7145657663643,10.452987001468372,-39.36391907699136,18,61.111111111111114,142871456.57663643
250,0.03,0,10,1328.7145657663643,10.452987001468372,-39.36391907699136,18,61.111111111111114,142871456.57663643
250,0.03,0,8,1328.7145657663643,10.452987001468372,-39.36391907699136,18,61.111111111111114,142871456.57663643
150,0.05,0,10,1327.7866074872702,10.450304179174852,-55.539618062116126,17,70.58823529411765,142778660.74872702
250,0.03,5,4,1326.5232124629351,10.4466488754821,-46.151957308591975,15,73.33333333333333,142652321.24629351
150,0.04,2,4,1324.1109752238285,10.439661033224823,-46.20216871626648,18,72.22222222222221,142411097.52238286
250,0.03,5,6,1323.6492403066284,10.438322166363578,-46.151957308591975,15,73.33333333333333,142364924.03066283
250,0.03,5,12,1323.2118339338615,10.437053458016132,-46.151957308591975,15,73.33333333333333,142321183.39338616
250,0.03,1,6,1319.230688285024,10.425488757618172,-44.90518239944918,17,64.70588235294117,141923068.8285024
150,0.04,2,6,1318.4373031203634,10.423180347588247,-45.15782933885736,18,72.22222222222221,141843730.31203634
150,0.04,2,8,1318.4373031203634,10.423180347588247,-45.15782933885736,18,72.22222222222221,141843730.31203634
200,0.05,2,2,1318.0834274603367,10.422150320573941,-38.28133379142245,15,66.66666666666666,141808342.74603367
250,0.03,5,10,1316.5921684007258,10.417806987993838,-46.151957308591975,15,73.33333333333333,141659216.84007257
250,0.03,5,8,1316.5921684007258,10.417806987993838,-46.151957308591975,15,73.33333333333333,141659216.84007257
250,0.02,3,10,1314.3008570795746,10.411124897237967,-43.36209298895285,20,65.0,141430085.70795745
250,0.04,0,6,1312.339079355498,10.405395530785144,-40.505411050921445,17,64.70588235294117,141233907.9355498
200,0.05,3,6,1309.348808838728,10.396647699146943,-39.077978928451195,14,78.57142857142857,140934880.8838728
200,0.05,3,8,1309.348808838728,10.396647699146943,-39.077978928451195,14,78.57142857142857,140934880.8838728
150,0.05,1,12,1308.4417803198546,10.393990717471668,-51.78098395430942,16,75.0,140844178.03198546
250,0.03,1,12,1307.2750468182692,10.390570552307633,-44.90518239944918,17,64.70588235294117,140727504.68182692
