Date,equity,cash,rebalanced,rebalance_reason,sso_value,sso_weight,sso_signal,sso_shares,sso_avg_price,sso_realized_pnl,sso_unrealized_pnl,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,ugl_value,ugl_weight,ugl_signal,ugl_shares,ugl_avg_price,ugl_realized_pnl,ugl_unrealized_pnl,ubt_value,ubt_weight,ubt_signal,ubt_shares,ubt_avg_price,ubt_realized_pnl,ubt_unrealized_pnl,drawdown_pct,sso_current_price,sso_return_pct,sso_contribution,qld_current_price,qld_return_pct,qld_contribution,ugl_current_price,ugl_return_pct,ugl_contribution,ubt_current_price,ubt_return_pct,ubt_contribution,total_pnl,total_return_pct
2010-02-12,9933999,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1492458,0.1502,buy,135401,11.078135,0,-7533,1441521,0.1451,buy,102997,14.563427,0,-58468,-1.04,0.0,0.0,0,0.0,0.0,0,11.0225,-0.5022054705056123,-7533,13.99576,-3.897891729416336,-58468,-66000.9915381968,-0.660009915381968
2010-02-16,10008790,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1561851,0.156,buy,135401,11.078135,0,61860,1446919,0.1446,buy,102997,14.563427,0,-53070,-0.3,0.0,0.0,0,0.0,0.0,0,11.535,4.12402448607101,61860,14.048171000000002,-3.5380107657123516,-53070,8790.196728803217,0.08790196728803218
2010-02-17,9968584,7000020,False,,0,0.0,buy,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1552372,0.1557,buy,135401,11.078135,0,52382,1416191,0.1421,buy,102997,14.563427,0,-83798,-0.7,0.0,0.0,0,0.0,0.0,0,11.465,3.492149174928838,52382,13.749828000000003,-5.586587712428404,-83798,-31416.307242196053,-0.3141630724219605
2010-02-18,10015274,3489002,True,daily,3531101,0.3526,buy,1635474,2.133328,0,42099,0,0.0,sell,0,0.0,0,0,1514071,0.1512,buy,130439,11.078135,2108,69050,1481100,0.1479,buy,108738,14.521902,0,-97982,-0.23,2.159069,1.206619934605735,42099,0.0,0.0,0,11.6075,4.778466772611112,71157,13.620815,-6.20501967989624,-97982,15274.075468501076,0.15274075468501078
2010-02-19,10037423,3489002,False,,3549865,0.3537,buy,1635474,2.133328,0,60863,0,0.0,sell,0,0.0,0,0,1502331,0.1497,buy,130439,11.078135,2108,57310,1496225,0.1491,buy,108738,14.521902,0,-82857,-0.01,2.170542,1.7444181941841608,60863,0.0,0.0,0,11.5175,3.9660556582854722,59418,13.75991,-5.247190593485129,-82857,37423.27078050189,0.3742327078050189
2010-02-22,10013052,3489002,False,,3546113,0.3541,buy,1635474,2.133328,0,57111,0,0.0,sell,0,0.0,0,0,1490918,0.1489,buy,130439,11.078135,2108,45897,1487019,0.1485,buy,108738,14.521902,0,-92064,-0.26,2.168248,1.6368866673408977,57111,0.0,0.0,0,11.43,3.176211519357741,48005,13.675243,-5.830220287285548,-92064,13051.560678502545,0.13051560678502544
2010-02-23,9940140,3489002,False,,3462619,0.3483,buy,1635474,2.133328,0,-26383,0,0.0,sell,0,0.0,0,0,1457004,0.1466,buy,130439,11.078135,2108,11983,1531515,0.1541,buy,108738,14.521902,0,-47567,-0.98,2.117196,-0.7561819936891756,-26383,0.0,0.0,0,11.17,0.829246077972523,14090,14.084454999999998,-3.0123249200296076,-47567,-59859.903513498604,-0.598599035134986
2010-02-24,9991137,3489002,False,,3521720,0.3525,buy,1635474,2.133328,0,32718,0,0.0,sell,0,0.0,0,0,1442981,0.1444,buy,130439,11.078135,2108,-2039,1537434,0.1539,buy,108738,14.521902,0,-41649,-0.47,2.153333,0.93774424237687,32718,0.0,0.0,0,11.0625,-0.14113386413866502,68,14.138881,-2.63753929971966,-41649,-8862.797687498853,-0.08862797687498852
2010-02-25,10030115,3489002,False,,3516091,0.3506,buy,1635474,2.133328,0,27089,0,0.0,sell,0,0.0,0,0,1469395,0.1465,buy,130439,11.078135,2108,24374,1555627,0.1551,buy,108738,14.521902,0,-23455,-0.09,2.149891,0.7764000769912682,27089,0.0,0.0,0,11.265,1.6867911430940463,26482,14.306197,-1.4853761635755691,-23455,30115.405512502417,0.3011540551250242
2010-02-26,10078415,3489002,False,,3520783,0.3493,buy,1635474,2.133328,0,31781,0,0.0,sell,0,0.0,0,0,1497440,0.1486,buy,130439,11.078135,2108,52419,1571190,0.1559,buy,108738,14.521902,0,-7893,0.0,2.15276,0.9108847982263857,31781,0.0,0.0,0,11.48,3.6275510273164446,54526,14.449319,-0.499816549604315,-7893,78414.76545450091,0.7841476545450091
2010-03-01,10151834,3489002,False,,3591144,0.3537,buy,1635474,2.133328,0,102142,0,0.0,sell,0,0.0,0,0,1498744,0.1476,buy,130439,11.078135,2108,53723,1572943,0.1549,buy,108738,14.521902,0,-6139,0.0,2.195782,2.9275462401842756,102142,0.0,0.0,0,11.49,3.7178189289081898,55831,14.465444,-0.38877737480738084,-6139,151833.91813250072,1.5183391813250073
2010-03-02,10208744,3489002,False,,3608966,0.3535,buy,1635474,2.133328,0,119964,0,0.0,sell,0,0.0,0,0,1543093,0.1512,buy,130439,11.078135,2108,98073,1567682,0.1536,buy,108738,14.521902,0,-11400,0.0,2.206679,3.438344430250173,119964,0.0,0.0,0,11.83,6.786927583027302,100180,14.417061,-0.7219499884011715,-11400,208743.867656501,2.08743867656501
2010-03-03,10226477,3489002,False,,3617408,0.3537,buy,1635474,2.133328,0,128406,0,0.0,sell,0,0.0,0,0,1559398,0.1525,buy,130439,11.078135,2108,114377,1560668,0.1526,buy,108738,14.521902,0,-18414,0.0,2.211841,3.680313803207902,128406,0.0,0.0,0,11.955,7.915276352924039,116485,14.352555999999998,-1.166141118340791,-18414,226476.91475450248,2.2647691475450245
