entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,holding_days
1999-08-23,2000-04-13,49.442028,77.972438,202257,5770475,0.577,0.03,5,234
2000-08-25,2000-09-18,83.235369,77.132363,189468,-1156324,-0.0733,0.03,5,24
2001-11-21,2002-02-06,32.513422,30.949548,449480,-702930,-0.0481,0.03,5,77
2002-11-07,2003-02-05,21.965787,20.439808,633313,-966422,-0.0695,0.03,5,90
2003-04-28,2004-03-09,22.861658,30.096006,566223,4096254,0.3164,0.03,5,316
2004-11-04,2005-01-25,31.503076,31.198785,540932,-164600,-0.0097,0.03,5,82
2005-06-06,2005-10-11,32.53889,32.476051,518654,-32592,-0.0019,0.03,5,127
2005-11-11,2006-03-10,34.833105,34.461347,483558,-179766,-0.0107,0.03,5,119
2006-09-21,2007-03-05,34.779286,35.996886,479138,583399,0.035,0.03,5,165
2007-04-30,2007-08-16,39.967425,38.938386,431538,-444069,-0.0257,0.03,5,108
2007-09-26,2007-11-13,44.211639,42.261512,380067,-741179,-0.0441,0.03,5,48
2008-05-09,2008-07-01,41.429189,38.4393,387703,-1159189,-0.0722,0.03,5,53
2009-04-08,2010-02-01,27.486325,37.083093,542198,5203348,0.3491,0.03,5,299
2010-03-09,2010-05-10,40.375998,41.042628,497979,331968,0.0165,0.03,5,62
