Date,equity,cash,rebalanced,rebalance_reason,spy_value,spy_weight,spy_signal,spy_shares,spy_avg_price,tqqq_value,tqqq_weight,tqqq_signal,tqqq_shares,tqqq_avg_price,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,tlt_value,tlt_weight,tlt_signal,tlt_shares,tlt_avg_price,drawdown_pct
2004-11-18,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0.0
2004-11-19,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0.0
2004-11-22,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0.0
2004-11-23,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0.0
2004-11-24,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0.0
2004-11-26,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0.0
2004-11-29,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0.0
2004-11-30,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0.0
2004-12-01,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0.0
2004-12-02,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0.0
2004-12-03,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0.0
2004-12-06,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0.0
2004-12-07,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0.0
2004-12-08,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0,0.0,sell,0,0.0,0.0
