Date,equity,cash,rebalanced,rebalance_reason,qqq_value,qqq_weight,qqq_signal,qqq_shares,qqq_avg_price,qqq_realized_pnl,qqq_unrealized_pnl,tqqq_value,tqqq_weight,tqqq_signal,tqqq_shares,tqqq_avg_price,tqqq_realized_pnl,tqqq_unrealized_pnl,spy_value,spy_weight,spy_signal,spy_shares,spy_avg_price,spy_realized_pnl,spy_unrealized_pnl,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,gld_realized_pnl,gld_unrealized_pnl,drawdown_pct
2005-09-19,10269874,4015965,False,,1546784,0.1506,buy,46402,32.45501,0,40807,1576486,0.1535,buy,3170249,0.475039,0,70494,3130640,0.3048,buy,37140,80.033316,371,158202,0,0.0,buy,0,0.0,0,0,-2.05
2005-09-20,10180169,29,True,daily,1534178,0.1507,buy,46213,32.45501,159,34334,1521042,0.1494,buy,3098016,0.475039,1691,49364,3054877,0.3001,buy,36550,80.033316,2780,129659,4070043,0.3998,buy,88039,46.65956,0,-37818,-2.91
2005-09-21,10156761,29,False,,1517233,0.1494,buy,46213,32.45501,159,17389,1470043,0.1447,buy,3098016,0.475039,1691,-1635,3026341,0.298,buy,36550,80.033316,2780,101124,4143115,0.4079,buy,88039,46.65956,0,35254,-3.13
2005-09-22,10126877,29,False,,1522749,0.1504,buy,46213,32.45501,159,22906,1485505,0.1467,buy,3098016,0.475039,1691,13827,3037106,0.2999,buy,36550,80.033316,2780,111888,4081488,0.403,buy,88039,46.65956,0,-26373,-3.42
2005-09-23,10138772,29,False,,1527084,0.1506,buy,46213,32.45501,159,27241,1497606,0.1477,buy,3098016,0.475039,1691,25928,3039608,0.2998,buy,36550,80.033316,2780,114391,4074445,0.4019,buy,88039,46.65956,0,-33416,-3.31
2005-09-26,10168773,29,False,,1527479,0.1502,buy,46213,32.45501,159,27636,1498176,0.1473,buy,3098016,0.475039,1691,26498,3043113,0.2993,buy,36550,80.033316,2780,117895,4099976,0.4032,buy,88039,46.65956,0,-7885,-3.02
2005-09-27,10125280,29,False,,1523932,0.1505,buy,46213,32.45501,159,24088,1487153,0.1469,buy,3098016,0.475039,1691,15475,3042362,0.3005,buy,36550,80.033316,2780,117145,4071804,0.4021,buy,88039,46.65956,0,-36057,-3.43
2005-09-28,10177669,29,False,,1524326,0.1498,buy,46213,32.45501,159,24483,1487723,0.1462,buy,3098016,0.475039,1691,16045,3045365,0.2992,buy,36550,80.033316,2780,120148,4120225,0.4048,buy,88039,46.65956,0,12364,-2.93
2005-09-29,10308769,29,False,,1544818,0.1499,buy,46213,32.45501,159,44975,1547140,0.1501,buy,3098016,0.475039,1691,75462,3070145,0.2978,buy,36550,80.033316,2780,144927,4146637,0.4022,buy,88039,46.65956,0,38776,-1.68
2005-09-30,10323489,29,False,,1555065,0.1506,buy,46213,32.45501,159,55222,1577318,0.1528,buy,3098016,0.475039,1691,105640,3079656,0.2983,buy,36550,80.033316,2780,154438,4111421,0.3983,buy,88039,46.65956,0,3560,-1.54
