entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,holding_days
2005-01-31,2005-05-26,80.033316,81.112945,344,371,0.0135,0.0,3,spy,rebalance,115
2005-05-26,2005-09-20,32.45501,33.29392,189,159,0.0258,0.0,3,qqq,rebalance,117
2005-01-31,2005-09-20,80.033316,84.115184,590,2408,0.051,0.0,3,spy,rebalance,232
2005-05-26,2005-09-20,0.475039,0.498446,72233,1691,0.0493,0.0,3,tqqq,rebalance,117
2005-05-26,2005-12-02,0.475039,0.592284,313523,36759,0.2468,0.0,3,tqqq,rebalance,190
2005-09-20,2006-03-02,46.67526,55.981552,5785,53837,0.1994,0.0,3,gld,rebalance,163
2005-09-20,2006-05-17,46.67526,69.301472,10853,245562,0.4848,0.0,3,gld,rebalance,239
2005-05-26,2006-06-12,32.76467,32.578929,54109,-10050,-0.0057,0.0,3,qqq,signal,382
2005-05-26,2006-06-12,0.480653,0.40959,3896452,-276895,-0.1478,0.0,3,tqqq,signal,382
2005-01-31,2006-09-29,80.988144,93.016664,4281,51494,0.1485,0.0,3,spy,rebalance,606
2006-09-29,2007-05-02,0.47175,0.599085,344506,43868,0.2699,0.0,3,tqqq,rebalance,215
2006-09-29,2007-09-05,35.209115,42.43152,1732,12509,0.2051,0.0,3,qqq,rebalance,341
2006-09-29,2007-09-05,0.47175,0.690429,369014,80696,0.4635,0.0,3,tqqq,rebalance,341
2005-09-20,2007-11-02,48.590892,78.314353,2750,81740,0.6117,0.0,3,gld,rebalance,773
2006-09-29,2007-11-02,0.47175,0.881233,280969,115052,0.868,0.0,3,tqqq,rebalance,399
2005-09-20,2007-11-13,48.590892,79.161802,5682,173704,0.6291,0.0,3,gld,rebalance,784
2005-01-31,2007-11-13,84.481352,102.952038,870,16069,0.2186,0.0,3,spy,rebalance,1016
2005-01-31,2008-01-16,84.481352,97.795546,41882,557625,0.1576,0.0,3,spy,signal,1080
2006-09-29,2008-01-17,35.72608,39.65091,51018,200237,0.1099,0.0,3,qqq,signal,475
2006-09-29,2008-01-17,0.51042,0.504621,3385884,-19635,-0.0114,0.0,3,tqqq,signal,475
2005-09-20,2008-02-04,48.590892,88.244472,8776,348000,0.8161,0.0,3,gld,rebalance,867
2005-09-20,2008-07-01,49.322125,92.252409,4977,213664,0.8704,0.0,3,gld,rebalance,1015
2008-05-07,2008-07-03,42.057169,38.627537,53166,-182340,-0.0815,0.0,3,qqq,signal,57
2008-05-07,2008-07-03,0.523847,0.414298,4922451,-539246,-0.2091,0.0,3,tqqq,signal,57
2005-09-20,2008-08-12,49.322125,80.497778,60383,1882479,0.6321,0.0,3,gld,signal,1057
2009-01-02,2009-06-04,86.18779,94.954278,3155,27658,0.1017,0.0,3,gld,rebalance,153
2009-06-04,2009-07-27,31.575076,33.944986,1968,4664,0.0751,0.0,3,qqq,rebalance,53
2009-06-04,2009-07-27,0.128492,0.158203,2204590,65500,0.2312,0.0,3,tqqq,rebalance,53
2009-01-02,2009-12-02,86.555249,118.443603,1650,52616,0.3684,0.0,3,gld,rebalance,334
2009-06-04,2009-12-02,0.128492,0.216353,1618359,142190,0.6838,0.0,3,tqqq,rebalance,181
2009-07-27,2010-01-05,73.412247,84.489764,472,5229,0.1509,0.0,3,spy,rebalance,162
