entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,recent_sell_count,holding_days
1999-04-07,2000-05-11,47.546781,69.68303,210319,4655674,0.4656,0.03,2,0,400
2000-05-18,2000-05-24,75.397104,63.1568,194379,-2379258,-0.1623,0.03,2,0,6
2000-06-06,2000-10-04,78.944615,70.314579,155506,-1342023,-0.1093,0.03,2,0,120
2003-04-25,2004-08-09,23.144366,27.639804,472442,2123834,0.1942,0.03,2,0,472
2004-10-06,2005-04-18,30.77235,29.520451,424349,-531242,-0.0407,0.03,2,0,194
2005-05-25,2006-06-12,32.376144,32.619997,386920,94351,0.0075,0.03,2,0,383
2006-09-28,2008-01-17,35.067861,39.700908,359911,1667485,0.1321,0.03,2,0,476
2008-05-06,2008-07-03,41.916001,38.676228,340891,-1104409,-0.0773,0.03,2,0,58
2009-05-07,2011-08-09,30.625015,45.069572,430511,6218541,0.4717,0.03,2,0,824
2011-09-21,2011-10-04,50.113362,44.511256,387181,-2169029,-0.1118,0.03,2,0,13
2011-10-14,2015-08-25,51.14834,94.132898,336940,14483217,0.8404,0.03,2,0,1411
2015-10-27,2016-01-14,104.676706,94.863406,303000,-2973430,-0.0937,0.03,2,0,79
2016-04-04,2018-11-21,103.258761,153.517158,278365,13990179,0.4867,0.03,2,0,961
2019-02-21,2020-03-13,164.904435,179.96875,259143,3903812,0.0914,0.03,2,0,386
2020-04-17,2022-01-26,209.66147,343.091288,222442,29680396,0.6364,0.03,2,0,649
2023-02-16,2025-04-04,299.886202,435.269523,254490,34453701,0.4514,0.03,2,0,778
