Date,equity,cash,rebalanced,rebalance_reason,spy_value,spy_weight,spy_signal,spy_shares,spy_avg_price,spy_realized_pnl,spy_unrealized_pnl,qqq_value,qqq_weight,qqq_signal,qqq_shares,qqq_avg_price,qqq_realized_pnl,qqq_unrealized_pnl,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,gld_realized_pnl,gld_unrealized_pnl,tlt_value,tlt_weight,tlt_signal,tlt_shares,tlt_avg_price,tlt_realized_pnl,tlt_unrealized_pnl,drawdown_pct
2004-11-18,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,0,0.0,buy,0,0.0,0,0,0,0.0,buy,0,0.0,0,0,0.0
2004-11-19,9991763,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,2006995,0.2009,buy,44819,44.623472,0,7015,1484726,0.1486,buy,33766,44.422764,0,-15253,-0.08
2004-11-22,10007120,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,2014614,0.2013,buy,44819,44.623472,0,14635,1492465,0.1491,buy,33766,44.422764,0,-7514,0.0
2004-11-23,10000007,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,2005650,0.2006,buy,44819,44.623472,0,5671,1494316,0.1494,buy,33766,44.422764,0,-5663,-0.07
2004-11-24,10013453,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,2019096,0.2016,buy,44819,44.623472,0,19117,1494316,0.1492,buy,33766,44.422764,0,-5663,0.0
2004-11-26,10014451,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,2029853,0.2027,buy,44819,44.623472,0,29873,1484557,0.1482,buy,33766,44.422764,0,-15422,0.0
2004-11-29,10003569,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,2034783,0.2034,buy,44819,44.623472,0,34803,1468745,0.1468,buy,33766,44.422764,0,-31234,-0.11
2004-11-30,9984796,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,2022233,0.2025,buy,44819,44.623472,0,22254,1462521,0.1465,buy,33766,44.422764,0,-37458,-0.3
2004-12-01,9994168,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,2033886,0.2035,buy,44819,44.623472,0,33907,1460240,0.1461,buy,33766,44.422764,0,-39739,-0.2
2004-12-02,9968984,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,2014614,0.2021,buy,44819,44.623472,0,14635,1454328,0.1459,buy,33766,44.422764,0,-45651,-0.45
2004-12-03,10020749,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,2043746,0.204,buy,44819,44.623472,0,43767,1476961,0.1474,buy,33766,44.422764,0,-23018,0.0
2004-12-06,10006545,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,2024474,0.2023,buy,44819,44.623472,0,24495,1482030,0.1481,buy,33766,44.422764,0,-17950,-0.14
2004-12-07,10005716,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,2021785,0.2021,buy,44819,44.623472,0,21806,1483889,0.1483,buy,33766,44.422764,0,-16090,-0.15
2004-12-08,9979555,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1972484,0.1977,buy,44819,44.623472,0,-27495,1507029,0.151,buy,33766,44.422764,0,7050,-0.41
2004-12-09,9959280,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1962176,0.197,buy,44819,44.623472,0,-37804,1497063,0.1503,buy,33766,44.422764,0,-2916,-0.61
2004-12-10,9947758,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1946937,0.1957,buy,44819,44.623472,0,-53042,1500779,0.1509,buy,33766,44.422764,0,800,-0.73
2004-12-13,9972032,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1968002,0.1974,buy,44819,44.623472,0,-31977,1503989,0.1508,buy,33766,44.422764,0,4010,-0.49
2004-12-14,9961809,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1951867,0.1959,buy,44819,44.623472,0,-48112,1509900,0.1516,buy,33766,44.422764,0,9921,-0.59
2004-12-15,9995213,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1971588,0.1973,buy,44819,44.623472,0,-28391,1523583,0.1524,buy,33766,44.422764,0,23604,-0.25
2004-12-16,9958851,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1957694,0.1966,buy,44819,44.623472,0,-42285,1501116,0.1507,buy,33766,44.422764,0,1137,-0.62
2004-12-17,9979684,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1980552,0.1985,buy,44819,44.623472,0,-19428,1499091,0.1502,buy,33766,44.422764,0,-888,-0.41
2004-12-20,9989109,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1987274,0.1989,buy,44819,44.623472,0,-12705,1501793,0.1503,buy,33766,44.422764,0,1814,-0.32
2004-12-21,9988291,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1981896,0.1984,buy,44819,44.623472,0,-18083,1506353,0.1508,buy,33766,44.422764,0,6374,-0.32
2004-12-22,9974260,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1972932,0.1978,buy,44819,44.623472,0,-27047,1501286,0.1505,buy,33766,44.422764,0,1307,-0.46
2004-12-23,9980566,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1984137,0.1988,buy,44819,44.623472,0,-15842,1496387,0.1499,buy,33766,44.422764,0,-3592,-0.4
2004-12-27,9978323,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1993549,0.1998,buy,44819,44.623472,0,-6430,1484732,0.1488,buy,33766,44.422764,0,-15247,-0.42
2004-12-28,9972210,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1988619,0.1994,buy,44819,44.623472,0,-11360,1483549,0.1488,buy,33766,44.422764,0,-16430,-0.48
2004-12-29,9938869,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1956798,0.1969,buy,44819,44.623472,0,-43182,1482030,0.1491,buy,33766,44.422764,0,-17950,-0.82
2004-12-30,9956454,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1964417,0.1973,buy,44819,44.623472,0,-35563,1491996,0.1499,buy,33766,44.422764,0,-7983,-0.64
2004-12-31,9964521,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1963072,0.197,buy,44819,44.623472,0,-36907,1501407,0.1507,buy,33766,44.422764,0,1428,-0.56
2005-01-03,9932783,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1928113,0.1941,buy,44819,44.623472,0,-71866,1504628,0.1515,buy,33766,44.422764,0,4649,-0.88
2005-01-04,9904464,6500042,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1915564,0.1934,buy,44819,44.623472,0,-84415,1488859,0.1503,buy,33766,44.422764,0,-11120,-1.16
