metric,value
test_rmse_mean,0.1234
test_rmse_median,0.0943
test_rmse_std,0.1282
test_rmse_min,0.0254
test_rmse_max,1.3619
a_mean,-6.1
a_std,0.0
b_mean,0.37
b_std,0.0
n_test_months,133.0
train_window_months,60.0
stitched_rmse,1.3511
low_rate_rmse,0.9799
high_rate_rmse,1.751
low_rate_days,1636.0
high_rate_days,1141.0
rate_boundary_pct,2.0
