train_start,train_end,test_month,a_best,b_best,train_rmse_pct,test_rmse_pct,n_train_days,n_test_days,search_mode,ffr_pct_test,spread_test
2010-02,2015-01,2015-02,-6.6,0.37,0.225,0.0935,1251,19,full_grid_2stage,0.11,0.0014
2010-03,2015-02,2015-03,-6.6,0.37,0.2266,0.0714,1259,22,local_refine,0.11,0.0014
2010-04,2015-03,2015-04,-6.65,0.37,0.2218,0.0604,1258,21,local_refine,0.12,0.0014
2010-05,2015-04,2015-05,-6.6,0.37,0.2258,0.1126,1258,20,local_refine,0.12,0.0014
2010-06,2015-05,2015-06,-6.35,0.37,0.3045,0.1182,1258,22,local_refine,0.13,0.0018
2010-07,2015-06,2015-07,-6.85,0.37,0.2114,0.1207,1258,22,local_refine,0.13,0.0011
2010-08,2015-07,2015-08,-7.35,0.37,0.2846,0.2396,1259,21,local_refine,0.14,0.0007
2010-09,2015-08,2015-09,-7.15,0.37,0.2572,0.321,1258,21,local_refine,0.14,0.0008
2010-10,2015-09,2015-10,-6.8,0.37,0.2134,0.1045,1258,22,local_refine,0.12,0.0012
2010-11,2015-10,2015-11,-6.85,0.37,0.2201,0.0706,1259,20,local_refine,0.12,0.0011
2010-12,2015-11,2015-12,-7.0,0.37,0.2589,0.1044,1258,22,local_refine,0.24,0.001
2011-01,2015-12,2016-01,-6.9,0.37,0.2483,0.3212,1258,19,local_refine,0.34,0.0011
2011-02,2016-01,2016-02,-6.85,0.37,0.2395,0.1348,1257,20,local_refine,0.38,0.0012
2011-03,2016-02,2016-03,-6.65,0.37,0.2096,0.0592,1258,22,local_refine,0.36,0.0015
2011-04,2016-03,2016-04,-6.65,0.37,0.2164,0.074,1257,21,local_refine,0.37,0.0015
2011-05,2016-04,2016-05,-6.5,0.37,0.194,0.0695,1258,21,local_refine,0.37,0.0017
2011-06,2016-05,2016-06,-6.55,0.37,0.1992,0.0895,1258,22,local_refine,0.38,0.0016
2011-07,2016-06,2016-07,-6.6,0.37,0.2165,0.1004,1258,20,local_refine,0.39,0.0016
2011-08,2016-07,2016-08,-6.4,0.37,0.1857,0.0774,1258,23,local_refine,0.4,0.0019
2011-09,2016-08,2016-09,-6.55,0.37,0.2007,0.2221,1258,21,local_refine,0.4,0.0017
2011-10,2016-09,2016-10,-6.45,0.37,0.1854,0.1194,1258,21,local_refine,0.4,0.0018
2011-11,2016-10,2016-11,-6.5,0.37,0.1887,0.2096,1258,21,local_refine,0.41,0.0017
2011-12,2016-11,2016-12,-6.6,0.37,0.2167,0.1519,1258,21,local_refine,0.54,0.0017
2012-01,2016-12,2017-01,-6.85,0.37,0.2897,0.0984,1258,20,local_refine,0.65,0.0013
2012-02,2017-01,2017-02,-6.8,0.37,0.2773,0.0624,1258,19,local_refine,0.66,0.0014
2012-03,2017-02,2017-03,-6.65,0.37,0.2298,0.0757,1257,23,local_refine,0.79,0.0017
2012-04,2017-03,2017-04,-6.7,0.37,0.2446,0.0673,1258,19,local_refine,0.9,0.0017
2012-05,2017-04,2017-05,-6.5,0.37,0.186,0.1319,1257,22,local_refine,0.91,0.0021
2012-06,2017-05,2017-06,-6.5,0.37,0.1827,0.1159,1257,22,local_refine,1.04,0.0022
2012-07,2017-06,2017-07,-6.55,0.37,0.1968,0.0858,1258,20,local_refine,1.15,0.0022
2012-08,2017-07,2017-08,-6.5,0.37,0.1822,0.0941,1257,23,local_refine,1.16,0.0023
2012-09,2017-08,2017-09,-6.35,0.37,0.1476,0.0668,1257,20,local_refine,1.15,0.0027
2012-10,2017-09,2017-10,-6.25,0.37,0.1563,0.0464,1258,22,local_refine,1.15,0.0029
2012-11,2017-10,2017-11,-6.35,0.37,0.1496,0.0556,1259,21,local_refine,1.16,0.0027
2012-12,2017-11,2017-12,-6.2,0.37,0.1763,0.0527,1259,20,local_refine,1.3,0.0033
2013-01,2017-12,2018-01,-6.35,0.37,0.1509,0.1394,1259,21,local_refine,1.41,0.0029
2013-02,2018-01,2018-02,-6.4,0.37,0.1539,0.1399,1259,19,local_refine,1.42,0.0028
2013-03,2018-02,2018-03,-6.25,0.37,0.1704,0.1461,1259,21,local_refine,1.51,0.0034
2013-04,2018-03,2018-04,-6.2,0.37,0.1987,0.0637,1260,21,local_refine,1.69,0.0038
2013-05,2018-04,2018-05,-6.15,0.37,0.2317,0.0777,1259,22,local_refine,1.7,0.004
2013-06,2018-05,2018-06,-6.2,0.37,0.2028,0.1086,1259,21,local_refine,1.82,0.004
2013-07,2018-06,2018-07,-6.3,0.37,0.1614,0.0916,1260,21,local_refine,1.91,0.0037
2013-08,2018-07,2018-08,-6.25,0.37,0.191,0.0514,1259,23,local_refine,1.91,0.0039
2013-09,2018-08,2018-09,-6.3,0.37,0.1703,0.1356,1260,19,local_refine,1.95,0.0038
2013-10,2018-09,2018-10,-6.25,0.37,0.1903,0.2713,1259,23,local_refine,2.19,0.0043
2013-11,2018-10,2018-11,-6.4,0.37,0.1426,0.1497,1259,21,local_refine,2.2,0.0037
2013-12,2018-11,2018-12,-6.25,0.37,0.195,0.2725,1260,19,local_refine,2.27,0.0045
2014-01,2018-12,2019-01,-6.3,0.37,0.1727,0.1284,1258,21,local_refine,2.4,0.0045
2014-02,2019-01,2019-02,-6.15,0.37,0.264,0.0677,1258,19,local_refine,2.4,0.0052
2014-03,2019-02,2019-03,-6.45,0.37,0.1498,0.0696,1258,21,local_refine,2.41,0.0038
2014-04,2019-03,2019-04,-6.3,0.37,0.1719,0.0365,1258,21,local_refine,2.42,0.0045
2014-05,2019-04,2019-05,-6.3,0.37,0.1711,0.1325,1258,22,local_refine,2.39,0.0044
2014-06,2019-05,2019-06,-6.3,0.37,0.1708,0.2386,1259,20,local_refine,2.38,0.0044
2014-07,2019-06,2019-07,-6.3,0.37,0.1787,0.0778,1258,22,local_refine,2.4,0.0045
2014-08,2019-07,2019-08,-6.35,0.37,0.1681,0.1533,1258,22,local_refine,2.13,0.0038
2014-09,2019-08,2019-09,-6.35,0.37,0.1702,0.0578,1259,20,local_refine,2.04,0.0037
2014-10,2019-09,2019-10,-6.3,0.37,0.172,0.1,1258,23,local_refine,1.83,0.0036
2014-11,2019-10,2019-11,-6.3,0.37,0.172,0.0877,1258,20,local_refine,1.55,0.0033
2014-12,2019-11,2019-12,-6.45,0.37,0.1834,0.0952,1259,21,local_refine,1.55,0.0028
2015-01,2019-12,2020-01,-6.35,0.37,0.1664,0.0541,1258,21,local_refine,1.55,0.0031
2015-02,2020-01,2020-02,-6.35,0.37,0.1678,0.3801,1259,19,local_refine,1.58,0.0031
2015-03,2020-02,2020-03,-6.4,0.37,0.1827,1.3653,1259,22,local_refine,0.65,0.0021
2015-04,2020-03,2020-04,-6.4,0.37,0.2664,0.3372,1259,21,local_refine,0.05,0.0017
2015-05,2020-04,2020-05,-6.3,0.37,0.3581,0.1538,1259,20,local_refine,0.05,0.0019
2015-06,2020-05,2020-06,-6.4,0.37,0.4681,0.1018,1259,22,local_refine,0.08,0.0017
2015-07,2020-06,2020-07,-6.35,0.37,0.5348,0.0957,1259,22,local_refine,0.09,0.0018
2015-08,2020-07,2020-08,-6.25,0.37,0.543,0.2352,1259,21,local_refine,0.1,0.002
2015-09,2020-08,2020-09,-6.1,0.37,0.5404,0.2079,1259,21,local_refine,0.09,0.0023
2015-10,2020-09,2020-10,-6.25,0.37,0.6484,0.1764,1259,22,local_refine,0.09,0.002
2015-11,2020-10,2020-11,-6.15,0.37,0.6295,0.0629,1259,20,local_refine,0.09,0.0022
2015-12,2020-11,2020-12,-6.15,0.37,0.6514,0.0519,1259,22,local_refine,0.09,0.0022
2016-01,2020-12,2021-01,-6.0,0.37,0.5944,0.1126,1259,19,local_refine,0.09,0.0026
2016-02,2021-01,2021-02,-6.15,0.37,0.7211,0.0632,1259,19,local_refine,0.08,0.0022
2016-03,2021-02,2021-03,-6.1,0.37,0.689,0.0909,1258,23,local_refine,0.07,0.0023
2016-04,2021-03,2021-04,-6.05,0.37,0.6774,0.0324,1259,21,local_refine,0.07,0.0024
2016-05,2021-04,2021-05,-6.05,0.37,0.697,0.0962,1259,20,local_refine,0.06,0.0024
2016-06,2021-05,2021-06,-6.0,0.37,0.6861,0.058,1258,22,local_refine,0.08,0.0025
2016-07,2021-06,2021-07,-6.0,0.37,0.7065,0.0638,1258,21,local_refine,0.1,0.0026
2016-08,2021-07,2021-08,-5.95,0.37,0.6865,0.0512,1259,22,local_refine,0.09,0.0027
2016-09,2021-08,2021-09,-6.0,0.37,0.7498,0.0532,1258,21,local_refine,0.08,0.0025
2016-10,2021-09,2021-10,-5.85,0.37,0.6531,0.0564,1258,21,local_refine,0.08,0.003
2016-11,2021-10,2021-11,-5.8,0.37,0.644,0.1034,1258,21,local_refine,0.08,0.0031
2016-12,2021-11,2021-12,-5.8,0.37,0.6476,0.1387,1258,22,local_refine,0.08,0.0031
2017-01,2021-12,2022-01,-5.85,0.37,0.7086,0.1337,1259,20,local_refine,0.08,0.003
2017-02,2022-01,2022-02,-5.85,0.37,0.7,0.1146,1259,19,local_refine,0.08,0.003
2017-03,2022-02,2022-03,-5.8,0.37,0.6729,0.2223,1259,23,local_refine,0.2,0.0033
2017-04,2022-03,2022-04,-5.8,0.37,0.6991,0.163,1259,20,local_refine,0.33,0.0034
2017-05,2022-04,2022-05,-5.75,0.37,0.7148,0.2711,1260,21,local_refine,0.77,0.0042
2017-06,2022-05,2022-06,-5.7,0.37,0.6779,0.1185,1259,21,local_refine,1.21,0.0052
2017-07,2022-06,2022-07,-5.7,0.37,0.6749,0.1094,1258,20,local_refine,1.68,0.0062
2017-08,2022-07,2022-08,-5.65,0.37,0.6944,0.0624,1258,23,local_refine,2.33,0.0083
2017-09,2022-08,2022-09,-5.65,0.37,0.6983,0.1233,1258,21,local_refine,2.56,0.009
2017-10,2022-09,2022-10,-5.6,0.37,0.7097,0.145,1259,21,local_refine,3.08,0.0115
2017-11,2022-10,2022-11,-5.6,0.37,0.7229,0.1026,1258,21,local_refine,3.78,0.0149
2017-12,2022-11,2022-12,-5.55,0.37,0.7195,0.18,1258,21,local_refine,4.1,0.0176
2018-01,2022-12,2023-01,-5.6,0.37,0.7681,0.1212,1259,20,local_refine,4.33,0.0182
2018-02,2023-01,2023-02,-5.5,0.37,0.7195,0.0899,1258,19,local_refine,4.57,0.0219
2018-03,2023-02,2023-03,-5.5,0.37,0.6906,0.1883,1258,23,local_refine,4.65,0.0226
2018-04,2023-03,2023-04,-5.5,0.37,0.7007,0.0736,1260,19,local_refine,4.83,0.0241
2018-05,2023-04,2023-05,-5.5,0.37,0.7117,0.1589,1258,22,local_refine,5.06,0.0262
2018-06,2023-05,2023-06,-5.45,0.37,0.6809,0.2798,1258,21,local_refine,5.08,0.0278
2018-07,2023-06,2023-07,-5.45,0.37,0.6827,0.2132,1258,20,local_refine,5.12,0.0282
2018-08,2023-07,2023-08,-5.45,0.37,0.6534,0.239,1257,23,local_refine,5.33,0.0304
2018-09,2023-08,2023-09,-5.45,0.37,0.6583,0.1838,1257,20,local_refine,5.33,0.0304
2018-10,2023-09,2023-10,-5.45,0.37,0.6997,0.2696,1258,22,local_refine,5.33,0.0304
2018-11,2023-10,2023-11,-5.4,0.37,0.7377,0.2356,1257,21,local_refine,5.33,0.0319
2018-12,2023-11,2023-12,-5.45,0.37,0.7935,0.2109,1257,20,local_refine,5.33,0.0304
2019-01,2023-12,2024-01,-5.5,0.37,0.8444,0.1833,1258,21,local_refine,5.33,0.0289
2019-02,2024-01,2024-02,-5.5,0.37,0.9061,0.1256,1258,20,local_refine,5.33,0.0289
2019-03,2024-02,2024-03,-5.5,0.37,0.9847,0.1892,1259,20,local_refine,5.33,0.0289
2019-04,2024-03,2024-04,-5.5,0.37,1.0796,0.1922,1258,22,local_refine,5.33,0.0289
2019-05,2024-04,2024-05,-5.55,0.37,1.1431,0.2656,1259,22,local_refine,5.33,0.0276
2019-06,2024-05,2024-06,-5.5,0.37,1.3869,0.1939,1259,19,local_refine,5.33,0.0289
2019-07,2024-06,2024-07,-5.55,0.37,1.3832,0.1941,1258,22,local_refine,5.33,0.0276
2019-08,2024-07,2024-08,-5.55,0.37,1.5625,0.1395,1258,22,local_refine,5.33,0.0276
2019-09,2024-08,2024-09,-5.6,0.37,1.6257,0.1461,1258,20,local_refine,5.13,0.0244
2019-10,2024-09,2024-10,-5.6,0.37,1.7368,0.1788,1258,23,local_refine,4.83,0.0218
2019-11,2024-10,2024-11,-5.65,0.37,1.7678,0.1134,1258,20,local_refine,4.64,0.0194
2019-12,2024-11,2024-12,-5.7,0.37,1.7908,0.098,1258,21,local_refine,4.48,0.0174
2020-01,2024-12,2025-01,-5.7,0.37,1.8725,0.0479,1258,20,local_refine,4.33,0.0165
2020-02,2025-01,2025-02,-5.7,0.37,1.8963,0.0581,1257,19,local_refine,4.33,0.0165
2020-03,2025-02,2025-03,-5.75,0.37,1.9258,0.1133,1257,21,local_refine,4.33,0.0157
2020-04,2025-03,2025-04,-6.0,0.37,1.1497,0.2027,1256,21,local_refine,4.33,0.0122
2020-05,2025-04,2025-05,-6.05,0.37,1.0103,0.3453,1256,21,local_refine,4.33,0.0116
2020-06,2025-05,2025-06,-6.05,0.37,1.0086,0.0518,1257,20,local_refine,4.33,0.0116
2020-07,2025-06,2025-07,-6.1,0.37,0.9702,0.0647,1255,22,local_refine,4.33,0.0111
2020-08,2025-07,2025-08,-6.15,0.37,0.9281,0.0628,1255,21,local_refine,4.33,0.0105
2020-09,2025-08,2025-09,-6.1,0.37,1.0345,0.0741,1255,21,local_refine,4.22,0.0106
2020-10,2025-09,2025-10,-6.05,0.37,1.1459,0.0292,1255,23,local_refine,4.09,0.0107
2020-11,2025-10,2025-11,-6.1,0.37,1.1671,0.0565,1256,19,local_refine,3.88,0.0094
2020-12,2025-11,2025-12,-6.1,0.37,1.1572,0.0304,1255,20,local_refine,3.72,0.0088
