train_start,train_end,test_month,a_best,b_best,train_rmse_pct,test_rmse_pct,n_train_days,n_test_days,search_mode,ffr_pct_test,spread_test
2015-01,2019-12,2020-01,-6.55,0.55,0.1452,0.054,1258,21,local_refine,1.55,0.0033
2015-02,2020-01,2020-02,-6.55,0.54,0.1423,0.3812,1259,19,local_refine,1.58,0.0034
2015-03,2020-02,2020-03,-6.7,0.63,0.1325,1.3665,1259,22,local_refine,0.65,0.0019
2015-04,2020-03,2020-04,-6.75,0.66,0.2246,0.3404,1259,21,local_refine,0.05,0.0012
2015-05,2020-04,2020-05,-6.75,0.71,0.3133,0.1551,1259,20,local_refine,0.05,0.0012
2015-06,2020-05,2020-06,-7.05,0.86,0.3789,0.1018,1259,22,local_refine,0.08,0.0009
2015-07,2020-06,2020-07,-7.25,1.01,0.429,0.0894,1259,22,local_refine,0.09,0.0008
2015-08,2020-07,2020-08,-7.0,0.92,0.4669,0.2273,1259,21,local_refine,0.1,0.001
2015-09,2020-08,2020-09,-6.65,0.77,0.5093,0.2027,1259,21,local_refine,0.09,0.0014
2015-10,2020-09,2020-10,-7.05,0.92,0.5457,0.1699,1259,22,local_refine,0.09,0.0009
2015-11,2020-10,2020-11,-7.2,1.05,0.5409,0.0671,1259,20,local_refine,0.09,0.0008
2015-12,2020-11,2020-12,-7.35,1.14,0.558,0.0513,1259,22,local_refine,0.09,0.0007
2016-01,2020-12,2021-01,-6.95,0.99,0.5726,0.1058,1259,19,local_refine,0.09,0.001
2016-02,2021-01,2021-02,-7.4,1.14,0.6111,0.0594,1259,19,local_refine,0.08,0.0007
2016-03,2021-02,2021-03,-7.5,1.23,0.6052,0.1039,1258,23,local_refine,0.07,0.0006
2016-04,2021-03,2021-04,-7.3,1.14,0.6161,0.032,1259,21,local_refine,0.07,0.0007
2016-05,2021-04,2021-05,-7.35,1.17,0.6385,0.1079,1259,20,local_refine,0.06,0.0007
2016-06,2021-05,2021-06,-7.05,1.02,0.6485,0.0698,1258,22,local_refine,0.08,0.0009
2016-07,2021-06,2021-07,-7.1,1.05,0.6745,0.0662,1258,21,local_refine,0.1,0.0009
2016-08,2021-07,2021-08,-6.8,0.9,0.6762,0.0573,1259,22,local_refine,0.09,0.0012
2016-09,2021-08,2021-09,-7.05,1.01,0.7318,0.0574,1258,21,local_refine,0.08,0.0009
2016-10,2021-09,2021-10,-6.65,0.86,0.684,0.0622,1258,21,local_refine,0.08,0.0014
2016-11,2021-10,2021-11,-6.4,0.73,0.6783,0.094,1258,21,local_refine,0.08,0.0018
2016-12,2021-11,2021-12,-6.15,0.58,0.6735,0.1454,1258,22,local_refine,0.08,0.0022
2017-01,2021-12,2022-01,-5.95,0.43,0.7154,0.1341,1259,20,local_refine,0.08,0.0027
2017-02,2022-01,2022-02,-5.7,0.28,0.683,0.1127,1259,19,local_refine,0.08,0.0034
2017-03,2022-02,2022-03,-5.4,0.13,0.6145,0.2109,1259,23,local_refine,0.2,0.0046
2017-04,2022-03,2022-04,-5.25,0.0,0.6013,0.1749,1259,20,local_refine,0.33,0.0052
2017-05,2022-04,2022-05,-5.2,0.0,0.603,0.2605,1260,21,local_refine,0.77,0.0055
2017-06,2022-05,2022-06,-5.15,0.0,0.5431,0.1155,1259,21,local_refine,1.21,0.0058
2017-07,2022-06,2022-07,-5.15,0.02,0.5238,0.1091,1258,20,local_refine,1.68,0.006
2017-08,2022-07,2022-08,-5.1,0.0,0.5264,0.066,1258,23,local_refine,2.33,0.0061
2017-09,2022-08,2022-09,-5.1,0.0,0.5132,0.1445,1258,21,local_refine,2.56,0.0061
2017-10,2022-09,2022-10,-5.05,0.0,0.5145,0.1845,1259,21,local_refine,3.08,0.0064
2017-11,2022-10,2022-11,-5.05,0.0,0.5147,0.1667,1258,21,local_refine,3.78,0.0064
2017-12,2022-11,2022-12,-5.0,0.0,0.5086,0.1188,1258,21,local_refine,4.1,0.0067
2018-01,2022-12,2023-01,-5.05,0.0,0.552,0.0961,1259,20,local_refine,4.33,0.0064
2018-02,2023-01,2023-02,-5.0,0.0,0.5143,0.1546,1258,19,local_refine,4.57,0.0067
2018-03,2023-02,2023-03,-4.95,0.0,0.5002,0.0558,1258,23,local_refine,4.65,0.0071
2018-04,2023-03,2023-04,-4.95,0.0,0.5237,0.1088,1260,19,local_refine,4.83,0.0071
2018-05,2023-04,2023-05,-4.95,0.0,0.5483,0.0828,1258,22,local_refine,5.06,0.0071
2018-06,2023-05,2023-06,-4.9,0.0,0.5379,0.1069,1258,21,local_refine,5.08,0.0074
2018-07,2023-06,2023-07,-4.9,0.0,0.5476,0.0516,1258,20,local_refine,5.12,0.0074
2018-08,2023-07,2023-08,-4.9,0.02,0.5283,0.0529,1257,23,local_refine,5.33,0.0083
2018-09,2023-08,2023-09,-4.95,0.08,0.4974,0.0577,1257,20,local_refine,5.33,0.0108
2018-10,2023-09,2023-10,-5.0,0.1,0.5242,0.0959,1258,22,local_refine,5.33,0.0114
2018-11,2023-10,2023-11,-4.95,0.1,0.462,0.0625,1257,21,local_refine,5.33,0.012
2018-12,2023-11,2023-12,-5.0,0.12,0.5021,0.0843,1257,20,local_refine,5.33,0.0127
2019-01,2023-12,2024-01,-4.95,0.08,0.5023,0.0441,1258,21,local_refine,5.33,0.0108
2019-02,2024-01,2024-02,-5.0,0.1,0.5115,0.0509,1258,20,local_refine,5.33,0.0114
2019-03,2024-02,2024-03,-4.95,0.08,0.4898,0.0471,1259,20,local_refine,5.33,0.0108
2019-04,2024-03,2024-04,-4.95,0.1,0.471,0.0382,1258,22,local_refine,5.33,0.012
2019-05,2024-04,2024-05,-4.9,0.06,0.4753,0.1435,1259,22,local_refine,5.33,0.0102
2019-06,2024-05,2024-06,-4.8,0.04,0.4567,0.0535,1259,19,local_refine,5.33,0.0101
2019-07,2024-06,2024-07,-4.85,0.06,0.4548,0.0512,1258,22,local_refine,5.33,0.0107
2019-08,2024-07,2024-08,-4.75,0.02,0.4652,0.0984,1258,22,local_refine,5.33,0.0096
2019-09,2024-08,2024-09,-4.75,0.02,0.4689,0.0606,1258,20,local_refine,5.13,0.0095
2019-10,2024-09,2024-10,-4.7,0.0,0.4871,0.0656,1258,23,local_refine,4.83,0.0091
2019-11,2024-10,2024-11,-4.7,0.0,0.4884,0.0374,1258,20,local_refine,4.64,0.0091
2019-12,2024-11,2024-12,-4.7,0.0,0.4914,0.047,1258,21,local_refine,4.48,0.0091
2020-01,2024-12,2025-01,-4.7,0.0,0.5212,0.0931,1258,20,local_refine,4.33,0.0091
2020-02,2025-01,2025-02,-4.7,0.0,0.5348,0.0512,1257,19,local_refine,4.33,0.0091
2020-03,2025-02,2025-03,-4.65,0.0,0.5573,0.1472,1257,21,local_refine,4.33,0.0095
2020-04,2025-03,2025-04,-5.05,0.08,0.4186,0.1977,1256,21,local_refine,4.33,0.009
2020-05,2025-04,2025-05,-5.2,0.12,0.4736,0.3258,1256,21,local_refine,4.33,0.0092
2020-06,2025-05,2025-06,-5.15,0.1,0.4701,0.0415,1257,20,local_refine,4.33,0.0089
2020-07,2025-06,2025-07,-5.25,0.12,0.4908,0.0716,1255,22,local_refine,4.33,0.0088
2020-08,2025-07,2025-08,-5.25,0.12,0.5045,0.0491,1255,21,local_refine,4.33,0.0088
2020-09,2025-08,2025-09,-5.05,0.08,0.4267,0.0593,1255,21,local_refine,4.22,0.0089
2020-10,2025-09,2025-10,-4.9,0.04,0.3555,0.019,1255,23,local_refine,4.09,0.0087
2020-11,2025-10,2025-11,-4.9,0.04,0.3349,0.0574,1256,19,local_refine,3.88,0.0087
2020-12,2025-11,2025-12,-4.9,0.04,0.3384,0.0316,1255,20,local_refine,3.72,0.0086
