a,b,rmse_pct
-5.6,0.43,5.6301
-7.75,0.2,5.6477
-9.25,0.8,5.6488
-8.0,0.35,5.657
-8.75,0.65,5.662
-5.8,0.51,5.6803
-5.4,0.33,5.6839
-6.05,0.59,5.6844
-8.25,0.45,5.6965
-8.5,0.55,5.6984
-5.55,0.41,5.6991
-9.5,0.85,5.7009
-7.75,0.15,5.7051
-8.0,0.3,5.7345
-9.0,0.7,5.7381
-9.75,0.9,5.743
-7.75,0.1,5.7536
-5.85,0.53,5.7748
-10.0,0.95,5.777
-5.25,0.23,5.7837
-8.25,0.4,5.7862
-8.75,0.6,5.7889
-7.75,0.05,5.7949
-5.3,0.27,5.7974
-8.0,0.25,5.7986
-9.25,0.75,5.7998
-5.5,0.39,5.8002
-8.5,0.5,5.8044
-7.75,0.0,5.8302
-9.5,0.8,5.8497
-8.0,0.2,5.852
-8.25,0.35,5.8596
-9.0,0.65,5.862
-6.25,0.65,5.8645
-6.25,0.65,5.8645
-9.75,0.85,5.8901
-8.5,0.45,5.8904
-8.75,0.55,5.8914
-5.35,0.31,5.8962
-8.0,0.15,5.8967
-6.1,0.61,5.9
-5.9,0.55,5.9016
-8.25,0.3,5.92
-9.25,0.7,5.9212
-10.0,0.9,5.9228
-5.45,0.37,5.9325
-8.0,0.1,5.9344
-5.75,0.5,5.9366
-8.5,0.4,5.9604
-9.0,0.6,5.9618
-8.0,0.05,5.9665
-9.5,0.75,5.9691
-8.25,0.25,5.97
-8.75,0.5,5.9744
-8.0,0.0,5.994
-9.75,0.8,6.0079
-8.25,0.2,6.0115
-8.5,0.35,6.0176
-9.25,0.65,6.0187
-10.0,0.85,6.0393
-8.75,0.45,6.0415
-9.0,0.55,6.0421
-5.5,0.4,6.0462
-8.25,0.15,6.0463
-5.95,0.57,6.0602
-8.5,0.3,6.0647
-9.5,0.7,6.0647
-8.25,0.1,6.0756
-5.25,0.25,6.0778
-5.25,0.25,6.0778
-5.4,0.35,6.0956
-8.75,0.4,6.0962
-9.25,0.6,6.0969
-8.25,0.05,6.1006
-9.75,0.75,6.1019
-8.5,0.25,6.1036
-9.0,0.5,6.107
-8.25,0.0,6.122
-10.0,0.8,6.132
-8.5,0.2,6.1359
-5.3,0.29,6.136
-8.75,0.35,6.1408
-9.5,0.65,6.1411
-6.15,0.63,6.1444
-9.0,0.45,6.1594
-9.25,0.55,6.1597
-8.5,0.15,6.163
-9.75,0.7,6.1769
-8.75,0.3,6.1775
-5.65,0.47,6.1828
-8.5,0.1,6.1858
-5.6,0.45,6.1899
-9.0,0.4,6.202
-9.5,0.6,6.2023
-8.5,0.05,6.2052
-10.0,0.75,6.2058
-8.75,0.25,6.2077
-5.7,0.49,6.2097
-9.25,0.5,6.2103
-8.5,0.0,6.2219
-5.55,0.43,6.2308
-8.75,0.2,6.2329
-9.75,0.65,6.2368
-9.0,0.35,6.2368
-6.0,0.59,6.2502
-9.25,0.45,6.2513
-9.5,0.55,6.2514
-8.75,0.15,6.254
-10.0,0.7,6.2646
-9.0,0.3,6.2653
-5.75,0.51,6.2705
-8.75,0.1,6.2718
-9.25,0.4,6.2845
-9.75,0.6,6.2846
-8.75,0.05,6.2869
-5.35,0.33,6.2886
-9.0,0.25,6.2889
-9.5,0.5,6.2909
-8.75,0.0,6.2998
-5.5,0.41,6.3051
-9.0,0.2,6.3085
-10.0,0.65,6.3114
-9.25,0.35,6.3116
-9.5,0.45,6.3228
-9.75,0.55,6.3229
-9.0,0.15,6.3249
-9.25,0.3,6.3338
-9.0,0.1,6.3388
-5.0,0.0,6.3466
-9.5,0.4,6.3487
-10.0,0.6,6.3487
-9.0,0.05,6.3505
-9.25,0.25,6.3522
-9.75,0.5,6.3537
-9.0,0.0,6.3606
-5.8,0.53,6.3652
-9.25,0.2,6.3674
-9.5,0.35,6.3698
-9.75,0.45,6.3786
-10.0,0.55,6.3786
-9.25,0.15,6.3802
-9.5,0.3,6.3872
-9.25,0.1,6.391
-9.75,0.4,6.3988
-9.25,0.05,6.4001
-9.5,0.25,6.4015
-10.0,0.5,6.4027
-5.25,0.27,6.4029
-9.25,0.0,6.408
-5.45,0.39,6.4123
-9.5,0.2,6.4133
-9.75,0.35,6.4152
-6.2,0.65,6.4174
-10.0,0.45,6.4221
-9.5,0.15,6.4233
-9.75,0.3,6.4287
-9.5,0.1,6.4317
-10.0,0.4,6.4378
-9.5,0.05,6.4388
-9.75,0.25,6.4399
-9.5,0.0,6.4449
-9.75,0.2,6.4491
-10.0,0.35,6.4506
-9.75,0.15,6.4568
-10.0,0.3,6.4611
-9.75,0.1,6.4634
-9.75,0.05,6.4689
-10.0,0.25,6.4698
-6.05,0.61,6.4711
-9.75,0.0,6.4737
-10.0,0.2,6.477
-10.0,0.15,6.483
-10.0,0.1,6.4881
-10.0,0.05,6.4924
-5.85,0.55,6.4934
-10.0,0.0,6.4961
-5.3,0.31,6.511
-5.4,0.37,6.552
-8.0,1.05,6.612
-8.25,1.1,6.614
-8.5,1.15,6.631
-7.75,1.0,6.6318
-6.0,0.6,6.6534
-5.9,0.57,6.6549
-8.75,1.2,6.6589
-7.5,0.95,6.6828
-9.0,1.25,6.6948
-6.1,0.63,6.7225
-5.35,0.35,6.7234
-9.25,1.3,6.7368
-5.0,0.05,6.7565
-5.25,0.29,6.7622
-7.25,0.9,6.7794
-9.5,1.35,6.7837
-5.6,0.47,6.8084
-5.55,0.45,6.8187
-5.65,0.49,6.8333
-9.75,1.4,6.8347
-5.95,0.59,6.8491
-5.5,0.43,6.8638
-10.0,1.45,6.8892
-5.7,0.51,6.8933
-5.3,0.33,6.926
-7.0,0.85,6.9418
-5.45,0.41,6.9435
-5.25,0.3,6.9557
-5.75,0.53,6.9884
-6.15,0.65,7.004
-5.4,0.39,7.0572
-6.0,0.61,7.0758
-5.8,0.55,7.1184
-5.25,0.31,7.1591
-6.75,0.8,7.1985
-5.35,0.37,7.2045
-5.0,0.1,7.2508
-5.85,0.57,7.2831
-6.05,0.63,7.3346
-5.3,0.35,7.3847
-5.55,0.47,7.4675
-5.5,0.45,7.4809
-5.5,0.45,7.4809
-5.9,0.59,7.482
-5.6,0.49,7.4905
-5.45,0.43,7.5304
-5.65,0.51,7.5498
-6.5,0.75,7.5878
-5.25,0.33,7.5973
-5.4,0.41,7.6156
-6.1,0.65,7.6251
-5.7,0.53,7.6456
-5.95,0.61,7.7149
-5.35,0.39,7.7362
-5.75,0.55,7.7777
-5.75,0.55,7.7777
-5.0,0.15,7.854
-5.3,0.37,7.8914
-5.8,0.57,7.9459
-6.0,0.63,7.9815
-5.25,0.35,8.0809
-5.25,0.35,8.0809
-5.85,0.59,8.1499
-6.25,0.7,8.1594
-5.5,0.47,8.1614
-5.45,0.45,8.178
-5.55,0.49,8.1825
-5.4,0.43,8.232
-5.6,0.51,8.2414
-6.05,0.65,8.2815
-5.35,0.41,8.323
-5.65,0.53,8.338
-5.9,0.61,8.3894
-5.3,0.39,8.4506
-5.7,0.55,8.4725
-5.0,0.2,8.5979
-5.25,0.37,8.6142
-5.75,0.57,8.6445
-5.95,0.63,8.6643
-5.8,0.59,8.8539
-5.45,0.47,8.8916
-5.5,0.49,8.9108
-5.4,0.45,8.9114
-5.55,0.51,8.9693
-5.35,0.43,8.97
-6.0,0.65,8.9742
-6.0,0.65,8.9742
-5.6,0.53,9.067
-5.3,0.41,9.0671
-5.85,0.61,9.1005
-8.5,1.2,9.1759
-8.25,1.15,9.1781
-8.75,1.25,9.1909
-5.25,0.39,9.2021
-8.0,1.1,9.2022
-5.65,0.55,9.204
-9.0,1.3,9.2197
-7.75,1.05,9.255
-9.25,1.35,9.2596
-9.5,1.4,9.309
-5.5,0.5,9.3132
-7.5,1.0,9.3458
-9.75,1.45,9.3665
-5.7,0.57,9.3802
-5.9,0.63,9.384
-10.0,1.5,9.4312
-7.25,0.95,9.4879
-5.25,0.4,9.518
-5.0,0.25,9.5234
-5.75,0.59,9.5954
-5.4,0.47,9.6596
-5.45,0.49,9.677
-5.35,0.45,9.6828
-7.0,0.9,9.6996
-4.75,0.0,9.7039
-5.95,0.65,9.7044
-5.5,0.51,9.7351
-5.3,0.43,9.7462
-5.55,0.53,9.834
-5.8,0.61,9.8494
-5.25,0.41,9.8496
-5.6,0.55,9.9738
-6.75,0.85,10.0059
-5.75,0.6,10.1046
-5.85,0.63,10.1421
-5.65,0.57,10.1544
-4.75,0.05,10.276
-5.7,0.59,10.3758
-6.5,0.8,10.4408
-5.35,0.47,10.4671
-5.9,0.65,10.4734
-5.4,0.49,10.4826
-5.3,0.45,10.4938
-5.45,0.51,10.5404
-5.25,0.43,10.5623
-5.75,0.61,10.6377
-5.5,0.53,10.6407
-5.0,0.3,10.683
-5.55,0.55,10.7835
-5.8,0.63,10.94
-4.75,0.1,10.9546
-5.6,0.57,10.9689
-6.25,0.75,11.049
-5.65,0.59,11.1966
-5.85,0.65,11.2827
-5.3,0.47,11.316
-5.35,0.49,11.3295
-5.25,0.45,11.3463
-5.25,0.45,11.3463
-5.4,0.51,11.387
-5.7,0.61,11.4668
-5.45,0.53,11.4888
-5.5,0.55,11.6348
-5.5,0.55,11.6348
-4.75,0.15,11.7694
-5.75,0.63,11.7793
-5.55,0.57,11.8251
-6.0,0.7,11.8878
-5.6,0.59,12.0597
-5.8,0.65,12.134
-5.0,0.35,12.142
-5.25,0.47,12.2081
-5.3,0.49,12.2196
-5.35,0.51,12.2768
-5.65,0.61,12.3385
-5.4,0.53,12.3801
-5.45,0.55,12.5295
-8.5,1.25,12.5705
-8.25,1.2,12.5804
-8.75,1.3,12.5827
-9.0,1.35,12.6132
-8.0,1.15,12.6176
-9.25,1.4,12.6591
-5.7,0.63,12.6615
-7.75,1.1,12.6889
-9.5,1.45,12.718
-5.5,0.57,12.725
-4.75,0.2,12.7591
-9.75,1.5,12.7884
-7.5,1.05,12.8037
-5.55,0.59,12.9667
-7.25,1.0,12.9748
-5.75,0.65,13.0287
-5.75,0.65,13.0287
-5.25,0.49,13.1548
-5.3,0.51,13.2117
-7.0,0.95,13.2192
-5.6,0.61,13.2546
-5.35,0.53,13.3166
-5.4,0.55,13.4695
-6.75,0.9,13.5604
-5.65,0.63,13.5887
-5.25,0.5,13.6623
-5.45,0.57,13.6705
-5.5,0.59,13.9197
-5.7,0.65,13.9689
-4.75,0.25,13.9739
-5.0,0.4,13.982
-6.5,0.85,14.0295
-4.5,0.0,14.0879
-5.25,0.51,14.1939
-5.55,0.61,14.217
-5.3,0.53,14.3004
-5.35,0.55,14.4569
-5.5,0.6,14.5589
-5.6,0.63,14.5625
-5.4,0.57,14.6636
-6.25,0.8,14.6682
-4.5,0.05,14.8517
-5.45,0.59,14.9205
-5.65,0.65,14.9562
-5.5,0.61,15.2276
-5.25,0.53,15.3335
-4.75,0.3,15.4779
-5.3,0.55,15.4938
-6.0,0.75,15.5306
-5.55,0.63,15.5851
-5.35,0.57,15.7064
-4.5,0.1,15.7511
-5.4,0.59,15.9713
-5.6,0.65,15.9929
-5.45,0.61,16.2887
-5.0,0.45,16.3026
-5.25,0.55,16.5826
-5.25,0.55,16.5826
-5.5,0.63,16.6585
-5.75,0.7,16.6863
-5.3,0.57,16.8012
-4.5,0.15,16.8228
-8.5,1.3,16.9339
-8.25,1.25,16.943
-8.75,1.35,16.9513
-8.0,1.2,16.984
-9.0,1.4,16.9908
-9.25,1.45,17.0493
-7.75,1.15,17.0639
-5.35,0.59,17.0745
-5.55,0.65,17.0809
-9.5,1.5,17.1241
-7.5,1.1,17.1924
-4.75,0.35,17.3518
-7.25,1.05,17.3818
-5.4,0.61,17.4024
-7.0,1.0,17.649
-5.45,0.63,17.785
-5.25,0.57,17.9503
-6.75,0.95,18.016
-4.5,0.2,18.1147
-5.5,0.65,18.2225
-5.5,0.65,18.2225
-5.3,0.59,18.2322
-6.5,0.9,18.5127
-5.35,0.61,18.571
-5.4,0.63,18.9669
-6.25,0.85,19.1784
-5.0,0.5,19.2241
-5.45,0.65,19.42
-5.25,0.59,19.4469
-4.5,0.25,19.6883
-4.75,0.4,19.6962
-4.25,0.0,19.745
-5.3,0.61,19.797
-6.0,0.8,20.0649
-5.35,0.63,20.2066
-5.25,0.6,20.2468
-5.4,0.65,20.6759
-4.25,0.05,20.7457
-5.25,0.61,21.0829
-5.75,0.75,21.2394
-5.3,0.63,21.5066
-4.5,0.3,21.6225
-4.25,0.1,21.9193
-5.35,0.65,21.9925
-8.5,1.35,22.4266
-8.25,1.3,22.4285
-8.75,1.4,22.4552
-8.0,1.25,22.4665
-9.0,1.45,22.5097
-7.75,1.2,22.5482
-9.25,1.5,22.5864
-4.75,0.45,22.6332
-7.5,1.15,22.6832
-5.5,0.7,22.788
-5.25,0.63,22.8696
-7.25,1.1,22.884
-5.0,0.55,22.8897
-7.0,1.05,23.1673
-4.25,0.15,23.3115
-5.3,0.65,23.3727
-6.75,1.0,23.5546
-4.5,0.35,24.0162
-6.5,0.95,24.0749
-6.25,0.9,24.7658
-5.25,0.65,24.819
-5.25,0.65,24.819
-4.25,0.2,24.9815
-6.0,0.85,25.6774
-4.75,0.5,26.3093
-5.75,0.8,26.8749
-4.5,0.4,26.9917
-4.25,0.25,27.0052
-4.0,0.0,27.0087
-5.0,0.6,27.4669
-4.0,0.05,28.307
-5.5,0.75,28.4425
-8.25,1.35,29.2264
-8.5,1.4,29.2365
-8.0,1.3,29.2568
-8.75,1.45,29.2809
-7.75,1.25,29.3355
-9.0,1.5,29.3548
-7.5,1.2,29.4723
-4.25,0.3,29.4791
-7.25,1.15,29.6801
-4.0,0.1,29.8254
-7.0,1.1,29.9755
-6.75,1.05,30.3799
-5.25,0.7,30.488
-4.5,0.45,30.697
-4.75,0.55,30.896
-6.5,1.0,30.9216
-4.0,0.15,31.621
-6.25,0.95,31.6376
-4.25,0.35,32.5235
-6.0,0.9,32.5765
-5.0,0.65,33.1473
-4.0,0.2,33.7667
-5.75,0.85,33.8015
-4.5,0.5,35.3065
-5.5,0.8,35.3953
-4.25,0.4,36.2858
-3.75,0.0,36.3097
-4.0,0.25,36.3559
-4.75,0.6,36.5891
-5.25,0.75,37.4644
-8.25,1.4,37.5408
-8.0,1.35,37.5609
-8.5,1.45,37.5655
-8.75,1.5,37.6285
-7.75,1.3,37.634
-7.5,1.25,37.7703
-7.25,1.2,37.9829
-3.75,0.05,37.9837
-7.0,1.15,38.2887
-6.75,1.1,38.7092
-6.5,1.05,39.2724
-4.0,0.3,39.5059
-3.75,0.1,39.9374
-6.25,1.0,40.0149
-5.0,0.7,40.1443
-4.25,0.45,40.9418
-6.0,0.95,40.9843
-4.5,0.55,41.0206
-3.75,0.15,42.2413
-5.75,0.9,42.2427
-4.0,0.35,43.3616
-4.75,0.65,43.6061
-5.5,0.85,43.8711
-3.75,0.2,44.9855
-5.25,0.8,45.9741
-4.25,0.5,46.6951
-8.25,1.45,47.5755
-8.0,1.4,47.5851
-8.5,1.5,47.6152
-7.75,1.35,47.6525
-7.5,1.3,47.7884
-7.25,1.25,48.0063
-4.5,0.6,48.0621
-4.0,0.4,48.0981
-3.5,0.0,48.1946
-3.75,0.25,48.2836
-7.0,1.2,48.3234
-5.0,0.75,48.6866
-6.75,1.15,48.7615
-6.5,1.1,49.3487
-6.25,1.05,50.1215
-3.5,0.05,50.3435
-6.0,1.0,51.1269
-4.75,0.7,52.1798
-3.75,0.3,52.2771
-5.75,0.95,52.4261
-3.5,0.1,52.8462
-4.25,0.55,53.7736
-4.0,0.45,53.9202
-5.5,0.9,54.0988
-3.5,0.15,55.79
-5.25,0.85,56.2482
-4.5,0.65,56.6692
-3.75,0.35,57.1382
-5.0,0.8,59.0077
-3.5,0.2,59.2847
-8.25,1.5,59.5183
-8.0,1.45,59.5203
-7.75,1.4,59.585
-7.5,1.35,59.7237
-7.25,1.3,59.9504
-7.0,1.25,60.2828
-6.75,1.2,60.743
-4.0,0.5,61.0597
-6.5,1.15,61.3597
-6.25,1.1,62.1692
-4.25,0.6,62.4221
-4.75,0.75,62.5479
-3.75,0.4,63.0708
-6.0,1.05,63.2185
-3.25,0.0,63.3511
-3.5,0.25,63.4677
-5.75,1.0,64.5685
-3.25,0.05,66.0989
-5.5,0.95,66.2978
-4.5,0.7,67.0853
-3.5,0.3,68.507
-5.25,0.9,68.5085
-3.25,0.1,69.2926
-4.0,0.55,69.7674
-3.75,0.45,70.308
-5.0,0.85,71.3324
-4.25,0.65,72.8913
-3.25,0.15,73.0387
-8.0,1.5,73.5258
-7.75,1.45,73.5943
-7.5,1.4,73.7425
-7.25,1.35,73.9851
-7.0,1.3,74.3402
-3.5,0.35,74.6034
-6.75,1.25,74.8306
-4.75,0.8,74.9389
-6.5,1.2,75.4855
-6.25,1.15,76.3415
-6.0,1.1,77.4461
-3.25,0.2,77.4702
-5.75,1.05,78.8597
-3.75,0.5,79.1057
-4.5,0.75,79.5445
-4.0,0.6,80.302
-5.5,1.0,80.6608
-3.5,0.4,81.9894
-3.0,0.0,82.6366
-3.25,0.25,82.7504
-5.25,0.95,82.9505
-4.25,0.7,85.4222
-5.0,0.9,85.8593
-3.0,0.05,86.1374
-3.25,0.3,89.0756
-4.75,0.85,89.5555
-3.75,0.55,89.7296
-7.75,1.5,89.7984
-7.5,1.45,89.9665
-3.0,0.1,90.1968
-7.25,1.4,90.2356
-7.0,1.35,90.6246
-3.5,0.45,90.9226
-6.75,1.3,91.1569
-6.5,1.25,91.8623
-6.25,1.2,92.7784
-4.0,0.65,92.9135
-6.0,1.15,93.9527
-4.5,0.8,94.2544
-3.0,0.15,94.9437
-5.75,1.1,95.4464
-3.25,0.35,96.6749
-5.5,1.05,97.3376
-5.25,1.0,99.7271
-4.25,0.75,100.2297
-3.0,0.2,100.5365
-3.5,0.5,101.6746
-3.75,0.6,102.4395
-5.0,0.95,102.7447
-3.25,0.4,105.8054
-4.75,0.9,106.5575
-3.0,0.25,107.1662
-4.0,0.7,107.8255
-7.5,1.5,108.4631
-7.25,1.45,108.7728
-7.0,1.4,109.2101
-6.75,1.35,109.7995
-6.5,1.3,110.5713
-4.5,0.85,111.3796
-6.25,1.25,111.5641
-6.0,1.2,112.8262
-5.75,1.15,114.4193
-3.5,0.55,114.5142
-3.0,0.3,115.0569
-5.5,1.1,116.4221
-3.25,0.45,116.7416
-3.75,0.65,117.4695
-4.25,0.8,117.4843
-5.25,1.05,118.9354
-5.0,1.0,122.0887
-3.0,0.35,124.4624
-4.0,0.75,125.2167
-4.75,0.95,126.0483
-7.25,1.5,129.6091
-3.5,0.6,129.6867
-3.25,0.5,129.7594
-7.0,1.45,130.1122
-6.75,1.4,130.7764
-4.5,0.9,131.0274
-6.5,1.35,131.6333
-6.25,1.3,132.7223
-6.0,1.25,134.0928
-3.75,0.7,135.0086
-3.0,0.4,135.6572
-5.75,1.2,135.8077
-4.25,0.85,137.2983
-5.5,1.15,137.9462
-5.25,1.1,140.6098
-5.0,1.05,143.9282
-3.25,0.55,145.1145
-4.0,0.8,145.2062
-3.5,0.65,147.3933
-4.75,1.0,148.0674
-3.0,0.45,148.9211
-4.5,0.95,153.24
-7.0,1.5,153.2899
-6.75,1.45,154.0486
-6.5,1.4,155.011
-3.75,0.75,155.185
-6.25,1.35,156.2176
-6.0,1.3,157.7193
-5.75,1.25,159.5798
-4.25,0.9,159.7176
-5.5,1.2,161.8799
-3.25,0.6,163.0209
-3.0,0.5,164.5184
-5.25,1.15,164.7219
-3.5,0.7,167.7732
-4.0,0.85,167.8449
-5.0,1.1,168.2364
-4.75,1.05,172.5897
-4.5,1.0,177.9943
-3.75,0.8,178.0564
-6.75,1.5,179.5284
-6.5,1.45,180.6174
-6.25,1.4,181.9638
-3.0,0.55,182.6751
-6.0,1.35,183.6198
-3.25,0.65,183.6313
-4.25,0.95,184.7213
-5.75,1.3,185.6508
-5.5,1.25,188.1391
-3.5,0.75,190.8939
-5.25,1.2,191.1885
-4.0,0.9,193.115
-5.0,1.15,194.9307
-4.75,1.1,199.533
-3.0,0.6,203.5577
-3.75,0.85,203.6096
-4.5,1.05,205.2087
-3.25,0.7,207.0247
-6.5,1.5,208.327
-6.25,1.45,209.835
-6.0,1.4,211.6685
-4.25,1.0,212.2286
-5.75,1.35,213.8945
-5.5,1.3,216.5974
-3.5,0.8,216.7487
-5.25,1.25,219.8827
-4.0,0.95,220.9367
-5.0,1.2,223.884
-3.0,0.65,227.2591
-4.75,1.15,228.7701
-3.75,0.9,231.7673
-3.25,0.75,233.2038
-4.5,1.1,234.7552
-6.25,1.5,239.6793
-6.0,1.45,241.7123
-4.25,1.05,242.111
-5.75,1.4,244.1571
-3.5,0.85,245.2642
-5.5,1.35,247.1
-5.25,1.3,250.649
-4.0,1.0,251.1817
-3.0,0.7,253.7939
-5.0,1.25,254.9396
-4.75,1.2,260.1429
-3.25,0.8,262.1014
-3.75,0.95,262.4013
-4.5,1.15,266.4748
-6.0,1.5,273.5843
-4.25,1.1,274.2083
-5.75,1.45,276.27
-3.5,0.9,276.3137
-5.5,1.4,279.4771
-3.0,0.75,283.1035
-5.25,1.35,283.316
-4.0,1.05,283.6882
-5.0,1.3,287.925
-4.75,1.25,293.4776
-3.25,0.85,293.5939
-3.75,1.0,295.3488
-4.5,1.2,300.1919
-4.25,1.15,308.343
-3.5,0.95,309.7338
-5.75,1.5,310.0614
-5.5,1.45,313.5553
-3.0,0.8,315.0697
-5.25,1.4,317.7091
-4.0,1.1,318.2768
-5.0,1.35,322.6639
-3.25,0.9,327.5185
-4.75,1.3,328.5963
-3.75,1.05,330.4283
-4.5,1.25,335.7271
-4.25,1.2,344.3337
-3.5,1.0,345.3412
-5.5,1.5,349.1668
-3.0,0.85,349.5318
-5.25,1.45,353.6591
-4.0,1.15,354.764
-5.0,1.4,358.986
-3.25,0.95,363.6904
-4.75,1.35,365.3272
-3.75,1.1,367.4539
-4.5,1.3,372.9069
-4.25,1.25,382.0053
-3.5,1.05,382.9473
-3.0,0.9,386.3049
-5.25,1.5,391.0087
-4.0,1.2,392.9724
-5.0,1.45,396.7329
-3.25,1.0,401.9186
-4.75,1.4,403.5111
-3.75,1.15,406.2457
-4.5,1.35,411.5709
-4.25,1.3,421.1956
-3.5,1.1,422.3693
-3.0,0.95,425.196
-4.0,1.25,432.738
-5.0,1.5,435.7624
-3.25,1.05,442.0171
-4.75,1.45,443.005
-3.75,1.2,446.6371
-4.5,1.4,451.5752
-4.25,1.35,461.7597
-3.5,1.15,463.4378
-3.0,1.0,466.0159
-4.0,1.3,473.9141
-4.75,1.5,483.6844
-3.25,1.1,483.8132
-3.75,1.25,488.4793
-4.5,1.45,492.7946
-4.25,1.4,503.5713
-3.5,1.2,506.0011
-3.0,1.05,508.588
-4.0,1.35,516.373
-3.25,1.15,527.1515
-3.75,1.3,531.6427
-4.5,1.5,535.1227
-4.25,1.45,546.5233
-3.5,1.25,549.9267
-3.0,1.1,552.7533
-4.0,1.4,560.0063
-3.25,1.2,571.8963
-3.75,1.35,576.0167
-4.25,1.5,590.5261
-3.5,1.3,595.1015
-3.0,1.15,598.3715
-4.0,1.45,604.7232
-3.25,1.25,617.9311
-3.75,1.4,621.5088
-3.5,1.35,641.4304
-3.0,1.2,645.3221
-4.0,1.5,650.449
-3.25,1.3,665.1571
-3.75,1.45,668.0424
-3.5,1.4,688.8342
-3.0,1.25,693.5023
-3.25,1.35,713.4919
-3.75,1.5,715.5547
-3.5,1.45,737.2474
-3.0,1.3,742.8252
-3.25,1.4,762.8666
-3.5,1.5,786.6159
-3.0,1.35,793.218
-3.25,1.45,813.2235
-3.0,1.4,844.6188
-3.25,1.5,864.5145
-3.0,1.45,896.9754
-3.0,1.5,950.2427
