Date,equity,cash,rebalanced,rebalance_reason,spy_value,spy_weight,spy_signal,spy_shares,spy_avg_price,spy_realized_pnl,spy_unrealized_pnl,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,gld_realized_pnl,gld_unrealized_pnl,tlt_value,tlt_weight,tlt_signal,tlt_shares,tlt_avg_price,tlt_realized_pnl,tlt_unrealized_pnl,drawdown_pct
2011-11-11,17306764,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3726919,0.2153,buy,21424,93.72494,2028386,1718956,3231224,0.1867,buy,41511,64.177955,181995,567133,-0.38
2011-11-14,17342451,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3710637,0.214,buy,21424,93.72494,2028386,1702674,3283194,0.1893,buy,41511,64.177955,181995,619102,-0.17
2011-11-15,17341408,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3714065,0.2142,buy,21424,93.72494,2028386,1706102,3278722,0.1891,buy,41511,64.177955,181995,614631,-0.18
2011-11-16,17331668,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3674430,0.212,buy,21424,93.72494,2028386,1666467,3308617,0.1909,buy,41511,64.177955,181995,644526,-0.23
2011-11-17,17263732,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3579951,0.2074,buy,21424,93.72494,2028386,1571987,3335160,0.1932,buy,41511,64.177955,181995,671069,-0.63
2011-11-18,17274033,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3591091,0.2079,buy,21424,93.72494,2028386,1583128,3334322,0.193,buy,41511,64.177955,181995,670230,-0.57
2011-11-21,17205603,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3502824,0.2036,buy,21424,93.72494,2028386,1494861,3354158,0.1949,buy,41511,64.177955,181995,690067,-0.96
2011-11-22,17281820,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3541601,0.2049,buy,21424,93.72494,2028386,1533638,3391598,0.1963,buy,41511,64.177955,181995,727507,-0.52
2011-11-23,17304785,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3531318,0.2041,buy,21424,93.72494,2028386,1523355,3424846,0.1979,buy,41511,64.177955,181995,760755,-0.39
2011-11-25,17224414,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3500681,0.2032,buy,21424,93.72494,2028386,1492718,3375111,0.1959,buy,41511,64.177955,181995,711020,-0.85
2011-11-28,17291938,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3569881,0.2064,buy,21424,93.72494,2028386,1561918,3373436,0.1951,buy,41511,64.177955,181995,709345,-0.46
2011-11-29,17269635,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3575237,0.207,buy,21424,93.72494,2028386,1567274,3345777,0.1937,buy,41511,64.177955,181995,681686,-0.59
2011-11-30,17287018,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3644865,0.2108,buy,21424,93.72494,2028386,1636902,3293531,0.1905,buy,41511,64.177955,181995,629440,-0.49
2011-12-01,17259777,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3634153,0.2106,buy,21424,93.72494,2028386,1626190,3277003,0.1899,buy,41511,64.177955,181995,612911,-0.65
2011-12-02,17309784,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3638224,0.2102,buy,21424,93.72494,2028386,1630261,3322939,0.192,buy,41511,64.177955,181995,658848,-0.36
2011-12-05,17249502,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3584664,0.2078,buy,21424,93.72494,2028386,1576701,3316217,0.1923,buy,41511,64.177955,181995,652126,-0.71
2011-12-06,17236275,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3603088,0.209,buy,21424,93.72494,2028386,1595125,3284565,0.1906,buy,41511,64.177955,181995,620474,-0.78
2011-12-07,17274177,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3629225,0.2101,buy,21424,93.72494,2028386,1621262,3296331,0.1908,buy,41511,64.177955,181995,632240,-0.57
2011-12-08,17242079,10348621,False,,0,0.0,sell,0,0.0,2810294,0,3555955,0.2062,buy,21424,93.72494,2028386,1547992,3337502,0.1936,buy,41511,64.177955,181995,673411,-0.75
