Date,equity,cash,is_month_start,rebalanced,rebalance_reason,spy_close,spy_shares,spy_weight,spy_signal_today,spy_pending_intent,spy_pending_reason,spy_pending_delta,spy_executed_intent,spy_exec_side,spy_exec_shares,spy_exec_price,gld_close,gld_shares,gld_weight,gld_signal_today,gld_pending_intent,gld_pending_reason,gld_pending_delta,gld_executed_intent,gld_exec_side,gld_exec_shares,gld_exec_price,tlt_close,tlt_shares,tlt_weight,tlt_signal_today,tlt_pending_intent,tlt_pending_reason,tlt_pending_delta,tlt_executed_intent,tlt_exec_side,tlt_exec_shares,tlt_exec_price
2004-11-18,10000000,10000000,False,False,,79.950699,0,0.0,hold,,,0.0,,,0,0.0,44.380001,0,0.0,hold,,,0.0,,,0,0.0,44.324715,0,0.0,hold,,,0.0,,,0,0.0
2004-11-19,10000000,10000000,False,False,,79.06192,0,0.0,hold,,,0.0,,,0,0.0,44.779999,0,0.0,hold,,,0.0,,,0,0.0,43.971046,0,0.0,hold,,,0.0,,,0,0.0
2004-11-22,10000000,10000000,False,False,,79.43898,0,0.0,hold,,,0.0,,,0,0.0,44.950001,0,0.0,hold,,,0.0,,,0,0.0,44.200222,0,0.0,hold,,,0.0,,,0,0.0
2004-11-23,10000000,10000000,False,False,,79.56015,0,0.0,hold,,,0.0,,,0,0.0,44.75,0,0.0,hold,,,0.0,,,0,0.0,44.255039,0,0.0,hold,,,0.0,,,0,0.0
2004-11-24,10000000,10000000,False,False,,79.748672,0,0.0,hold,,,0.0,,,0,0.0,45.049999,0,0.0,hold,,,0.0,,,0,0.0,44.255039,0,0.0,hold,,,0.0,,,0,0.0
2004-11-26,10000000,10000000,False,False,,79.688103,0,0.0,hold,,,0.0,,,0,0.0,45.290001,0,0.0,hold,,,0.0,,,0,0.0,43.96603,0,0.0,hold,,,0.0,,,0,0.0
2004-11-29,10000000,10000000,False,False,,79.324516,0,0.0,hold,,,0.0,,,0,0.0,45.400002,0,0.0,hold,,,0.0,,,0,0.0,43.497742,0,0.0,hold,,,0.0,,,0,0.0
2004-11-30,10000000,10000000,False,False,,79.378365,0,0.0,hold,,,0.0,,,0,0.0,45.119999,0,0.0,hold,,,0.0,,,0,0.0,43.313416,0,0.0,hold,,,0.0,,,0,0.0
2004-12-01,10000000,10000000,True,False,,80.28064,0,0.0,hold,,,0.0,,,0,0.0,45.380001,0,0.0,hold,,,0.0,,,0,0.0,43.245876,0,0.0,hold,,,0.0,,,0,0.0
2004-12-02,10000000,10000000,False,False,,80.347961,0,0.0,hold,,,0.0,,,0,0.0,44.950001,0,0.0,hold,,,0.0,,,0,0.0,43.070782,0,0.0,hold,,,0.0,,,0,0.0
2004-12-03,10000000,10000000,False,False,,80.294106,0,0.0,hold,,,0.0,,,0,0.0,45.599998,0,0.0,hold,,,0.0,,,0,0.0,43.741085,0,0.0,hold,,,0.0,,,0,0.0
2004-12-06,10000000,10000000,False,False,,80.26712,0,0.0,hold,,,0.0,,,0,0.0,45.169998,0,0.0,hold,,,0.0,,,0,0.0,43.891178,0,0.0,hold,,,0.0,,,0,0.0
2004-12-07,10000000,10000000,False,False,,79.519768,0,0.0,hold,,,0.0,,,0,0.0,45.110001,0,0.0,hold,,,0.0,,,0,0.0,43.946243,0,0.0,hold,,,0.0,,,0,0.0
2004-12-08,10000000,10000000,False,False,,79.984398,0,0.0,hold,,,0.0,,,0,0.0,44.009998,0,0.0,hold,,,0.0,,,0,0.0,44.631554,0,0.0,hold,,,0.0,,,0,0.0
2004-12-09,10000000,10000000,False,False,,80.26712,0,0.0,hold,,,0.0,,,0,0.0,43.779999,0,0.0,hold,,,0.0,,,0,0.0,44.336395,0,0.0,buy,ENTER_TO_TARGET,signal_buy+rebalance,2000000.0,,,0,0.0
