date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2009-12-28,spy,109818,109818,62.03,62.13,9242324,9262046,0,19722,
2009-12-28,gld,25858,25858,18.81,18.83,2801972,2806885,0,4913,
2009-12-28,tlt,51090,0,19.16,0.0,2854569,0,-51090,-2854569,
2009-12-28,cash,0,0,0.0,19.04,26,2838102,0,2838076,
2010-05-20,spy,109818,107670,61.17,59.13,9220979,8699253,-2148,-521726,daily
2010-05-20,gld,25858,25851,20.01,20.35,3015818,2994579,-7,-21239,daily
2010-05-20,tlt,0,48439,0.0,20.52,0,3018732,48439,3018732,daily
2010-05-20,cash,0,0,18.83,0.0,2838102,45,0,-2838057,daily
2010-07-01,spy,107670,0,57.19,0.0,8389517,0,-107670,-8389517,
2010-07-01,gld,25851,25851,21.44,20.83,3145549,3025601,0,-119948,
2010-07-01,tlt,48439,48439,21.37,21.61,3134315,3139257,0,4942,
2010-07-01,cash,0,0,0.0,57.55,45,8358722,0,8358677,
2010-08-06,spy,0,102492,0.0,59.84,0,8695534,102492,8695534,daily
2010-08-06,gld,25851,24716,20.92,20.04,3024050,2912533,-1135,-111517,daily
2010-08-06,tlt,48439,45628,21.24,20.11,3069440,2922847,-2811,-146593,daily
2010-08-06,cash,0,0,57.84,0.0,8358722,30,0,-8358692,daily
2010-12-16,spy,102492,102492,61.59,61.83,9652930,9708931,0,56001,
2010-12-16,gld,24716,24716,21.24,21.06,3329245,3307247,0,-21998,
2010-12-16,tlt,45628,0,17.17,0.0,2691028,0,-45628,-2691028,
2010-12-16,cash,0,0,0.0,17.1,30,2685640,0,2685610,
2011-06-02,spy,102492,99438,61.84,60.13,10356045,10036797,-3054,-319248,monthly
2011-06-02,gld,24716,22340,22.12,20.01,3705175,3339830,-2376,-365345,monthly
2011-06-02,tlt,0,52186,0.0,19.86,0,3314602,52186,3314602,monthly
2011-06-02,cash,0,0,16.04,0.0,2685640,4,0,-2685636,monthly
2011-08-05,spy,99438,0,55.92,0.0,9208294,0,-99438,-9208294,
2011-08-05,gld,22340,22340,21.79,21.94,3588697,3613495,0,24798,
2011-08-05,tlt,52186,52186,22.29,21.64,3670758,3564844,0,-105914,
2011-08-05,cash,0,0,0.0,56.42,4,9295182,0,9295178,
2011-09-02,spy,0,0,0.0,0.0,0,0,0,0,monthly
2011-09-02,gld,22340,19278,23.27,20.4,3973615,3532500,-3062,-441115,monthly
2011-09-02,tlt,52186,46907,22.3,20.41,3807987,3533974,-5279,-274013,monthly
2011-09-02,cash,0,0,54.43,59.18,9295182,10245877,0,950695,monthly
2011-10-04,spy,0,0,0.0,0.0,0,0,0,0,monthly
2011-10-04,gld,19278,21424,17.99,19.71,3102987,3377279,2146,274292,monthly
2011-10-04,tlt,46907,41511,22.6,19.88,3898789,3406533,-5396,-492256,monthly
2011-10-04,cash,0,0,59.4,60.4,10245877,10348620,0,102743,monthly
2012-04-03,spy,102315,98089,62.57,60.34,11353492,10840043,-4226,-513449,monthly
2012-04-03,gld,21694,22268,19.48,19.82,3534820,3560430,574,25610,monthly
2012-04-03,tlt,42435,47260,17.94,19.84,3255895,3563265,4825,307370,monthly
2012-04-03,cash,0,0,0.0,0.0,108,109,0,1,monthly
2012-05-15,spy,98089,98089,58.56,58.41,10291364,10232279,0,-59085,
2012-05-15,gld,22268,0,19.17,0.0,3369816,0,-22268,-3369816,
2012-05-15,tlt,47260,47260,22.27,22.43,3913952,3929782,0,15830,
2012-05-15,cash,0,0,0.0,19.16,109,3356042,0,3355933,
2012-06-04,spy,98089,104157,56.49,60.1,9834771,10438285,6068,603514,monthly
2012-06-04,gld,0,0,0.0,0.0,0,0,0,0,monthly
2012-06-04,tlt,47260,38909,24.24,19.85,4219497,3446452,-8351,-773045,monthly
2012-06-04,cash,0,0,19.28,20.05,3356042,3482097,0,126055,monthly
2012-09-07,spy,104157,98702,63.31,60.15,11775866,11202595,-5455,-573271,daily
2012-09-07,gld,0,22106,0.0,19.99,0,3723534,22106,3723534,daily
2012-09-07,tlt,38909,43243,17.97,19.85,3341956,3696923,4334,354967,daily
