logit_lambda
-1.730975
1.824549
-0.139113
-3.396424
0.241914
-3.396424
-1.136
-2.079442
-0.864997
-2.66921
0.85392
-0.204413
1.002152
0.820981
0.876125
0.241914
-3.135494
-2.103096
2.974071
-2.595255
