Date,equity,position
2005-03-01,10000000.0,0
2005-03-02,10000000.0,0
2005-03-03,10000000.0,0
2005-03-04,10000000.0,0
2005-03-07,10000000.0,0
2005-03-08,10000000.0,0
2005-03-09,10000000.0,0
2005-03-10,10000000.0,0
2005-03-11,10000000.0,0
2005-03-14,10000000.0,0
2005-03-15,10000000.0,0
2005-03-16,10000000.0,0
2005-03-17,10000000.0,0
2005-03-18,10000000.0,0
2005-03-21,10000000.0,0
2005-03-22,10000000.0,0
2005-03-23,10000000.0,0
2005-03-24,10000000.0,0
2005-03-28,10000000.0,0
2005-03-29,10000000.0,0
2005-03-30,10000000.0,0
2005-03-31,10000000.0,0
2005-04-01,10000000.0,0
2005-04-04,10000000.0,0
2005-04-05,10000000.0,0
2005-04-06,10000000.0,0
2005-04-07,10000000.0,0
2005-04-08,10000000.0,0
2005-04-11,10000000.0,0
2005-04-12,10000000.0,0
2005-04-13,10000000.0,0
2005-04-14,10000000.0,0
2005-04-15,10000000.0,0
2005-04-18,10000000.0,0
2005-04-19,10000000.0,0
2005-04-20,10000000.0,0
2005-04-21,10000000.0,0
2005-04-22,10000000.0,0
2005-04-25,10000000.0,0
2005-04-26,10000000.0,0
2005-04-27,10000000.0,0
2005-04-28,10000000.0,0
2005-04-29,10000000.0,0
2005-05-02,10000000.0,0
2005-05-03,10000000.0,0
2005-05-04,10000000.0,0
2005-05-05,10000000.0,0
2005-05-06,10000000.0,0
2005-05-09,10000000.0,0
2005-05-10,10000000.0,0
2005-05-11,10000000.0,0
2005-05-12,10000000.0,0
2005-05-13,10000000.0,0
2005-05-16,10000000.0,0
2005-05-17,10000000.0,0
2005-05-18,10000000.0,0
2005-05-19,10000000.0,0
2005-05-20,10000000.0,0
2005-05-23,10000000.0,0
2005-05-24,10000000.0,0
2005-05-25,10000000.0,0
2005-05-26,10025216.0,308118
2005-05-27,10030469.0,308118
2005-05-31,9996345.0,308118
2005-06-01,10077722.0,308118
2005-06-02,10148604.0,308118
2005-06-03,10001594.0,308118
2005-06-06,10004222.0,308118
2005-06-07,9920218.0,308118
2005-06-08,9899217.0,308118
2005-06-09,9962215.0,308118
2005-06-10,9857213.0,308118
2005-06-13,9904462.0,308118
2005-06-14,9865091.0,308118
2005-06-15,9896598.0,308118
2005-06-16,9949087.0,308118
2005-06-17,9950407.0,308118
2005-06-20,9950407.0,308118
2005-06-21,9945149.0,308118
2005-06-22,9934641.0,308118
2005-06-23,9824286.0,308118
2005-06-24,9713930.0,308118
2005-06-27,9669261.0,308118
2005-06-28,9761227.0,308118
2005-06-29,9740204.0,308118
2005-06-30,9664011.0,308118
2005-07-01,9650870.0,308118
2005-07-05,9750717.0,308118
2005-07-06,9703424.0,308118
2005-07-07,9737573.0,308118
2005-07-08,9924134.0,308118
2005-07-11,10016094.0,308118
2005-07-12,10063387.0,308118
2005-07-13,10087037.0,308118
2005-07-14,10186880.0,308118
2005-07-15,10218411.0,308118
2005-07-18,10176370.0,308118
2005-07-19,10294609.0,308118
2005-07-20,10368182.0,308118
2005-07-21,10370808.0,308118
2005-07-22,10357671.0,308118
2005-07-25,10318255.0,308118
2005-07-26,10357671.0,308118
2005-07-27,10436500.0,308118
2005-07-28,10486418.0,308118
2005-07-29,10399711.0,308118
2005-08-01,10418105.0,308118
2005-08-02,10531089.0,308118
2005-08-03,10525831.0,308118
2005-08-04,10423353.0,308118
2005-08-05,10373434.0,308118
2005-08-08,10297233.0,308118
2005-08-09,10365553.0,308118
2005-08-10,10276218.0,308118
2005-08-11,10360294.0,308118
2005-08-12,10302487.0,308118
2005-08-15,10365553.0,308118
2005-08-16,10197395.0,308118
2005-08-17,10257827.0,308118
2005-08-18,10205275.0,308118
2005-08-19,10200022.0,308118
2005-08-22,10205275.0,308118
2005-08-23,10176370.0,308118
2005-08-24,10115940.0,308118
2005-08-25,10139589.0,308118
2005-08-26,10105429.0,308118
2005-08-29,10184257.0,308118
2005-08-30,10147473.0,308118
2005-08-31,10242057.0,308118
2005-09-01,10226295.0,308118
2005-09-02,10186880.0,308118
2005-09-06,10336645.0,308118
2005-09-07,10355040.0,308118
2005-09-08,10352418.0,308118
2005-09-09,10410219.0,308118
2005-09-12,10439122.0,308118
2005-09-13,10412851.0,308118
2005-09-14,10294609.0,308118
2005-09-15,10289353.0,308118
2005-09-16,10352418.0,308118
2005-09-19,10270963.0,308118
2005-09-20,10228919.0,308118
2005-09-21,10115940.0,308118
2005-09-22,10152720.0,308118
2005-09-23,10181623.0,308118
2005-09-26,10184257.0,308118
2005-09-27,10160606.0,308118
2005-09-28,10163235.0,308118
2005-09-29,10299865.0,308118
2005-09-30,10368182.0,308118
2005-10-03,10394459.0,308118
2005-10-04,10326139.0,308118
2005-10-05,10184257.0,308118
2005-10-06,10050254.0,308118
2005-10-07,10073901.0,308118
2005-10-10,10018721.0,308118
2005-10-11,9968797.0,308118
2005-10-12,9850561.0,308118
2005-10-13,9926761.0,308118
2005-10-14,10000331.0,308118
2005-10-17,10031855.0,308118
2005-10-18,9960920.0,308118
2005-10-19,10160606.0,308118
2005-10-20,10066021.0,308118
2005-10-21,10129076.0,308118
2005-10-24,10289353.0,308118
2005-10-25,10249939.0,308118
2005-10-26,10197395.0,308118
2005-10-27,9992447.0,308118
2005-10-28,10068644.0,308118
2005-10-31,10213155.0,308118
2005-11-01,10205275.0,308118
2005-11-02,10339280.0,308118
2005-11-03,10494301.0,308118
2005-11-04,10531089.0,308118
2005-11-07,10544219.0,308118
2005-11-08,10546849.0,308118
2005-11-09,10552103.0,308118
2005-11-10,10667720.0,308118
2005-11-11,10696622.0,308118
2005-11-14,10696622.0,308118
2005-11-15,10646698.0,308118
2005-11-16,10712386.0,308118
2005-11-17,10854269.0,308118
2005-11-18,10891057.0,308118
2005-11-21,10917330.0,308118
2005-11-22,10956740.0,308118
2005-11-23,10983022.0,308118
2005-11-25,11006668.0,308118
2005-11-28,10914699.0,308118
2005-11-29,10862154.0,308118
2005-11-30,10835876.0,308118
2005-12-01,11038192.0,308118
2005-12-02,11064479.0,308118
2005-12-05,10983022.0,308118
2005-12-06,11019803.0,308118
2005-12-07,10998786.0,308118
2005-12-08,10919960.0,308118
2005-12-09,10961999.0,308118
2005-12-12,11001412.0,308118
2005-12-13,11046077.0,308118
2005-12-14,11009295.0,308118
2005-12-15,11027686.0,308118
2005-12-16,10951565.0,308118
2005-12-19,10777727.0,308118
2005-12-20,10785637.0,308118
2005-12-21,10833042.0,308118
2005-12-22,10904161.0,308118
2005-12-23,10904161.0,308118
2005-12-27,10809336.0,308118
2005-12-28,10796172.0,308118
2005-12-29,10725059.0,308118
2005-12-30,10643403.0,308118
2006-01-03,10880454.0,308118
2006-01-04,10993709.0,308118
2006-01-05,11041115.0,308118
2006-01-06,11241291.0,308118
2006-01-09,11286060.0,308118
2006-01-10,11293965.0,308118
2006-01-11,11380883.0,308118
2006-01-12,11325575.0,308118
2006-01-13,11320307.0,308118
2006-01-17,11246556.0,308118
2006-01-18,11117497.0,308118
2006-01-19,11199145.0,308118
2006-01-20,10864649.0,308118
2006-01-23,10867279.0,308118
2006-01-24,10914692.0,308118
2006-01-25,10867279.0,308118
2006-01-26,10943662.0,308118
2006-01-27,11091166.0,308118
2006-01-30,11112231.0,308118
