entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,holding_days
1999-10-26,2000-04-17,52.860657,65.370509,189176,2366564,0.2367,0.05,3,174
2002-01-09,2002-02-05,1.652322,1.053853,7484354,-4479155,-0.3622,0.05,3,27
2002-11-27,2004-03-23,0.273238,0.407904,28866412,3887305,0.4928,0.05,3,482
2004-11-09,2005-04-14,0.494259,0.411606,23822946,-1969035,-0.1672,0.05,3,156
2005-07-26,2006-05-17,0.520742,0.466622,18830221,-1019085,-0.1039,0.05,3,295
2006-10-13,2008-01-08,0.514693,0.580656,17071509,1126076,0.1282,0.05,3,452
2009-04-27,2010-05-27,0.10127,0.220197,97883680,11641063,1.1744,0.05,3,395
2010-09-24,2011-06-16,0.275389,0.351742,78266589,5975881,0.2773,0.05,3,265
2012-01-23,2012-11-09,0.414628,0.465122,66395912,3352613,0.1218,0.05,3,291
2013-05-03,2015-08-24,0.684583,1.488287,45111032,36255921,1.174,0.05,3,843
2015-11-02,2016-01-08,2.404767,1.896401,27918778,-14192959,-0.2114,0.05,3,67
2016-07-22,2018-10-25,2.239181,6.078874,23644886,90789081,1.7148,0.05,3,825
