entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,holding_days
2000-04-24,2000-05-24,77.0635,48.655626,129763,-3686291,-0.3686,0.03,3,30
2000-06-07,2000-09-22,83.330287,59.774425,75767,-1784757,-0.2827,0.03,3,107
2003-03-19,2004-07-27,0.230294,0.374765,19665973,2841173,0.6273,0.03,3,496
2004-11-03,2006-06-08,0.487947,0.412328,15104340,-1142178,-0.155,0.03,3,582
2006-10-10,2008-01-17,0.493207,0.504621,12627445,144122,0.0231,0.03,3,464
2009-06-01,2010-07-01,0.122,0.184021,52230114,3239383,0.5084,0.03,3,395
2010-09-17,2011-08-09,0.257965,0.288113,37258806,1123296,0.1169,0.03,3,326
2012-01-11,2015-08-25,0.379781,1.774839,28265633,39432212,3.6733,0.03,3,1322
2015-10-29,2016-01-14,2.397585,1.713563,20923953,-14312453,-0.2853,0.03,3,77
2016-04-19,2018-11-20,2.172549,4.963997,16503427,46068459,1.2849,0.03,3,945
2019-03-21,2020-03-13,6.772174,6.228562,12096997,-6576069,-0.0803,0.03,3,358
2020-04-20,2022-01-26,7.819365,27.179618,9635935,186554138,2.4759,0.03,3,646
2023-02-07,2025-04-04,11.974997,22.80448,21870656,236847901,0.9043,0.03,3,787
