entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,tranche_id,tranche_seq,ma_window,holding_days
1999-04-08,2000-04-17,44.969617,65.370509,73382,1497058,0.4537,0.03,3,ma150,1,150,375
1999-04-08,2000-05-11,44.969617,69.380867,75606,1845637,0.5428,0.03,3,ma200,1,200,399
1999-04-08,2000-05-24,44.969617,48.655626,73382,270487,0.082,0.03,3,ma250,1,250,412
2000-06-07,2000-10-04,83.330287,50.327033,62949,-2077522,-0.3961,0.03,3,ma200,2,200,119
2000-06-07,2000-10-09,83.330287,48.309213,42847,-1500548,-0.4203,0.03,3,ma250,2,250,124
2000-06-08,2000-10-03,91.703445,59.246711,52310,-1697812,-0.3539,0.03,3,ma150,2,150,117
2003-03-21,2004-08-06,0.239384,0.347642,12946756,1401589,0.4522,0.03,3,ma150,3,150,504
2003-05-02,2004-08-09,0.24309,0.328778,13032678,1116739,0.3525,0.03,3,ma200,3,200,465
2003-05-15,2004-08-09,0.272534,0.328778,7595153,427178,0.2064,0.03,3,ma250,3,250,452
2004-10-07,2005-04-18,0.447322,0.366012,9578904,-778863,-0.1818,0.03,3,ma200,4,200,193
2004-10-07,2006-06-13,0.447322,0.38647,5582370,-339698,-0.136,0.03,3,ma250,4,250,614
2004-10-08,2005-04-18,0.430365,0.366012,10458176,-673021,-0.1495,0.03,3,ma150,4,150,192
2005-05-26,2006-06-12,0.475039,0.40959,7380429,-483044,-0.1378,0.03,3,ma200,5,200,382
2005-05-27,2006-05-24,0.480799,0.425439,7961359,-440743,-0.1151,0.03,3,ma150,5,150,362
2006-09-29,2008-01-09,0.47175,0.538354,7179802,478204,0.1412,0.03,3,ma150,6,150,467
2006-09-29,2008-01-17,0.47175,0.504621,6407941,210633,0.0697,0.03,3,ma200,6,200,475
2006-09-29,2008-01-18,0.47175,0.48471,4573226,59271,0.0275,0.03,3,ma250,5,250,476
2008-05-07,2008-07-03,0.555779,0.414298,6954694,-983957,-0.2546,0.03,3,ma150,7,150,57
2008-05-07,2008-07-03,0.555779,0.414298,5818098,-823150,-0.2546,0.03,3,ma200,7,200,57
2008-05-07,2008-07-15,0.555779,0.38537,3988436,-679665,-0.3066,0.03,3,ma250,6,250,69
2009-05-05,2010-07-01,0.115948,0.184021,24850136,1691635,0.5871,0.03,3,ma150,8,150,422
2009-06-04,2011-08-09,0.128492,0.288113,18759322,2994377,1.2423,0.03,3,ma200,8,200,796
2009-06-05,2011-08-09,0.134332,0.288113,11442008,1759567,1.1448,0.03,3,ma250,7,250,795
2010-08-10,2011-08-09,0.236802,0.288113,19311274,990876,0.2167,0.03,3,ma150,9,150,364
2011-09-21,2011-10-04,0.37335,0.261948,8829770,-983653,-0.2984,0.03,3,ma250,8,250,13
2011-10-14,2015-08-25,0.389902,1.774839,5932099,8215585,3.552,0.03,3,ma250,9,250,1411
2011-10-17,2015-08-25,0.390699,1.774839,13833696,19147784,3.5427,0.03,3,ma200,9,200,1408
2011-10-19,2015-08-25,0.386661,1.774839,14389445,19975125,3.5902,0.03,3,ma150,10,150,1406
2015-10-21,2016-01-19,2.115891,1.700078,4975929,-2069052,-0.1965,0.03,3,ma250,10,250,90
2015-10-28,2016-01-14,2.384817,1.713563,10708978,-7188447,-0.2815,0.03,3,ma150,11,150,78
2015-10-28,2016-01-14,2.384817,1.713563,10295376,-6910814,-0.2815,0.03,3,ma200,10,200,78
2016-04-04,2018-11-21,2.107712,5.23885,4013579,12567069,1.4856,0.03,3,ma250,11,250,961
2016-04-05,2018-11-21,2.037089,5.23885,8660287,27728171,1.5717,0.03,3,ma200,11,200,960
2016-04-19,2018-10-25,2.172549,6.078874,8446533,32994898,1.798,0.03,3,ma150,12,150,919
2019-02-19,2020-03-13,5.940331,6.228562,3539624,1020231,0.0485,0.03,3,ma250,12,250,388
2019-02-28,2020-03-10,6.102145,8.105239,8414321,16854680,0.3283,0.03,3,ma150,13,150,376
2019-02-28,2020-03-13,6.102145,6.228562,7435081,939924,0.0207,0.03,3,ma200,12,200,379
2020-04-17,2022-02-24,8.116834,19.439219,2716178,30753614,1.3949,0.03,3,ma250,13,250,678
2020-04-20,2022-01-24,7.819365,25.682091,8721946,155797731,2.2844,0.03,3,ma150,14,150,644
2020-04-20,2022-01-26,7.819365,27.179618,5922459,114660304,2.4759,0.03,3,ma200,13,200,646
2023-02-07,2025-03-11,11.974997,29.367286,18705459,325330758,1.4524,0.03,3,ma150,15,150,763
2023-03-22,2025-04-04,12.471686,22.80448,12906849,133363806,0.8285,0.03,3,ma200,14,200,744
2023-04-04,2025-04-04,13.660158,22.80448,3865283,35345392,0.6694,0.03,3,ma250,14,250,731
