Date,equity,active_tranches,avg_entry_price,ma250_equity,ma250_position,ma200_equity,ma200_position,ma150_equity,ma150_position,drawdown_pct
1999-04-27,10037270,3,44.969617336,3312299,73382,3412672,75606,3312299,73382,-4.65
1999-04-28,9001918,3,44.969617336,2970633,73382,3060651,75606,2970633,73382,-14.48
1999-04-29,8777722,3,44.969617336,2896649,73382,2984424,75606,2896649,73382,-16.61
1999-04-30,8942779,3,44.969617336,2951118,73382,3040544,75606,2951118,73382,-15.05
1999-05-03,8797702,3,44.969617336,2903242,73382,2991218,75606,2903242,73382,-16.42
1999-05-04,8376441,3,44.969617336,2764226,73382,2847989,75606,2764226,73382,-20.43
1999-05-05,9133592,3,44.969617336,3014086,73382,3105420,75606,3014086,73382,-13.23
1999-05-06,8133370,3,44.969617336,2684013,73382,2765344,75606,2684013,73382,-22.74
1999-05-07,8479623,3,44.969617336,2798276,73382,2883070,75606,2798276,73382,-19.45
1999-05-10,8730379,3,44.969617336,2881026,73382,2968328,75606,2881026,73382,-17.06
1999-05-11,9138916,3,44.969617336,3015843,73382,3107231,75606,3015843,73382,-13.18
1999-05-12,9701769,3,44.969617336,3201584,73382,3298601,75606,3201584,73382,-7.84
1999-05-13,9155659,3,44.969617336,3021368,73382,3112923,75606,3021368,73382,-13.02
1999-05-14,8630612,3,44.969617336,2848103,73382,2934407,75606,2848103,73382,-18.01
1999-05-17,9092029,3,44.969617336,3000370,73382,3091289,75606,3000370,73382,-13.63
1999-05-18,8965832,3,44.969617336,2958725,73382,3048382,75606,2958725,73382,-14.83
1999-05-19,9333905,3,44.969617336,3080189,73382,3173527,75606,3080189,73382,-11.33
1999-05-20,8559687,3,44.969617336,2824697,73382,2910292,75606,2824697,73382,-18.69
1999-05-21,8318446,3,44.969617336,2745088,73382,2828270,75606,2745088,73382,-20.98
