date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2011-08-09,tqqq,9778172,0,21.84,0.0,2718282,0,-9778172,-2718282,
2011-08-09,gld,17407,17407,23.38,23.33,2909057,2934994,0,25937,
2011-08-09,tlt,41682,41682,23.6,23.42,2937196,2946101,0,8905,
2011-08-09,cash,0,0,31.17,53.24,3879351,6696570,0,2817219,
2011-08-19,spy,0,0,0.0,0.0,0,0,0,0,daily
2011-08-19,tqqq,0,0,0.0,0.0,0,0,0,0,daily
2011-08-19,gld,17407,14527,24.06,20.23,3093572,2614133,-2880,-479439,daily
2011-08-19,tlt,41682,34925,23.87,20.06,3069655,2592791,-6757,-476864,daily
2011-08-19,cash,0,0,52.07,59.71,6696570,7715778,0,1019208,daily
2011-10-04,spy,0,0,0.0,0.0,0,0,0,0,monthly
2011-10-04,tqqq,0,0,0.0,0.0,0,0,0,0,monthly
2011-10-04,gld,14527,16094,18.05,19.71,2338266,2537058,1567,198792,monthly
2011-10-04,tlt,34925,31184,22.4,19.88,2902875,2559064,-3741,-343811,monthly
2011-10-04,cash,0,0,59.55,60.4,7715778,7774224,0,58446,monthly
2011-10-17,spy,0,0,0.0,0.0,0,0,0,0,daily
2011-10-17,tqqq,0,9820486,0.0,29.18,0,3700909,9820486,3700909,daily
2011-10-17,gld,16094,15655,20.56,20.07,2629759,2545816,-439,-83943,daily
2011-10-17,tlt,31184,33423,18.65,20.51,2385516,2600997,2239,215481,daily
2011-10-17,cash,0,0,60.79,30.25,7774224,3836833,0,-3937391,daily
2011-11-28,spy,0,0,0.0,0.0,0,0,0,0,daily
2011-11-28,tqqq,9820486,12213425,23.77,31.67,2840840,3897902,2392939,1057062,daily
2011-11-28,gld,15655,14650,21.4,19.83,2558026,2441129,-1005,-116897,daily
2011-11-28,tlt,33423,29317,22.73,19.36,2717506,2382477,-4106,-335029,daily
2011-11-28,cash,0,0,32.1,29.14,3836833,3585837,0,-250996,daily
2011-12-02,spy,0,0,0.0,0.0,0,0,0,0,monthly
2011-12-02,tqqq,12213425,10783302,34.1,29.78,4338636,3794158,-1430123,-544478,monthly
2011-12-02,gld,14650,14998,19.53,19.99,2485079,2546960,348,61881,monthly
2011-12-02,tlt,29317,32236,18.19,20.26,2314372,2580477,2919,266105,monthly
2011-12-02,cash,0,0,28.18,29.97,3585837,3817355,0,231518,monthly
2012-01-09,spy,0,38401,0.0,30.05,0,3829241,38401,3829241,daily
2012-01-09,tqqq,10783302,10265848,31.52,29.89,4034809,3809050,-517454,-225759,daily
2012-01-09,gld,14998,16280,18.42,20.0,2357685,2547820,1282,190135,daily
2012-01-09,tlt,32236,31853,20.24,20.06,2590760,2555451,-383,-35309,daily
2012-01-09,cash,0,0,29.82,0.0,3817355,133,0,-3817222,daily
2012-02-29,spy,38401,41564,27.71,30.39,4114594,4436023,3163,321429,daily
2012-02-29,tqqq,10265848,8536541,36.08,30.12,5357663,4396608,-1729307,-961055,daily
2012-02-29,gld,16280,17118,19.02,19.27,2824417,2812316,838,-12101,daily
2012-02-29,tlt,31853,37023,17.2,20.21,2553579,2949960,5170,396381,daily
2012-02-29,cash,0,0,0.0,0.0,133,206,0,73,daily
2012-04-03,spy,41564,41832,29.81,30.13,4612193,4622952,268,10759,monthly
2012-04-03,tqqq,8536541,7576427,33.81,30.27,5231200,4643220,-960114,-587980,monthly
2012-04-03,gld,17118,18983,18.03,19.79,2789206,3035191,1865,245985,monthly
2012-04-03,tlt,37023,40310,18.36,19.81,2840650,3039258,3287,198608,monthly
2012-04-03,cash,0,0,0.0,0.0,206,210,0,4,monthly
2012-05-18,spy,41832,40973,30.63,30.15,4282596,4158754,-859,-123842,daily
2012-05-18,tqqq,7576427,9387111,24.15,29.11,3377154,4016294,1810684,639140,daily
2012-05-18,gld,18983,18306,20.75,20.51,2900602,2829192,-677,-71410,daily
2012-05-18,tlt,40310,32874,24.47,20.23,3421025,2790620,-7436,-630405,daily
2012-05-18,cash,0,0,0.0,0.0,210,0,0,-210,daily
2012-09-05,spy,40973,43156,28.48,30.06,4544072,4782103,2183,238031,monthly
2012-09-05,tqqq,9387111,8138930,34.57,29.93,5516805,4761412,-1248181,-755393,monthly
2012-09-05,gld,18306,19401,18.87,20.04,3010970,3187778,1095,176808,monthly
2012-09-05,tlt,32874,36368,18.08,19.97,2885008,3176601,3494,291593,monthly
2012-09-05,cash,0,0,0.0,0.0,0,219,0,219,monthly
2013-03-04,spy,43156,39066,33.12,30.02,5226563,4756424,-4090,-470139,monthly
2013-03-04,tqqq,8138930,8409306,29.04,30.27,4582600,4795860,270376,213260,monthly
2013-03-04,gld,19401,20697,18.74,19.9,2957488,3152153,1296,194665,monthly
2013-03-04,tlt,36368,38095,19.09,19.81,3012403,3138730,1727,126327,monthly
2013-03-04,cash,0,0,0.0,0.0,219,236,0,17,monthly
2013-05-02,spy,39066,39225,29.88,29.85,4945040,5011278,159,66238,monthly
2013-05-02,tqqq,8409306,7761497,32.51,30.65,5380198,5145507,-647809,-234691,monthly
2013-05-02,gld,20697,23433,17.65,19.81,2920553,3325611,2736,405058,monthly
2013-05-02,tlt,38095,38153,19.97,19.69,3305218,3305979,58,761,monthly
2013-05-02,cash,0,0,0.0,0.0,236,114,0,-122,monthly
2013-07-02,spy,39225,37268,31.57,30.04,5088566,4830195,-1957,-258371,monthly
2013-07-02,tqqq,7761497,7172810,32.45,30.08,5231148,4836518,-588687,-394630,monthly
