Date,equity,cash,rebalanced,rebalance_reason,sso_value,sso_weight,sso_signal,sso_shares,sso_avg_price,sso_realized_pnl,sso_unrealized_pnl,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,ugl_value,ugl_weight,ugl_signal,ugl_shares,ugl_avg_price,ugl_realized_pnl,ugl_unrealized_pnl,ubt_value,ubt_weight,ubt_signal,ubt_shares,ubt_avg_price,ubt_realized_pnl,ubt_unrealized_pnl,drawdown_pct
2010-05-25,9951461,2,False,,3460679,0.3478,buy,1702469,2.123562,6214,-154621,3489492,0.3507,buy,4105753,0.958328,0,-445166,1511318,0.1519,buy,115699,11.078135,43334,229589,1489971,0.1497,buy,87633,14.521906,54738,217373,-8.99
2010-05-26,9839804,2,False,,3414601,0.347,buy,1702469,2.123562,6214,-200698,3404807,0.346,buy,4105753,0.958328,0,-529851,1539086,0.1564,buy,115699,11.078135,43334,257357,1481308,0.1505,buy,87633,14.521906,54738,208710,-10.01
2010-05-27,10275934,2,False,,3646947,0.3549,buy,1702469,2.123562,6214,31648,3672025,0.3573,buy,4105753,0.958328,0,-262632,1543714,0.1502,buy,115699,11.078135,43334,261985,1413246,0.1375,buy,87633,14.521906,54738,140647,-6.02
2010-05-28,10152999,2,False,,3552831,0.3499,buy,1702469,2.123562,6214,-62468,3624982,0.357,buy,4105753,0.958328,0,-309676,1549210,0.1526,buy,115699,11.078135,43334,267480,1425974,0.1404,buy,87633,14.521906,54738,153376,-7.15
2010-06-01,10009439,2,False,,3433230,0.343,buy,1702469,2.123562,6214,-182069,3555352,0.3552,buy,4105753,0.958328,0,-379306,1574374,0.1573,buy,115699,11.078135,43334,292645,1446481,0.1445,buy,87633,14.521906,54738,173883,-8.46
2010-06-02,10327470,2,False,,3609694,0.3495,buy,1702469,2.123562,6214,-5605,3729736,0.3611,buy,4105753,0.958328,0,-204922,1570903,0.1521,buy,115699,11.078135,43334,289174,1417135,0.1372,buy,87633,14.521906,54738,144537,-5.55
2010-06-03,10363731,2,False,,3643025,0.3515,buy,1702469,2.123562,6214,27726,3795596,0.3662,buy,4105753,0.958328,0,-139062,1526359,0.1473,buy,115699,11.078135,43334,244630,1398749,0.135,buy,87633,14.521906,54738,126150,-5.22
2010-06-04,9962727,2,False,,3389110,0.3402,buy,1702469,2.123562,6214,-226189,3545942,0.3559,buy,4105753,0.958328,0,-388716,1553259,0.1559,buy,115699,11.078135,43334,271530,1474414,0.148,buy,87633,14.521906,54738,201816,-8.89
2010-06-07,9819845,2,False,,3295978,0.3356,buy,1702469,2.123562,6214,-319321,3413593,0.3476,buy,4105753,0.958328,0,-521065,1614290,0.1644,buy,115699,11.078135,43334,332561,1495982,0.1523,buy,87633,14.521906,54738,223384,-10.19
2010-06-08,9847056,2,False,,3364603,0.3417,buy,1702469,2.123562,6214,-250696,3399161,0.3452,buy,4105753,0.958328,0,-535497,1601274,0.1626,buy,115699,11.078135,43334,319545,1482015,0.1505,buy,87633,14.521906,54738,209417,-9.94
2010-06-09,9739912,2,False,,3330290,0.3419,buy,1702469,2.123562,6214,-285009,3338946,0.3428,buy,4105753,0.958328,0,-595712,1592018,0.1635,buy,115699,11.078135,43334,310289,1478656,0.1518,buy,87633,14.521906,54738,206058,-10.92
2010-06-10,10030107,2,False,,3528323,0.3518,buy,1702469,2.123562,6214,-86976,3529010,0.3518,buy,4105753,0.958328,0,-405648,1548920,0.1544,buy,115699,11.078135,43334,267191,1423852,0.142,buy,87633,14.521906,54738,151254,-8.27
2010-06-11,10190899,2,False,,3560675,0.3494,buy,1702469,2.123562,6214,-54624,3594870,0.3528,buy,4105753,0.958328,0,-339788,1574374,0.1545,buy,115699,11.078135,43334,292645,1460978,0.1434,buy,87633,14.521906,54738,188380,-6.8
2010-06-14,10162021,2,False,,3553812,0.3497,buy,1702469,2.123562,6214,-61487,3595498,0.3538,buy,4105753,0.958328,0,-339160,1565697,0.1541,buy,115699,11.078135,43334,283968,1447012,0.1424,buy,87633,14.521906,54738,174413,-7.06
2010-06-15,10531259,2,False,,3712630,0.3525,buy,1702469,2.123562,6214,97331,3786814,0.3596,buy,4105753,0.958328,0,-147844,1599828,0.1519,buy,115699,11.078135,43334,318099,1431985,0.136,buy,87633,14.521906,54738,159387,-3.69
2010-06-16,10563945,2,False,,3708708,0.3511,buy,1702469,2.123562,6214,93409,3823195,0.3619,buy,4105753,0.958328,0,-111463,1584498,0.15,buy,115699,11.078135,43334,302769,1447542,0.137,buy,87633,14.521906,54738,174944,-3.39
2010-06-17,10662350,2,False,,3719493,0.3488,buy,1702469,2.123562,6214,104194,3845153,0.3606,buy,4105753,0.958328,0,-89505,1624703,0.1524,buy,115699,11.078135,43334,342974,1473000,0.1381,buy,87633,14.521906,54738,200401,-2.49
2010-06-18,10699995,2,False,,3726357,0.3483,buy,1702469,2.123562,6214,111058,3855815,0.3604,buy,4105753,0.958328,0,-78842,1648711,0.1541,buy,115699,11.078135,43334,366982,1469110,0.1373,buy,87633,14.521906,54738,196511,-2.14
2010-06-21,10550464,2,False,,3705768,0.3512,buy,1702469,2.123562,6214,90469,3799989,0.3602,buy,4105753,0.958328,0,-134668,1584787,0.1502,buy,115699,11.078135,43334,303058,1459918,0.1384,buy,87633,14.521906,54738,187319,-3.51
2010-06-22,10413503,2,False,,3584041,0.3442,buy,1702469,2.123562,6214,-31258,3725343,0.3577,buy,4105753,0.958328,0,-209315,1609373,0.1545,buy,115699,11.078135,43334,327644,1494745,0.1435,buy,87633,14.521906,54738,222146,-4.76
2010-06-23,10374747,2,False,,3559480,0.3431,buy,1702469,2.123562,6214,-55819,3698996,0.3565,buy,4105753,0.958328,0,-235662,1599249,0.1541,buy,115699,11.078135,43334,317520,1517020,0.1462,buy,87633,14.521906,54738,244422,-5.12
2010-06-24,10131408,2,False,,3443548,0.3399,buy,1702469,2.123562,6214,-171751,3583579,0.3537,buy,4105753,0.958328,0,-351079,1607059,0.1586,buy,115699,11.078135,43334,325330,1497219,0.1478,buy,87633,14.521906,54738,224621,-7.34
2010-06-25,10198239,2,False,,3474005,0.3406,buy,1702469,2.123562,6214,-141294,3569156,0.35,buy,4105753,0.958328,0,-365502,1644951,0.1613,buy,115699,11.078135,43334,363221,1510125,0.1481,buy,87633,14.521906,54738,237527,-6.73
2010-06-28,10133671,2,False,,3447476,0.3402,buy,1702469,2.123562,6214,-167823,3547198,0.35,buy,4105753,0.958328,0,-387460,1600406,0.1579,buy,115699,11.078135,43334,318677,1538588,0.1518,buy,87633,14.521906,54738,265990,-7.32
2010-06-29,9689330,2,False,,3238214,0.3342,buy,1702469,2.123562,6214,-377086,3273710,0.3379,buy,4105753,0.958328,0,-660948,1604167,0.1656,buy,115699,11.078135,43334,322437,1573238,0.1624,buy,87633,14.521906,54738,300640,-11.39
2010-06-30,9546056,2,False,,3164527,0.3315,sell,1702469,2.123562,6214,-450772,3173973,0.3325,buy,4105753,0.958328,0,-760685,1614869,0.1692,buy,115699,11.078135,43334,333140,1592685,0.1668,buy,87633,14.521906,54738,320087,-12.7
2010-07-01,9407412,3160914,False,,0,0.0,sell,0,0.0,-448174,0,3155156,0.3354,buy,4105753,0.958328,0,-779502,1491939,0.1586,buy,115699,11.078135,43334,210209,1599403,0.17,buy,87633,14.521906,54738,326805,-13.96
2010-07-02,9396092,3292578,True,monthly,0,0.0,sell,0,0.0,-448174,0,3272822,0.3483,buy,4283568,0.950632,0,-799273,1447363,0.154,buy,109545,11.078135,55979,233809,1383328,0.1472,buy,77176,14.521906,91164,262586,-14.07
