entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,holding_days
2005-09-14,2006-10-05,44.95446,56.769179,222447,2628149,0.2628,0.03,3,386
2006-11-28,2008-08-12,63.790798,80.497778,197961,3307330,0.2619,0.03,3,623
2009-01-29,2012-05-09,86.94004,153.637706,183292,12225149,0.7672,0.03,3,1196
2012-09-12,2013-02-21,169.346516,151.544,166289,-2960363,-0.1051,0.03,3,162
2014-03-17,2014-09-22,133.128186,116.369841,189293,-3172237,-0.1259,0.03,3,189
2016-02-11,2016-11-21,118.945766,115.372841,185193,-661681,-0.03,0.03,3,284
2017-08-15,2018-07-03,120.961798,118.054774,176637,-513488,-0.024,0.03,3,322
2019-01-31,2021-03-01,125.55554,162.540909,166084,6142678,0.2946,0.03,3,760
2021-11-16,2022-07-07,174.491911,161.942703,154709,-1941475,-0.0719,0.03,3,233
2023-01-12,2023-10-03,176.538025,168.632579,141918,-1121925,-0.0448,0.03,3,264
2023-11-30,2026-06-11,189.456669,372.838111,126319,23164560,0.9679,0.03,3,924
